rx:   72 | 01005e00 00163cec ef62ad7d 080046c0 00300000 40000102
rx:  100 | 33330000 00163cec ef62ad7d 86dd6000 00000024 00010000
rx:   79 | 01005e00 00fc3cec ef62ad7d 08004500 00371b42 0000ff11
rx:  101 | 01005e00 00fb3cec ef62ad7d 08004500 004d0390 0000ff11
rx:   79 | 01005e00 00fc3cec ef62ad7d 08004500 00371c28 0000ff11
rx:   72 | 01005e00 00163cec ef62ad7d 080046c0 00300000 40000102
rx:   79 | 01005e00 00fc3cec ef62ad7d 08004500 00371cfd 0000ff11
rx:  101 | 01005e00 00fb3cec ef62ad7d 08004500 004d0469 0000ff11
rx:  100 | 33330000 00163cec ef62ad7d 86dd6000 00000024 00010000
rx:  101 | 01005e00 00fb3cec ef62ad7d 08004500 004d04c1 0000ff11
rx:  130 | 01005e00 00fb3cec ef62ad7d 08004500 006a05d6 0000ff11
rx:  130 | 01005e00 00fb3cec ef62ad7d 08004500 006a0777 0000ff11
