,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,ids,ukebpfjit,1,451429.0
1,3,1,tx,vpp,1024,ids,ukebpfjit,1,458913.81
2,3,1,tx,vpp,1024,ids,ukebpfjit,1,460791.62
3,3,1,tx,vpp,1024,ids,ukebpfjit,1,461745.5
4,3,1,tx,vpp,1024,ids,ukebpfjit,1,461378.06
5,3,1,tx,vpp,1024,ids,ukebpfjit,1,459963.0
6,3,1,tx,vpp,1024,ids,ukebpfjit,1,462096.5
7,3,1,tx,vpp,1024,ids,ukebpfjit,1,460827.56
8,3,1,tx,vpp,1024,ids,ukebpfjit,1,461991.62
9,3,1,tx,vpp,1024,ids,ukebpfjit,1,462859.25
10,3,1,tx,vpp,1024,ids,ukebpfjit,1,462965.84
11,3,1,tx,vpp,1024,ids,ukebpfjit,1,463171.47
12,3,1,tx,vpp,1024,ids,ukebpfjit,1,462419.62
13,3,1,tx,vpp,1024,ids,ukebpfjit,1,461382.25
14,3,1,tx,vpp,1024,ids,ukebpfjit,1,461451.5
15,3,1,tx,vpp,1024,ids,ukebpfjit,1,462343.34
16,3,1,tx,vpp,1024,ids,ukebpfjit,1,462495.91
17,3,1,tx,vpp,1024,ids,ukebpfjit,1,462148.44
18,3,1,tx,vpp,1024,ids,ukebpfjit,1,461852.12
19,3,1,tx,vpp,1024,ids,ukebpfjit,1,461012.88
20,3,1,tx,vpp,1024,ids,ukebpfjit,1,462182.66
21,3,1,tx,vpp,1024,ids,ukebpfjit,1,461574.41
22,3,1,tx,vpp,1024,ids,ukebpfjit,1,461022.34
23,3,1,tx,vpp,1024,ids,ukebpfjit,1,461750.06
24,3,1,tx,vpp,1024,ids,ukebpfjit,1,462339.19
25,3,1,tx,vpp,1024,ids,ukebpfjit,1,462437.81
26,3,1,tx,vpp,1024,ids,ukebpfjit,1,462007.69
27,3,1,tx,vpp,1024,ids,ukebpfjit,1,462570.31
28,3,1,tx,vpp,1024,ids,ukebpfjit,1,461789.31
29,3,1,tx,vpp,1024,ids,ukebpfjit,1,461244.44
30,3,1,tx,vpp,1024,ids,ukebpfjit,1,462490.44
31,3,1,tx,vpp,1024,ids,ukebpfjit,1,462323.31
32,3,1,tx,vpp,1024,ids,ukebpfjit,1,462162.94
33,3,1,tx,vpp,1024,ids,ukebpfjit,1,461179.44
34,3,1,tx,vpp,1024,ids,ukebpfjit,1,462097.06
35,3,1,tx,vpp,1024,ids,ukebpfjit,1,462439.69
36,3,1,tx,vpp,1024,ids,ukebpfjit,1,463050.12
37,3,1,tx,vpp,1024,ids,ukebpfjit,1,462793.12
38,3,1,tx,vpp,1024,ids,ukebpfjit,1,462877.03
39,3,1,tx,vpp,1024,ids,ukebpfjit,1,460344.0
40,3,1,tx,vpp,1024,ids,ukebpfjit,1,461452.09
41,3,1,tx,vpp,1024,ids,ukebpfjit,1,461988.28
42,3,1,tx,vpp,1024,ids,ukebpfjit,1,461773.66
43,3,1,tx,vpp,1024,ids,ukebpfjit,1,461018.41
44,3,1,tx,vpp,1024,ids,ukebpfjit,1,461384.38
45,3,1,tx,vpp,1024,ids,ukebpfjit,1,462822.0
46,3,1,tx,vpp,1024,ids,ukebpfjit,1,462152.72
47,3,1,tx,vpp,1024,ids,ukebpfjit,1,463316.88
48,3,1,tx,vpp,1024,ids,ukebpfjit,1,462014.12
49,3,1,tx,vpp,1024,ids,ukebpfjit,1,460942.78
50,3,1,tx,vpp,1024,ids,ukebpfjit,1,462155.19
51,3,1,tx,vpp,1024,ids,ukebpfjit,1,462284.06
52,3,1,tx,vpp,1024,ids,ukebpfjit,1,462531.25
53,3,1,tx,vpp,1024,ids,ukebpfjit,1,462702.38
54,3,1,tx,vpp,1024,ids,ukebpfjit,1,462352.59
55,3,1,tx,vpp,1024,ids,ukebpfjit,1,461882.66
56,3,1,tx,vpp,1024,ids,ukebpfjit,1,462427.31
57,3,1,tx,vpp,1024,ids,ukebpfjit,1,462316.44
58,3,1,tx,vpp,1024,ids,ukebpfjit,1,462051.06
59,3,1,tx,vpp,1024,ids,ukebpfjit,1,462285.75
60,3,1,tx,vpp,1024,ids,ukebpfjit,1,461401.81
61,3,1,tx,vpp,1024,ids,ukebpfjit,1,461638.88
62,3,1,tx,vpp,1024,ids,ukebpfjit,1,461225.25
63,3,1,tx,vpp,1024,ids,ukebpfjit,1,461866.91
64,3,1,tx,vpp,1024,ids,ukebpfjit,1,462778.97
65,3,1,tx,vpp,1024,ids,ukebpfjit,1,463052.44
66,3,1,tx,vpp,1024,ids,ukebpfjit,1,462038.75
67,3,1,tx,vpp,1024,ids,ukebpfjit,1,463430.31
