,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,nat,linux,100,1,0.0
1,3,1,rx,vpp,64,nat,linux,100,1,0.0
2,3,1,rx,vpp,64,nat,linux,100,1,0.0
3,3,1,rx,vpp,64,nat,linux,100,1,100387.029289
4,3,1,rx,vpp,64,nat,linux,100,1,100306.0
5,3,1,rx,vpp,64,nat,linux,100,1,100362.362362
6,3,1,rx,vpp,64,nat,linux,100,1,100360.36036
7,3,1,rx,vpp,64,nat,linux,100,1,100298.0
8,3,1,rx,vpp,64,nat,linux,100,1,1882.0
9,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
10,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
11,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
12,3,1,rx,vpp,64,nat,linux,100,1,1000.0
13,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
14,3,1,rx,vpp,64,nat,linux,100,1,1002.00400802
15,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
16,3,1,rx,vpp,64,nat,linux,100,1,1001.0
17,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
18,3,1,rx,vpp,64,nat,linux,100,1,1000.0
19,3,1,rx,vpp,64,nat,linux,100,1,1001.0
20,3,1,rx,vpp,64,nat,linux,100,1,1002.00400802
21,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
22,3,1,rx,vpp,64,nat,linux,100,1,1000.0
23,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
24,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
25,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
26,3,1,rx,vpp,64,nat,linux,100,1,1001.0
27,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
28,3,1,rx,vpp,64,nat,linux,100,1,995.995995996
29,3,1,rx,vpp,64,nat,linux,100,1,1000.0
30,3,1,rx,vpp,64,nat,linux,100,1,1000.0
31,3,1,rx,vpp,64,nat,linux,100,1,997.0
32,3,1,rx,vpp,64,nat,linux,100,1,997.995991984
33,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
34,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
35,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
36,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
37,3,1,rx,vpp,64,nat,linux,100,1,1000.0
38,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
39,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
40,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
41,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
42,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
43,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
44,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
45,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
46,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
47,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
48,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
49,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
50,3,1,rx,vpp,64,nat,linux,100,1,1002.00400802
51,3,1,rx,vpp,64,nat,linux,100,1,1000.0
52,3,1,rx,vpp,64,nat,linux,100,1,1001.0
53,3,1,rx,vpp,64,nat,linux,100,1,1002.00400802
54,3,1,rx,vpp,64,nat,linux,100,1,1000.0
55,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
56,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
57,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
58,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
59,3,1,rx,vpp,64,nat,linux,100,1,1001.00200401
60,3,1,rx,vpp,64,nat,linux,100,1,1002.002002
61,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
62,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
63,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
64,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
65,3,1,rx,vpp,64,nat,linux,100,1,1000.0
66,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
67,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
68,3,1,rx,vpp,64,nat,linux,100,1,1002.00400802
69,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
70,3,1,rx,vpp,64,nat,linux,100,1,1000.0
71,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
72,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
73,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
74,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
75,3,1,rx,vpp,64,nat,linux,100,1,998.0
76,3,1,rx,vpp,64,nat,linux,100,1,1001.001001
77,3,1,rx,vpp,64,nat,linux,100,1,995.991983968
78,3,1,rx,vpp,64,nat,linux,100,1,1000.0
79,3,1,rx,vpp,64,nat,linux,100,1,857.142857143
80,3,1,rx,vpp,64,nat,linux,100,1,0.0
81,3,1,rx,vpp,64,nat,linux,100,1,0.0
