,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,uk,100,0,0.0
1,3,1,rx,vpp,64,mirror,uk,100,0,0.0
2,3,1,rx,vpp,64,mirror,uk,100,0,100688.679245
3,3,1,rx,vpp,64,mirror,uk,100,0,100580.41958
4,3,1,rx,vpp,64,mirror,uk,100,0,100677.0
5,3,1,rx,vpp,64,mirror,uk,100,0,100651.0
6,3,1,rx,vpp,64,mirror,uk,100,0,100646.0
7,3,1,rx,vpp,64,mirror,uk,100,0,83531.0
8,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
9,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
10,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
11,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
12,3,1,rx,vpp,64,mirror,uk,100,0,1006.00600601
13,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
14,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
15,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
16,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
17,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
18,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
19,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
20,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
21,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
22,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
23,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
24,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
25,3,1,rx,vpp,64,mirror,uk,100,0,1005.00500501
26,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
27,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
28,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
29,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
30,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
31,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
32,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
33,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
34,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
35,3,1,rx,vpp,64,mirror,uk,100,0,1006.00600601
36,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
37,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
38,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
39,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
40,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
41,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
42,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
43,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
44,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
45,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
46,3,1,rx,vpp,64,mirror,uk,100,0,1006.00600601
47,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
48,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
49,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
50,3,1,rx,vpp,64,mirror,uk,100,0,1008.0
51,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
52,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
53,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
54,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
55,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
56,3,1,rx,vpp,64,mirror,uk,100,0,1005.0
57,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
58,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
59,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
60,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
61,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
62,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
63,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
64,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
65,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
66,3,1,rx,vpp,64,mirror,uk,100,0,1004.0
67,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
68,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
69,3,1,rx,vpp,64,mirror,uk,100,0,1007.00700701
70,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
71,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
72,3,1,rx,vpp,64,mirror,uk,100,0,1008.01603206
73,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
74,3,1,rx,vpp,64,mirror,uk,100,0,1008.00800801
75,3,1,rx,vpp,64,mirror,uk,100,0,1007.0
76,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
77,3,1,rx,vpp,64,mirror,uk,100,0,1006.0
78,3,1,rx,vpp,64,mirror,uk,100,0,1013.6239782
79,3,1,rx,vpp,64,mirror,uk,100,0,0.0
80,3,1,rx,vpp,64,mirror,uk,100,0,0.0
