,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,nat,uk,100,1,0.0
1,3,1,rx,vpp,64,nat,uk,100,1,0.0
2,3,1,rx,vpp,64,nat,uk,100,1,100711.864407
3,3,1,rx,vpp,64,nat,uk,100,1,100673.0
4,3,1,rx,vpp,64,nat,uk,100,1,100705.0
5,3,1,rx,vpp,64,nat,uk,100,1,100650.0
6,3,1,rx,vpp,64,nat,uk,100,1,100687.0
7,3,1,rx,vpp,64,nat,uk,100,1,52904.0
8,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
9,3,1,rx,vpp,64,nat,uk,100,1,1007.0
10,3,1,rx,vpp,64,nat,uk,100,1,1006.0
11,3,1,rx,vpp,64,nat,uk,100,1,1006.0
12,3,1,rx,vpp,64,nat,uk,100,1,1007.0
13,3,1,rx,vpp,64,nat,uk,100,1,1006.0
14,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
15,3,1,rx,vpp,64,nat,uk,100,1,1007.0
16,3,1,rx,vpp,64,nat,uk,100,1,1006.0
17,3,1,rx,vpp,64,nat,uk,100,1,1006.0
18,3,1,rx,vpp,64,nat,uk,100,1,1007.0
19,3,1,rx,vpp,64,nat,uk,100,1,1006.0
20,3,1,rx,vpp,64,nat,uk,100,1,1007.0
21,3,1,rx,vpp,64,nat,uk,100,1,1006.00600601
22,3,1,rx,vpp,64,nat,uk,100,1,1007.0
23,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
24,3,1,rx,vpp,64,nat,uk,100,1,1007.0
25,3,1,rx,vpp,64,nat,uk,100,1,1007.0
26,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
27,3,1,rx,vpp,64,nat,uk,100,1,1007.0
28,3,1,rx,vpp,64,nat,uk,100,1,1007.0
29,3,1,rx,vpp,64,nat,uk,100,1,1007.0
30,3,1,rx,vpp,64,nat,uk,100,1,1006.0
31,3,1,rx,vpp,64,nat,uk,100,1,1004.995005
32,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
33,3,1,rx,vpp,64,nat,uk,100,1,1005.00500501
34,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
35,3,1,rx,vpp,64,nat,uk,100,1,1007.0
36,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
37,3,1,rx,vpp,64,nat,uk,100,1,1007.0
38,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
39,3,1,rx,vpp,64,nat,uk,100,1,1007.0
40,3,1,rx,vpp,64,nat,uk,100,1,1007.0
41,3,1,rx,vpp,64,nat,uk,100,1,1006.0
42,3,1,rx,vpp,64,nat,uk,100,1,1006.0
43,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
44,3,1,rx,vpp,64,nat,uk,100,1,1007.0
45,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
46,3,1,rx,vpp,64,nat,uk,100,1,1008.00800801
47,3,1,rx,vpp,64,nat,uk,100,1,1007.0
48,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
49,3,1,rx,vpp,64,nat,uk,100,1,1008.00800801
50,3,1,rx,vpp,64,nat,uk,100,1,1007.0
51,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
52,3,1,rx,vpp,64,nat,uk,100,1,1007.0
53,3,1,rx,vpp,64,nat,uk,100,1,1006.0
54,3,1,rx,vpp,64,nat,uk,100,1,1007.0
55,3,1,rx,vpp,64,nat,uk,100,1,1006.00600601
56,3,1,rx,vpp,64,nat,uk,100,1,1006.00600601
57,3,1,rx,vpp,64,nat,uk,100,1,1006.00600601
58,3,1,rx,vpp,64,nat,uk,100,1,1007.0
59,3,1,rx,vpp,64,nat,uk,100,1,1006.00600601
60,3,1,rx,vpp,64,nat,uk,100,1,1005.0
61,3,1,rx,vpp,64,nat,uk,100,1,998.998998999
62,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
63,3,1,rx,vpp,64,nat,uk,100,1,1007.0
64,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
65,3,1,rx,vpp,64,nat,uk,100,1,1007.0
66,3,1,rx,vpp,64,nat,uk,100,1,1006.0
67,3,1,rx,vpp,64,nat,uk,100,1,1006.0
68,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
69,3,1,rx,vpp,64,nat,uk,100,1,1008.0
70,3,1,rx,vpp,64,nat,uk,100,1,1005.0
71,3,1,rx,vpp,64,nat,uk,100,1,1007.0
72,3,1,rx,vpp,64,nat,uk,100,1,1006.00600601
73,3,1,rx,vpp,64,nat,uk,100,1,1008.00800801
74,3,1,rx,vpp,64,nat,uk,100,1,1007.0
75,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
76,3,1,rx,vpp,64,nat,uk,100,1,1007.0
77,3,1,rx,vpp,64,nat,uk,100,1,1007.00700701
78,3,1,rx,vpp,64,nat,uk,100,1,1100.0
79,3,1,rx,vpp,64,nat,uk,100,1,0.0
80,3,1,rx,vpp,64,nat,uk,100,1,0.0
