,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
1,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
2,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100908.088235
3,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100677.0
4,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100653.0
5,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100677.0
6,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100675.0
7,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,66978.0
8,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
9,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
10,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
11,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
12,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
13,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
14,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
15,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
16,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
17,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
18,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
19,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
20,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.0
21,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
22,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
23,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
24,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
25,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
26,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
27,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
28,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.01402806
29,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1009.00900901
30,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
31,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
32,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
33,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
34,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
35,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
36,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
37,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
38,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
39,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
40,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
41,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
42,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
43,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
44,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
45,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
46,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
47,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
48,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
49,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1009.00900901
50,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
51,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
52,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
53,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
54,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
55,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
56,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
57,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
58,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
59,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
60,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.00600601
61,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
62,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
63,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
64,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
65,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
66,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
67,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.01402806
68,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1009.00900901
69,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.0
70,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
71,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
72,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
73,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1006.0
74,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
75,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.0
76,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1007.00700701
77,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1008.00800801
78,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,1030.76923077
79,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
80,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
