,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,nat,ukebpfjit,100,0,0.0
1,3,1,rx,vpp,64,nat,ukebpfjit,100,0,0.0
2,3,1,rx,vpp,64,nat,ukebpfjit,100,0,0.0
3,3,1,rx,vpp,64,nat,ukebpfjit,100,0,100785.106383
4,3,1,rx,vpp,64,nat,ukebpfjit,100,0,100664.0
5,3,1,rx,vpp,64,nat,ukebpfjit,100,0,100717.0
6,3,1,rx,vpp,64,nat,ukebpfjit,100,0,101119.815668
7,3,1,rx,vpp,64,nat,ukebpfjit,100,0,100701.0
8,3,1,rx,vpp,64,nat,ukebpfjit,100,0,46970.0
9,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1005.00500501
10,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
11,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
12,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
13,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
14,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
15,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1008.00800801
16,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
17,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
18,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1006.0
19,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1005.0
20,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
21,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
22,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1008.00800801
23,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
24,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
25,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
26,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
27,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
28,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1006.0
29,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
30,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1006.01202405
31,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1009.00900901
32,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
33,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1006.0
34,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
35,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
36,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
37,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1008.00800801
38,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
39,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.00700701
40,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1006.0
41,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
42,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1005.0
43,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1007.0
44,3,1,rx,vpp,64,nat,ukebpfjit,100,0,1006.0
