,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,empty,linux,0,944231.768232
1,3,1,rx,vpp,256,empty,linux,0,917092.814371
2,3,1,rx,vpp,256,empty,linux,0,907745.0
3,3,1,rx,vpp,256,empty,linux,0,937936.063936
4,3,1,rx,vpp,256,empty,linux,0,913431.137725
5,3,1,rx,vpp,256,empty,linux,0,938972.027972
6,3,1,rx,vpp,256,empty,linux,0,938873.0
7,3,1,rx,vpp,256,empty,linux,0,921133.0
8,3,1,rx,vpp,256,empty,linux,0,945608.0
9,3,1,rx,vpp,256,empty,linux,0,934573.426573
10,3,1,rx,vpp,256,empty,linux,0,913441.0
11,3,1,rx,vpp,256,empty,linux,0,934729.0
12,3,1,rx,vpp,256,empty,linux,0,932724.0
13,3,1,rx,vpp,256,empty,linux,0,936285.0
14,3,1,rx,vpp,256,empty,linux,0,905074.0
15,3,1,rx,vpp,256,empty,linux,0,931233.0
16,3,1,rx,vpp,256,empty,linux,0,931621.0
17,3,1,rx,vpp,256,empty,linux,0,887609.390609
18,3,1,rx,vpp,256,empty,linux,0,936025.0
19,3,1,rx,vpp,256,empty,linux,0,927218.0
20,3,1,rx,vpp,256,empty,linux,0,879202.797203
21,3,1,rx,vpp,256,empty,linux,0,934537.462537
22,3,1,rx,vpp,256,empty,linux,0,930587.412587
23,3,1,rx,vpp,256,empty,linux,0,855860.0
24,3,1,rx,vpp,256,empty,linux,0,927178.0
25,3,1,rx,vpp,256,empty,linux,0,933171.0
26,3,1,rx,vpp,256,empty,linux,0,932760.23976
27,3,1,rx,vpp,256,empty,linux,0,927993.0
28,3,1,rx,vpp,256,empty,linux,0,933017.982018
29,3,1,rx,vpp,256,empty,linux,0,935376.0
30,3,1,rx,vpp,256,empty,linux,0,926182.0
31,3,1,rx,vpp,256,empty,linux,0,937239.76024
32,3,1,rx,vpp,256,empty,linux,0,927167.0
33,3,1,rx,vpp,256,empty,linux,0,931622.0
34,3,1,rx,vpp,256,empty,linux,0,933592.0
35,3,1,rx,vpp,256,empty,linux,0,934989.0
36,3,1,rx,vpp,256,empty,linux,0,919936.127745
37,3,1,rx,vpp,256,empty,linux,0,933175.0
38,3,1,rx,vpp,256,empty,linux,0,937837.0
39,3,1,rx,vpp,256,empty,linux,0,929548.0
40,3,1,rx,vpp,256,empty,linux,0,935247.0
41,3,1,rx,vpp,256,empty,linux,0,932188.622754
42,3,1,rx,vpp,256,empty,linux,0,932137.862138
43,3,1,rx,vpp,256,empty,linux,0,924999.000999
44,3,1,rx,vpp,256,empty,linux,0,927067.0
45,3,1,rx,vpp,256,empty,linux,0,930945.054945
46,3,1,rx,vpp,256,empty,linux,0,935765.0
47,3,1,rx,vpp,256,empty,linux,0,928727.54491
48,3,1,rx,vpp,256,empty,linux,0,935894.0
49,3,1,rx,vpp,256,empty,linux,0,927348.0
50,3,1,rx,vpp,256,empty,linux,0,933435.0
51,3,1,rx,vpp,256,empty,linux,0,932144.855145
52,3,1,rx,vpp,256,empty,linux,0,928511.0
53,3,1,rx,vpp,256,empty,linux,0,898854.0
54,3,1,rx,vpp,256,empty,linux,0,919436.0
55,3,1,rx,vpp,256,empty,linux,0,932523.0
56,3,1,rx,vpp,256,empty,linux,0,930457.0
57,3,1,rx,vpp,256,empty,linux,0,928255.0
58,3,1,rx,vpp,256,empty,linux,0,936544.0
59,3,1,rx,vpp,256,empty,linux,0,936023.0
60,3,1,rx,vpp,256,empty,linux,0,926034.965035
61,3,1,rx,vpp,256,empty,linux,0,928255.0
62,3,1,rx,vpp,256,empty,linux,0,926653.0
63,3,1,rx,vpp,256,empty,linux,0,927916.0
64,3,1,rx,vpp,256,empty,linux,0,927263.736264
65,3,1,rx,vpp,256,empty,linux,0,933432.0
66,3,1,rx,vpp,256,empty,linux,0,928361.638362
67,3,1,rx,vpp,256,empty,linux,0,929936.0
68,3,1,rx,vpp,256,empty,linux,0,939651.0
