,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,filter,linux,1,849890.219561
1,3,1,rx,vpp,64,filter,linux,1,860397.0
2,3,1,rx,vpp,64,filter,linux,1,853379.241517
3,3,1,rx,vpp,64,filter,linux,1,849123.0
4,3,1,rx,vpp,64,filter,linux,1,848483.0
5,3,1,rx,vpp,64,filter,linux,1,850350.649351
6,3,1,rx,vpp,64,filter,linux,1,852624.0
7,3,1,rx,vpp,64,filter,linux,1,818915.084915
8,3,1,rx,vpp,64,filter,linux,1,852576.0
9,3,1,rx,vpp,64,filter,linux,1,848620.37962
10,3,1,rx,vpp,64,filter,linux,1,853417.0
11,3,1,rx,vpp,64,filter,linux,1,861689.0
12,3,1,rx,vpp,64,filter,linux,1,850424.0
13,3,1,rx,vpp,64,filter,linux,1,845068.931069
14,3,1,rx,vpp,64,filter,linux,1,855602.0
15,3,1,rx,vpp,64,filter,linux,1,850740.25974
16,3,1,rx,vpp,64,filter,linux,1,855523.476523
17,3,1,rx,vpp,64,filter,linux,1,852884.0
18,3,1,rx,vpp,64,filter,linux,1,849999.0
19,3,1,rx,vpp,64,filter,linux,1,849380.0
20,3,1,rx,vpp,64,filter,linux,1,848795.0
21,3,1,rx,vpp,64,filter,linux,1,850479.52048
22,3,1,rx,vpp,64,filter,linux,1,853404.0
23,3,1,rx,vpp,64,filter,linux,1,849259.0
24,3,1,rx,vpp,64,filter,linux,1,845240.0
25,3,1,rx,vpp,64,filter,linux,1,851850.0
26,3,1,rx,vpp,64,filter,linux,1,845375.0
27,3,1,rx,vpp,64,filter,linux,1,849705.294705
28,3,1,rx,vpp,64,filter,linux,1,852316.683317
29,3,1,rx,vpp,64,filter,linux,1,855034.0
30,3,1,rx,vpp,64,filter,linux,1,860804.195804
31,3,1,rx,vpp,64,filter,linux,1,854174.0
32,3,1,rx,vpp,64,filter,linux,1,857807.0
33,3,1,rx,vpp,64,filter,linux,1,863413.586414
34,3,1,rx,vpp,64,filter,linux,1,851613.0
35,3,1,rx,vpp,64,filter,linux,1,864880.239521
36,3,1,rx,vpp,64,filter,linux,1,855993.0
37,3,1,rx,vpp,64,filter,linux,1,822322.0
38,3,1,rx,vpp,64,filter,linux,1,849814.0
39,3,1,rx,vpp,64,filter,linux,1,849128.871129
40,3,1,rx,vpp,64,filter,linux,1,861253.0
41,3,1,rx,vpp,64,filter,linux,1,855473.0
42,3,1,rx,vpp,64,filter,linux,1,852621.0
43,3,1,rx,vpp,64,filter,linux,1,859615.0
44,3,1,rx,vpp,64,filter,linux,1,854914.085914
45,3,1,rx,vpp,64,filter,linux,1,860521.0
46,3,1,rx,vpp,64,filter,linux,1,854050.0
47,3,1,rx,vpp,64,filter,linux,1,855473.0
48,3,1,rx,vpp,64,filter,linux,1,859307.0
49,3,1,rx,vpp,64,filter,linux,1,863452.0
50,3,1,rx,vpp,64,filter,linux,1,855581.418581
51,3,1,rx,vpp,64,filter,linux,1,853549.450549
52,3,1,rx,vpp,64,filter,linux,1,842526.0
53,3,1,rx,vpp,64,filter,linux,1,846341.658342
54,3,1,rx,vpp,64,filter,linux,1,848439.0
55,3,1,rx,vpp,64,filter,linux,1,850296.0
56,3,1,rx,vpp,64,filter,linux,1,853661.0
57,3,1,rx,vpp,64,filter,linux,1,857547.0
58,3,1,rx,vpp,64,filter,linux,1,842421.0
59,3,1,rx,vpp,64,filter,linux,1,852576.0
60,3,1,rx,vpp,64,filter,linux,1,849517.0
61,3,1,rx,vpp,64,filter,linux,1,849800.0
62,3,1,rx,vpp,64,filter,linux,1,854880.11988
63,3,1,rx,vpp,64,filter,linux,1,853923.0
64,3,1,rx,vpp,64,filter,linux,1,845306.693307
65,3,1,rx,vpp,64,filter,linux,1,849523.0
66,3,1,rx,vpp,64,filter,linux,1,854103.896104
67,3,1,rx,vpp,64,filter,linux,1,853763.473054
68,3,1,rx,vpp,64,filter,linux,1,814974.0
