,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1518,ids,linux,1,130527.777778
1,3,1,rx,vpp,1518,ids,linux,1,130787.276342
2,3,1,rx,vpp,1518,ids,linux,1,130794.205794
3,3,1,rx,vpp,1518,ids,linux,1,130659.701493
4,3,1,rx,vpp,1518,ids,linux,1,130660.358566
5,3,1,rx,vpp,1518,ids,linux,1,130664.335664
6,3,1,rx,vpp,1518,ids,linux,1,130533.932136
7,3,1,rx,vpp,1518,ids,linux,1,130018.0
8,3,1,rx,vpp,1518,ids,linux,1,130664.335664
9,3,1,rx,vpp,1518,ids,linux,1,130795.0
10,3,1,rx,vpp,1518,ids,linux,1,130666.0
11,3,1,rx,vpp,1518,ids,linux,1,130665.0
12,3,1,rx,vpp,1518,ids,linux,1,130664.335664
13,3,1,rx,vpp,1518,ids,linux,1,130664.335664
14,3,1,rx,vpp,1518,ids,linux,1,131313.0
15,3,1,rx,vpp,1518,ids,linux,1,130794.205794
16,3,1,rx,vpp,1518,ids,linux,1,130406.0
17,3,1,rx,vpp,1518,ids,linux,1,130277.0
18,3,1,rx,vpp,1518,ids,linux,1,130536.0
19,3,1,rx,vpp,1518,ids,linux,1,130536.0
20,3,1,rx,vpp,1518,ids,linux,1,130536.0
21,3,1,rx,vpp,1518,ids,linux,1,130794.205794
22,3,1,rx,vpp,1518,ids,linux,1,131051.948052
23,3,1,rx,vpp,1518,ids,linux,1,130664.335664
24,3,1,rx,vpp,1518,ids,linux,1,130664.335664
25,3,1,rx,vpp,1518,ids,linux,1,130535.464535
26,3,1,rx,vpp,1518,ids,linux,1,130536.0
27,3,1,rx,vpp,1518,ids,linux,1,130665.0
28,3,1,rx,vpp,1518,ids,linux,1,130794.205794
29,3,1,rx,vpp,1518,ids,linux,1,130665.0
30,3,1,rx,vpp,1518,ids,linux,1,130794.205794
31,3,1,rx,vpp,1518,ids,linux,1,130665.0
32,3,1,rx,vpp,1518,ids,linux,1,131184.0
33,3,1,rx,vpp,1518,ids,linux,1,131960.0
34,3,1,rx,vpp,1518,ids,linux,1,130666.0
35,3,1,rx,vpp,1518,ids,linux,1,130534.465534
36,3,1,rx,vpp,1518,ids,linux,1,130664.335664
37,3,1,rx,vpp,1518,ids,linux,1,129759.240759
38,3,1,rx,vpp,1518,ids,linux,1,130405.594406
39,3,1,rx,vpp,1518,ids,linux,1,130536.0
40,3,1,rx,vpp,1518,ids,linux,1,130924.0
41,3,1,rx,vpp,1518,ids,linux,1,130405.594406
42,3,1,rx,vpp,1518,ids,linux,1,130664.335664
43,3,1,rx,vpp,1518,ids,linux,1,130535.464535
44,3,1,rx,vpp,1518,ids,linux,1,130536.0
45,3,1,rx,vpp,1518,ids,linux,1,130665.0
46,3,1,rx,vpp,1518,ids,linux,1,130536.0
47,3,1,rx,vpp,1518,ids,linux,1,130535.464535
48,3,1,rx,vpp,1518,ids,linux,1,130405.594406
49,3,1,rx,vpp,1518,ids,linux,1,132090.0
50,3,1,rx,vpp,1518,ids,linux,1,130406.0
51,3,1,rx,vpp,1518,ids,linux,1,130664.335664
52,3,1,rx,vpp,1518,ids,linux,1,130666.0
53,3,1,rx,vpp,1518,ids,linux,1,131054.0
54,3,1,rx,vpp,1518,ids,linux,1,131310.689311
55,3,1,rx,vpp,1518,ids,linux,1,130535.464535
56,3,1,rx,vpp,1518,ids,linux,1,130795.0
57,3,1,rx,vpp,1518,ids,linux,1,130665.0
58,3,1,rx,vpp,1518,ids,linux,1,130405.594406
59,3,1,rx,vpp,1518,ids,linux,1,130276.723277
60,3,1,rx,vpp,1518,ids,linux,1,130793.206793
61,3,1,rx,vpp,1518,ids,linux,1,130664.335664
62,3,1,rx,vpp,1518,ids,linux,1,130405.594406
63,3,1,rx,vpp,1518,ids,linux,1,131311.688312
64,3,1,rx,vpp,1518,ids,linux,1,130795.0
65,3,1,rx,vpp,1518,ids,linux,1,130665.0
66,3,1,rx,vpp,1518,ids,linux,1,130536.0
67,3,1,rx,vpp,1518,ids,linux,1,130925.0
68,3,1,rx,vpp,1518,ids,linux,1,130147.0
