,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,mirror,linux,0,11412.2137405
1,3,1,rx,vpp,256,mirror,linux,0,11315.2804642
2,3,1,rx,vpp,256,mirror,linux,0,11425.0248262
3,3,1,rx,vpp,256,mirror,linux,0,12622.6600985
4,3,1,rx,vpp,256,mirror,linux,0,12348.0392157
5,3,1,rx,vpp,256,mirror,linux,0,11865.0793651
6,3,1,rx,vpp,256,mirror,linux,0,12005.958292
7,3,1,rx,vpp,256,mirror,linux,0,11471.5852443
8,3,1,rx,vpp,256,mirror,linux,0,11693.8369781
9,3,1,rx,vpp,256,mirror,linux,0,11782.8685259
10,3,1,rx,vpp,256,mirror,linux,0,11500.9940358
11,3,1,rx,vpp,256,mirror,linux,0,11688.3116883
12,3,1,rx,vpp,256,mirror,linux,0,11653.3864542
13,3,1,rx,vpp,256,mirror,linux,0,12263.1578947
14,3,1,rx,vpp,256,mirror,linux,0,12753.9840637
15,3,1,rx,vpp,256,mirror,linux,0,11653.3864542
16,3,1,rx,vpp,256,mirror,linux,0,11688.3116883
17,3,1,rx,vpp,256,mirror,linux,0,11201.1952191
18,3,1,rx,vpp,256,mirror,linux,0,11570.0
19,3,1,rx,vpp,256,mirror,linux,0,11806.3872255
20,3,1,rx,vpp,256,mirror,linux,0,10984.0954274
21,3,1,rx,vpp,256,mirror,linux,0,11576.119403
22,3,1,rx,vpp,256,mirror,linux,0,11246.0
23,3,1,rx,vpp,256,mirror,linux,0,11941.0
24,3,1,rx,vpp,256,mirror,linux,0,12684.9451645
25,3,1,rx,vpp,256,mirror,linux,0,11676.6467066
26,3,1,rx,vpp,256,mirror,linux,0,11653.3864542
27,3,1,rx,vpp,256,mirror,linux,0,11884.1158841
28,3,1,rx,vpp,256,mirror,linux,0,11771.1442786
29,3,1,rx,vpp,256,mirror,linux,0,11799.6031746
30,3,1,rx,vpp,256,mirror,linux,0,11830.0
31,3,1,rx,vpp,256,mirror,linux,0,11794.6161515
32,3,1,rx,vpp,256,mirror,linux,0,11483.0339321
33,3,1,rx,vpp,256,mirror,linux,0,12690.3096903
34,3,1,rx,vpp,256,mirror,linux,0,12713.8584247
35,3,1,rx,vpp,256,mirror,linux,0,11858.4247258
36,3,1,rx,vpp,256,mirror,linux,0,11653.3864542
37,3,1,rx,vpp,256,mirror,linux,0,11742.5149701
38,3,1,rx,vpp,256,mirror,linux,0,11688.3116883
39,3,1,rx,vpp,256,mirror,linux,0,11634.0
40,3,1,rx,vpp,256,mirror,linux,0,11707.4626866
41,3,1,rx,vpp,256,mirror,linux,0,11504.0
42,3,1,rx,vpp,256,mirror,linux,0,11428.5714286
43,3,1,rx,vpp,256,mirror,linux,0,12646.3536464
44,3,1,rx,vpp,256,mirror,linux,0,12573.2801595
45,3,1,rx,vpp,256,mirror,linux,0,11653.3864542
46,3,1,rx,vpp,256,mirror,linux,0,11670.6349206
47,3,1,rx,vpp,256,mirror,linux,0,11601.1964108
48,3,1,rx,vpp,256,mirror,linux,0,11740.5189621
49,3,1,rx,vpp,256,mirror,linux,0,11570.0
50,3,1,rx,vpp,256,mirror,linux,0,11676.6467066
51,3,1,rx,vpp,256,mirror,linux,0,11676.6467066
52,3,1,rx,vpp,256,mirror,linux,0,11146.560319
53,3,1,rx,vpp,256,mirror,linux,0,12542.204568
54,3,1,rx,vpp,256,mirror,linux,0,12596.8063872
55,3,1,rx,vpp,256,mirror,linux,0,11610.7784431
56,3,1,rx,vpp,256,mirror,linux,0,11742.5149701
57,3,1,rx,vpp,256,mirror,linux,0,11535.3938185
58,3,1,rx,vpp,256,mirror,linux,0,11676.6467066
59,3,1,rx,vpp,256,mirror,linux,0,11630.2186879
60,3,1,rx,vpp,256,mirror,linux,0,11665.004985
61,3,1,rx,vpp,256,mirror,linux,0,13477.1825397
62,3,1,rx,vpp,256,mirror,linux,0,11653.3864542
63,3,1,rx,vpp,256,mirror,linux,0,12442.671984
64,3,1,rx,vpp,256,mirror,linux,0,12586.4135864
65,3,1,rx,vpp,256,mirror,linux,0,11806.3872255
66,3,1,rx,vpp,256,mirror,linux,0,11782.8685259
67,3,1,rx,vpp,256,mirror,linux,0,13014.2247511
