,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,nat,linux,1,612820.0
1,3,1,rx,vpp,1024,nat,linux,1,611520.0
2,3,1,rx,vpp,1024,nat,linux,1,612375.249501
3,3,1,rx,vpp,1024,nat,linux,1,612467.532468
4,3,1,rx,vpp,1024,nat,linux,1,612885.0
5,3,1,rx,vpp,1024,nat,linux,1,611910.0
6,3,1,rx,vpp,1024,nat,linux,1,615428.0
7,3,1,rx,vpp,1024,nat,linux,1,621311.0
8,3,1,rx,vpp,1024,nat,linux,1,612406.0
9,3,1,rx,vpp,1024,nat,linux,1,621855.0
10,3,1,rx,vpp,1024,nat,linux,1,612987.012987
11,3,1,rx,vpp,1024,nat,linux,1,612950.0
12,3,1,rx,vpp,1024,nat,linux,1,612337.662338
13,3,1,rx,vpp,1024,nat,linux,1,612012.987013
14,3,1,rx,vpp,1024,nat,linux,1,612885.0
15,3,1,rx,vpp,1024,nat,linux,1,612820.0
16,3,1,rx,vpp,1024,nat,linux,1,622806.0
17,3,1,rx,vpp,1024,nat,linux,1,622278.0
18,3,1,rx,vpp,1024,nat,linux,1,613600.0
19,3,1,rx,vpp,1024,nat,linux,1,622411.0
20,3,1,rx,vpp,1024,nat,linux,1,615160.0
21,3,1,rx,vpp,1024,nat,linux,1,614545.454545
22,3,1,rx,vpp,1024,nat,linux,1,614285.714286
23,3,1,rx,vpp,1024,nat,linux,1,614120.0
24,3,1,rx,vpp,1024,nat,linux,1,614805.194805
25,3,1,rx,vpp,1024,nat,linux,1,613506.493506
26,3,1,rx,vpp,1024,nat,linux,1,622812.0
27,3,1,rx,vpp,1024,nat,linux,1,622219.0
28,3,1,rx,vpp,1024,nat,linux,1,613311.688312
29,3,1,rx,vpp,1024,nat,linux,1,623413.0
30,3,1,rx,vpp,1024,nat,linux,1,618475.0
31,3,1,rx,vpp,1024,nat,linux,1,617500.0
32,3,1,rx,vpp,1024,nat,linux,1,617825.0
33,3,1,rx,vpp,1024,nat,linux,1,617500.0
34,3,1,rx,vpp,1024,nat,linux,1,618475.0
35,3,1,rx,vpp,1024,nat,linux,1,617825.0
36,3,1,rx,vpp,1024,nat,linux,1,622141.0
37,3,1,rx,vpp,1024,nat,linux,1,626448.0
38,3,1,rx,vpp,1024,nat,linux,1,617012.987013
39,3,1,rx,vpp,1024,nat,linux,1,623665.0
40,3,1,rx,vpp,1024,nat,linux,1,611910.0
41,3,1,rx,vpp,1024,nat,linux,1,612300.0
42,3,1,rx,vpp,1024,nat,linux,1,613080.0
43,3,1,rx,vpp,1024,nat,linux,1,612077.922078
44,3,1,rx,vpp,1024,nat,linux,1,613080.0
45,3,1,rx,vpp,1024,nat,linux,1,611910.0
46,3,1,rx,vpp,1024,nat,linux,1,623201.0
47,3,1,rx,vpp,1024,nat,linux,1,622439.0
48,3,1,rx,vpp,1024,nat,linux,1,610909.090909
49,3,1,rx,vpp,1024,nat,linux,1,617493.0
50,3,1,rx,vpp,1024,nat,linux,1,618800.0
51,3,1,rx,vpp,1024,nat,linux,1,613600.0
52,3,1,rx,vpp,1024,nat,linux,1,613080.0
53,3,1,rx,vpp,1024,nat,linux,1,614640.0
54,3,1,rx,vpp,1024,nat,linux,1,613860.0
55,3,1,rx,vpp,1024,nat,linux,1,614380.0
56,3,1,rx,vpp,1024,nat,linux,1,623440.0
57,3,1,rx,vpp,1024,nat,linux,1,623040.0
58,3,1,rx,vpp,1024,nat,linux,1,612207.792208
59,3,1,rx,vpp,1024,nat,linux,1,614120.0
60,3,1,rx,vpp,1024,nat,linux,1,622307.0
61,3,1,rx,vpp,1024,nat,linux,1,612365.0
62,3,1,rx,vpp,1024,nat,linux,1,612950.0
63,3,1,rx,vpp,1024,nat,linux,1,612625.0
64,3,1,rx,vpp,1024,nat,linux,1,612625.0
65,3,1,rx,vpp,1024,nat,linux,1,611038.961039
66,3,1,rx,vpp,1024,nat,linux,1,621857.142857
67,3,1,rx,vpp,1024,nat,linux,1,616002.997003
