,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,empty,linux,1,704105.75
1,3,1,tx,vpp,1024,empty,linux,1,703300.19
2,3,1,tx,vpp,1024,empty,linux,1,706128.56
3,3,1,tx,vpp,1024,empty,linux,1,706020.62
4,3,1,tx,vpp,1024,empty,linux,1,706377.12
5,3,1,tx,vpp,1024,empty,linux,1,706658.25
6,3,1,tx,vpp,1024,empty,linux,1,706442.69
7,3,1,tx,vpp,1024,empty,linux,1,705564.81
8,3,1,tx,vpp,1024,empty,linux,1,705237.19
9,3,1,tx,vpp,1024,empty,linux,1,705622.56
10,3,1,tx,vpp,1024,empty,linux,1,706474.62
11,3,1,tx,vpp,1024,empty,linux,1,705578.12
12,3,1,tx,vpp,1024,empty,linux,1,707372.62
13,3,1,tx,vpp,1024,empty,linux,1,706281.0
14,3,1,tx,vpp,1024,empty,linux,1,704282.25
15,3,1,tx,vpp,1024,empty,linux,1,703638.56
16,3,1,tx,vpp,1024,empty,linux,1,704437.12
17,3,1,tx,vpp,1024,empty,linux,1,704637.75
18,3,1,tx,vpp,1024,empty,linux,1,704388.44
19,3,1,tx,vpp,1024,empty,linux,1,705939.62
20,3,1,tx,vpp,1024,empty,linux,1,707356.88
21,3,1,tx,vpp,1024,empty,linux,1,705703.75
22,3,1,tx,vpp,1024,empty,linux,1,708985.94
23,3,1,tx,vpp,1024,empty,linux,1,710039.75
24,3,1,tx,vpp,1024,empty,linux,1,710501.44
25,3,1,tx,vpp,1024,empty,linux,1,709287.5
26,3,1,tx,vpp,1024,empty,linux,1,709640.25
27,3,1,tx,vpp,1024,empty,linux,1,708625.56
28,3,1,tx,vpp,1024,empty,linux,1,708011.38
29,3,1,tx,vpp,1024,empty,linux,1,708280.88
30,3,1,tx,vpp,1024,empty,linux,1,708416.25
31,3,1,tx,vpp,1024,empty,linux,1,709151.81
32,3,1,tx,vpp,1024,empty,linux,1,707735.94
33,3,1,tx,vpp,1024,empty,linux,1,706566.75
34,3,1,tx,vpp,1024,empty,linux,1,705174.94
35,3,1,tx,vpp,1024,empty,linux,1,704293.75
36,3,1,tx,vpp,1024,empty,linux,1,704313.44
37,3,1,tx,vpp,1024,empty,linux,1,703165.88
38,3,1,tx,vpp,1024,empty,linux,1,702623.38
39,3,1,tx,vpp,1024,empty,linux,1,703513.75
40,3,1,tx,vpp,1024,empty,linux,1,703159.69
41,3,1,tx,vpp,1024,empty,linux,1,703163.81
42,3,1,tx,vpp,1024,empty,linux,1,701441.25
43,3,1,tx,vpp,1024,empty,linux,1,701248.31
44,3,1,tx,vpp,1024,empty,linux,1,702834.81
45,3,1,tx,vpp,1024,empty,linux,1,702701.19
46,3,1,tx,vpp,1024,empty,linux,1,702762.81
47,3,1,tx,vpp,1024,empty,linux,1,702730.69
48,3,1,tx,vpp,1024,empty,linux,1,702469.19
49,3,1,tx,vpp,1024,empty,linux,1,703713.31
50,3,1,tx,vpp,1024,empty,linux,1,704398.56
51,3,1,tx,vpp,1024,empty,linux,1,703045.75
52,3,1,tx,vpp,1024,empty,linux,1,702415.31
53,3,1,tx,vpp,1024,empty,linux,1,704851.81
54,3,1,tx,vpp,1024,empty,linux,1,706045.44
55,3,1,tx,vpp,1024,empty,linux,1,705999.88
56,3,1,tx,vpp,1024,empty,linux,1,708435.5
57,3,1,tx,vpp,1024,empty,linux,1,708805.38
58,3,1,tx,vpp,1024,empty,linux,1,708611.5
59,3,1,tx,vpp,1024,empty,linux,1,706890.88
60,3,1,tx,vpp,1024,empty,linux,1,705697.62
61,3,1,tx,vpp,1024,empty,linux,1,707833.38
62,3,1,tx,vpp,1024,empty,linux,1,706002.88
63,3,1,tx,vpp,1024,empty,linux,1,706420.25
64,3,1,tx,vpp,1024,empty,linux,1,706288.75
65,3,1,tx,vpp,1024,empty,linux,1,705558.31
66,3,1,tx,vpp,1024,empty,linux,1,706041.81
67,3,1,tx,vpp,1024,empty,linux,1,706743.06
