/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 7863178214
Startup trace (nsec): init done: 7871264094
Number of packets sent : 825600
Number of packets sent : 784103.960396
Number of packets sent : 756623.073098
Number of packets sent : 764107.937562
Number of packets sent : 771978.320459
Number of packets sent : 772124.650977
Number of packets sent : 769906.068163
Number of packets sent : 770821.123147
Number of packets sent : 771459.081836
Number of packets sent : 769088.943107
Number of packets sent : 769508.185267
Number of packets sent : 769545.561808
Number of packets sent : 769777.371048
Number of packets sent : 769180.261137
Number of packets sent : 769377.148563
Number of packets sent : 769685.195047
Number of packets sent : 769519.722881
Number of packets sent : 769419.432532
Number of packets sent : 769458.858126
Number of packets sent : 768897.597645
Number of packets sent : 768857.620855
Number of packets sent : 769157.439117
Number of packets sent : 768198.147475
Number of packets sent : 768467.187839
Number of packets sent : 768778.022893
Number of packets sent : 768399.040959
Number of packets sent : 768599.385207
Number of packets sent : 768546.436765
Number of packets sent : 768869.906515
Number of packets sent : 768356.473507
Number of packets sent : 768416.558431
Number of packets sent : 768579.882038
Number of packets sent : 768599.650295
Number of packets sent : 768786.756691
Number of packets sent : 768909.633243
Number of packets sent : 768826.772103
Number of packets sent : 769127.896972
Number of packets sent : 769224.763705
Number of packets sent : 769363.896923
Number of packets sent : 769297.097179
Number of packets sent : 769462.091879
Number of packets sent : 769667.113472
Number of packets sent : 769716.78721
Number of packets sent : 769960.215653
Number of packets sent : 769964.163241
Number of packets sent : 770079.563875
Number of packets sent : 770206.764712
Number of packets sent : 770386.231237
Number of packets sent : 770324.499313
Number of packets sent : 770250.560835
Number of packets sent : 770303.267713
Number of packets sent : 770315.038699
Number of packets sent : 770382.050543
Number of packets sent : 770610.86809
Number of packets sent : 770730.883115
Number of packets sent : 770734.028636
Number of packets sent : 770817.691882
Number of packets sent : 770975.314702
Number of packets sent : 771009.648851
Number of packets sent : 770850.147363
Number of packets sent : 770855.294059
Number of packets sent : 770754.648667
Number of packets sent : 770765.373394
Number of packets sent : 770880.756357
Number of packets sent : 770997.954372
Number of packets sent : 771127.415858
Number of packets sent : 771213.930951
Number of packets sent : 771274.731504
Number of packets sent : 771356.496179
Number of packets sent : 771248.566049
Number of packets sent : 771233.88064
Number of packets sent : 771218.380935
AUTOTEST_DONE
