Startup trace (nsec): main: 83292665905
Startup trace (nsec): init done: 83296180745
Number of packets sent : 825600
Number of packets sent : 772467.326733
Number of packets sent : 774577.324714
Number of packets sent : 773472.79363
Number of packets sent : 771574.346202
Number of packets sent : 772212.719298
Number of packets sent : 771952.634203
Number of packets sent : 771968.937019
Number of packets sent : 771484.723781
Number of packets sent : 771806.762749
Number of packets sent : 771433.689253
Number of packets sent : 771338.807731
Number of packets sent : 771023.625322
Number of packets sent : 770800.10751
Number of packets sent : 770553.41606
Number of packets sent : 770885.900679
Number of packets sent : 771080.446858
Number of packets sent : 771251.95324
Number of packets sent : 770978.58411
Number of packets sent : 770771.236333
Number of packets sent : 770700.559329
Number of packets sent : 770802.273592
Number of packets sent : 770613.757094
Number of packets sent : 770758.436482
Number of packets sent : 770709.190044
Number of packets sent : 770773.675378
Number of packets sent : 770868.02167
Number of packets sent : 770797.757798
Number of packets sent : 770820.958362
Number of packets sent : 770850.592531
Number of packets sent : 771127.314506
Number of packets sent : 771344.62421
Number of packets sent : 771387.254902
Number of packets sent : 771278.391716
Number of packets sent : 771196.185606
Number of packets sent : 771209.940335
Number of packets sent : 771158.562309
Number of packets sent : 771123.818526
Number of packets sent : 771124.270313
Number of packets sent : 771181.424545
Number of packets sent : 771242.237266
Number of packets sent : 771375.472204
Number of packets sent : 771272.180058
Number of packets sent : 771176.54714
Number of packets sent : 771107.149346
Number of packets sent : 771042.480902
Number of packets sent : 771031.129842
Number of packets sent : 771044.88338
Number of packets sent : 771178.91866
Number of packets sent : 771250.851467
Number of packets sent : 771220.769876
Number of packets sent : 771255.006466
Number of packets sent : 771223.522629
Number of packets sent : 771196.285472
Number of packets sent : 771160.451559
Number of packets sent : 771197.983102
Number of packets sent : 771227.318153
Number of packets sent : 771153.797602
Number of packets sent : 771202.839617
Number of packets sent : 771219.472534
Number of packets sent : 771317.354298
Number of packets sent : 771323.306792
Number of packets sent : 771378.929043
Number of packets sent : 771302.638049
Number of packets sent : 771254.54801
Number of packets sent : 771298.743831
Number of packets sent : 771296.714113
Number of packets sent : 771244.674821
Number of packets sent : 771279.522641
Number of packets sent : 771312.857577
Number of packets sent : 771257.292157
Number of packets sent : 771290.490133
AUTOTEST_DONE
