,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,filter,linux,0,683115.5
1,3,1,tx,vpp,1024,filter,linux,0,686576.38
2,3,1,tx,vpp,1024,filter,linux,0,670769.88
3,3,1,tx,vpp,1024,filter,linux,0,684067.38
4,3,1,tx,vpp,1024,filter,linux,0,682044.5
5,3,1,tx,vpp,1024,filter,linux,0,678064.88
6,3,1,tx,vpp,1024,filter,linux,0,682480.62
7,3,1,tx,vpp,1024,filter,linux,0,683262.12
8,3,1,tx,vpp,1024,filter,linux,0,681776.88
9,3,1,tx,vpp,1024,filter,linux,0,688224.0
10,3,1,tx,vpp,1024,filter,linux,0,688576.5
11,3,1,tx,vpp,1024,filter,linux,0,679115.62
12,3,1,tx,vpp,1024,filter,linux,0,685608.38
13,3,1,tx,vpp,1024,filter,linux,0,687054.38
14,3,1,tx,vpp,1024,filter,linux,0,681777.12
15,3,1,tx,vpp,1024,filter,linux,0,684703.06
16,3,1,tx,vpp,1024,filter,linux,0,685504.88
17,3,1,tx,vpp,1024,filter,linux,0,687151.75
18,3,1,tx,vpp,1024,filter,linux,0,679033.38
19,3,1,tx,vpp,1024,filter,linux,0,687371.12
20,3,1,tx,vpp,1024,filter,linux,0,692107.5
21,3,1,tx,vpp,1024,filter,linux,0,678715.62
22,3,1,tx,vpp,1024,filter,linux,0,687105.38
23,3,1,tx,vpp,1024,filter,linux,0,688596.38
24,3,1,tx,vpp,1024,filter,linux,0,675993.62
25,3,1,tx,vpp,1024,filter,linux,0,681280.25
26,3,1,tx,vpp,1024,filter,linux,0,682175.5
27,3,1,tx,vpp,1024,filter,linux,0,684606.0
28,3,1,tx,vpp,1024,filter,linux,0,685323.62
29,3,1,tx,vpp,1024,filter,linux,0,685042.25
30,3,1,tx,vpp,1024,filter,linux,0,684707.31
31,3,1,tx,vpp,1024,filter,linux,0,687725.69
32,3,1,tx,vpp,1024,filter,linux,0,694313.94
33,3,1,tx,vpp,1024,filter,linux,0,688761.62
34,3,1,tx,vpp,1024,filter,linux,0,683938.75
35,3,1,tx,vpp,1024,filter,linux,0,685037.06
36,3,1,tx,vpp,1024,filter,linux,0,692036.31
37,3,1,tx,vpp,1024,filter,linux,0,692005.69
38,3,1,tx,vpp,1024,filter,linux,0,694635.0
39,3,1,tx,vpp,1024,filter,linux,0,695458.25
40,3,1,tx,vpp,1024,filter,linux,0,691057.31
41,3,1,tx,vpp,1024,filter,linux,0,686897.69
42,3,1,tx,vpp,1024,filter,linux,0,686172.19
43,3,1,tx,vpp,1024,filter,linux,0,691236.69
44,3,1,tx,vpp,1024,filter,linux,0,691952.94
45,3,1,tx,vpp,1024,filter,linux,0,690125.38
46,3,1,tx,vpp,1024,filter,linux,0,693707.75
47,3,1,tx,vpp,1024,filter,linux,0,695877.62
48,3,1,tx,vpp,1024,filter,linux,0,691169.5
49,3,1,tx,vpp,1024,filter,linux,0,691508.38
50,3,1,tx,vpp,1024,filter,linux,0,687226.12
51,3,1,tx,vpp,1024,filter,linux,0,689141.38
52,3,1,tx,vpp,1024,filter,linux,0,690147.62
53,3,1,tx,vpp,1024,filter,linux,0,691934.69
54,3,1,tx,vpp,1024,filter,linux,0,693346.19
55,3,1,tx,vpp,1024,filter,linux,0,694228.31
56,3,1,tx,vpp,1024,filter,linux,0,689239.19
57,3,1,tx,vpp,1024,filter,linux,0,694056.69
58,3,1,tx,vpp,1024,filter,linux,0,688713.19
59,3,1,tx,vpp,1024,filter,linux,0,693758.0
60,3,1,tx,vpp,1024,filter,linux,0,691266.5
61,3,1,tx,vpp,1024,filter,linux,0,692106.88
62,3,1,tx,vpp,1024,filter,linux,0,686895.12
63,3,1,tx,vpp,1024,filter,linux,0,688399.25
64,3,1,tx,vpp,1024,filter,linux,0,688658.88
65,3,1,tx,vpp,1024,filter,linux,0,689332.19
66,3,1,tx,vpp,1024,filter,linux,0,690996.31
67,3,1,tx,vpp,1024,filter,linux,0,689392.56
