Startup trace (nsec): main: 83533364904
Startup trace (nsec): init done: 83537178264
Number of packets sent : 688000
Number of packets sent : 710615.690169
Number of packets sent : 709449.751244
Number of packets sent : 709474.103586
Number of packets sent : 710437.328682
Number of packets sent : 710396.888712
Number of packets sent : 709284.954281
Number of packets sent : 710330.862438
Number of packets sent : 710826.699938
Number of packets sent : 710345.164153
Number of packets sent : 711243.785565
Number of packets sent : 711904.965054
Number of packets sent : 711809.769493
Number of packets sent : 712053.238073
Number of packets sent : 712476.84954
Number of packets sent : 712962.245306
Number of packets sent : 713169.86079
Number of packets sent : 713289.441213
Number of packets sent : 713044.231089
Number of packets sent : 713055.678233
Number of packets sent : 713300.649351
Number of packets sent : 713571.360609
Number of packets sent : 713435.084692
Number of packets sent : 713366.665219
Number of packets sent : 713047.081842
Number of packets sent : 713121.528194
Number of packets sent : 713220.53568
Number of packets sent : 713403.471117
Number of packets sent : 713702.576363
Number of packets sent : 713591.028115
Number of packets sent : 713702.771116
Number of packets sent : 713762.699845
Number of packets sent : 713921.93355
Number of packets sent : 714064.102952
Number of packets sent : 714031.917708
Number of packets sent : 714188.922198
Number of packets sent : 714297.590629
Number of packets sent : 714366.850321
Number of packets sent : 714303.81844
Number of packets sent : 714255.131063
Number of packets sent : 714356.409424
Number of packets sent : 714311.453433
Number of packets sent : 714378.200247
Number of packets sent : 714325.160361
Number of packets sent : 714289.951849
Number of packets sent : 714223.922361
Number of packets sent : 714032.153642
Number of packets sent : 713861.12824
Number of packets sent : 713823.110556
Number of packets sent : 713935.998368
Number of packets sent : 714038.51689
Number of packets sent : 714010.718975
Number of packets sent : 714027.90644
Number of packets sent : 714103.222643
Number of packets sent : 714121.393274
Number of packets sent : 714141.535834
Number of packets sent : 714261.261422
Number of packets sent : 714132.502236
Number of packets sent : 714205.831165
Number of packets sent : 714149.828912
Number of packets sent : 714088.000133
Number of packets sent : 714143.114606
Number of packets sent : 714147.255582
Number of packets sent : 714188.546046
Number of packets sent : 714246.236492
Number of packets sent : 714285.51879
Number of packets sent : 714423.284269
Number of packets sent : 714465.593627
Number of packets sent : 714426.47383
Number of packets sent : 714478.250793
Number of packets sent : 714550.75816
Number of packets sent : 714686.379121
AUTOTEST_DONE
