/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 9150453510
Startup trace (nsec): init done: 9161011607
Number of packets sent : 825600
Number of packets sent : 723212.598425
Number of packets sent : 723230.19802
Number of packets sent : 732508.272667
Number of packets sent : 739963.229814
Number of packets sent : 741512.631788
Number of packets sent : 742793.429567
Number of packets sent : 745094.75032
Number of packets sent : 745354.545455
Number of packets sent : 746615.546451
Number of packets sent : 747127.903499
Number of packets sent : 747625.090645
Number of packets sent : 748948.72008
Number of packets sent : 749742.556783
Number of packets sent : 749402.793615
Number of packets sent : 750010.909333
Number of packets sent : 750589.908314
Number of packets sent : 751214.524746
Number of packets sent : 750606.576467
Number of packets sent : 750758.011979
Number of packets sent : 750994.908655
Number of packets sent : 750783.408605
Number of packets sent : 751099.387338
Number of packets sent : 751337.529846
Number of packets sent : 750691.741211
Number of packets sent : 750830.164563
Number of packets sent : 751155.246582
Number of packets sent : 750712.800976
Number of packets sent : 750863.216464
Number of packets sent : 751158.005304
Number of packets sent : 751223.483587
Number of packets sent : 751503.898447
Number of packets sent : 751553.779886
Number of packets sent : 751709.970337
Number of packets sent : 751941.008843
Number of packets sent : 752025.685665
Number of packets sent : 752162.934599
Number of packets sent : 752418.736501
Number of packets sent : 752459.726604
Number of packets sent : 752542.264344
Number of packets sent : 752775.324675
Number of packets sent : 752768.719086
Number of packets sent : 752933.1367
Number of packets sent : 753161.845682
Number of packets sent : 753301.553063
Number of packets sent : 753365.858532
Number of packets sent : 753503.018983
Number of packets sent : 753601.87488
Number of packets sent : 753576.129717
Number of packets sent : 753574.353119
Number of packets sent : 753642.654464
Number of packets sent : 753731.310242
Number of packets sent : 754009.222965
Number of packets sent : 754153.002168
Number of packets sent : 754128.781571
Number of packets sent : 754236.679081
Number of packets sent : 754147.381568
Number of packets sent : 754210.812327
Number of packets sent : 754190.366261
Number of packets sent : 754141.347424
Number of packets sent : 754214.26906
Number of packets sent : 754289.38359
Number of packets sent : 754295.513151
Number of packets sent : 754387.070169
Number of packets sent : 754472.044841
Number of packets sent : 754480.729911
Number of packets sent : 754565.322715
Number of packets sent : 754664.996271
Number of packets sent : 754687.376929
Number of packets sent : 754726.068067
Number of packets sent : 754780.502777
Number of packets sent : 754811.346779
AUTOTEST_DONE
