Startup trace (nsec): main: 158971695831
Startup trace (nsec): init done: 158975179335
Number of packets sent : 217263.157895
Number of packets sent : 207658.536585
Number of packets sent : 206856.861781
Number of packets sent : 207283.503457
Number of packets sent : 207242.761693
Number of packets sent : 207008.92503
Number of packets sent : 206890.818859
Number of packets sent : 206974.879364
Number of packets sent : 207060.014911
Number of packets sent : 207044.314289
Number of packets sent : 206967.462687
Number of packets sent : 206972.04126
Number of packets sent : 206978.094922
Number of packets sent : 207056.308895
Number of packets sent : 207156.479044
Number of packets sent : 207209.061317
Number of packets sent : 207242.182634
Number of packets sent : 207238.18459
Number of packets sent : 207254.569624
Number of packets sent : 207279.73129
Number of packets sent : 207392.02194
Number of packets sent : 207522.583709
Number of packets sent : 207666.984041
Number of packets sent : 207757.50347
Number of packets sent : 207861.947123
Number of packets sent : 207903.420202
Number of packets sent : 208014.04613
Number of packets sent : 208068.817681
Number of packets sent : 208056.597049
Number of packets sent : 208060.396448
Number of packets sent : 208050.502362
Number of packets sent : 208109.504797
Number of packets sent : 208122.118594
Number of packets sent : 208163.677062
Number of packets sent : 208166.382854
Number of packets sent : 208156.474615
Number of packets sent : 208141.343834
Number of packets sent : 208153.530666
Number of packets sent : 208146.738131
Number of packets sent : 208153.452293
Number of packets sent : 208177.799411
Number of packets sent : 208229.963714
Number of packets sent : 208269.262773
Number of packets sent : 208255.811253
Number of packets sent : 208252.882171
Number of packets sent : 208248.97923
Number of packets sent : 208246.325844
Number of packets sent : 208234.505471
Number of packets sent : 208249.864769
Number of packets sent : 208297.762198
Number of packets sent : 208316.542164
Number of packets sent : 208304.266943
Number of packets sent : 208307.33478
Number of packets sent : 208307.856106
Number of packets sent : 208294.9619
Number of packets sent : 208281.633617
Number of packets sent : 208260.464784
Number of packets sent : 208257.249996
Number of packets sent : 208233.515301
Number of packets sent : 208199.661419
Number of packets sent : 208173.997003
Number of packets sent : 208162.237396
Number of packets sent : 208169.177233
Number of packets sent : 208139.871892
Number of packets sent : 208150.970783
Number of packets sent : 208159.746127
Number of packets sent : 208167.057648
Number of packets sent : 208175.331355
Number of packets sent : 208187.457767
Number of packets sent : 208174.783565
Number of packets sent : 208153.849447
Number of packets sent : 208124.080197
AUTOTEST_DONE
