,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,ids,linux,2,206953.11
1,3,1,tx,vpp,1518,ids,linux,2,206304.28
2,3,1,tx,vpp,1518,ids,linux,2,206771.16
3,3,1,tx,vpp,1518,ids,linux,2,207020.19
4,3,1,tx,vpp,1518,ids,linux,2,207535.14
5,3,1,tx,vpp,1518,ids,linux,2,206836.94
6,3,1,tx,vpp,1518,ids,linux,2,206755.67
7,3,1,tx,vpp,1518,ids,linux,2,206870.98
8,3,1,tx,vpp,1518,ids,linux,2,207098.25
9,3,1,tx,vpp,1518,ids,linux,2,208058.81
10,3,1,tx,vpp,1518,ids,linux,2,208160.8
11,3,1,tx,vpp,1518,ids,linux,2,207957.11
12,3,1,tx,vpp,1518,ids,linux,2,207682.53
13,3,1,tx,vpp,1518,ids,linux,2,207341.03
14,3,1,tx,vpp,1518,ids,linux,2,207334.53
15,3,1,tx,vpp,1518,ids,linux,2,207936.5
16,3,1,tx,vpp,1518,ids,linux,2,209610.33
17,3,1,tx,vpp,1518,ids,linux,2,210269.33
18,3,1,tx,vpp,1518,ids,linux,2,210169.33
19,3,1,tx,vpp,1518,ids,linux,2,210137.97
20,3,1,tx,vpp,1518,ids,linux,2,209734.09
21,3,1,tx,vpp,1518,ids,linux,2,209717.53
22,3,1,tx,vpp,1518,ids,linux,2,210164.12
23,3,1,tx,vpp,1518,ids,linux,2,209489.03
24,3,1,tx,vpp,1518,ids,linux,2,207911.75
25,3,1,tx,vpp,1518,ids,linux,2,208127.34
26,3,1,tx,vpp,1518,ids,linux,2,208156.03
27,3,1,tx,vpp,1518,ids,linux,2,208891.91
28,3,1,tx,vpp,1518,ids,linux,2,209347.97
29,3,1,tx,vpp,1518,ids,linux,2,209069.75
30,3,1,tx,vpp,1518,ids,linux,2,208237.44
31,3,1,tx,vpp,1518,ids,linux,2,208012.11
32,3,1,tx,vpp,1518,ids,linux,2,207969.28
33,3,1,tx,vpp,1518,ids,linux,2,208161.06
34,3,1,tx,vpp,1518,ids,linux,2,207798.02
35,3,1,tx,vpp,1518,ids,linux,2,208650.75
36,3,1,tx,vpp,1518,ids,linux,2,209220.19
37,3,1,tx,vpp,1518,ids,linux,2,210303.12
38,3,1,tx,vpp,1518,ids,linux,2,209256.09
39,3,1,tx,vpp,1518,ids,linux,2,208208.12
40,3,1,tx,vpp,1518,ids,linux,2,208189.28
41,3,1,tx,vpp,1518,ids,linux,2,208158.31
42,3,1,tx,vpp,1518,ids,linux,2,207951.83
43,3,1,tx,vpp,1518,ids,linux,2,207671.61
44,3,1,tx,vpp,1518,ids,linux,2,209333.59
45,3,1,tx,vpp,1518,ids,linux,2,209929.41
46,3,1,tx,vpp,1518,ids,linux,2,208928.59
47,3,1,tx,vpp,1518,ids,linux,2,208404.78
48,3,1,tx,vpp,1518,ids,linux,2,208329.06
49,3,1,tx,vpp,1518,ids,linux,2,208116.3
50,3,1,tx,vpp,1518,ids,linux,2,208029.67
51,3,1,tx,vpp,1518,ids,linux,2,207286.55
52,3,1,tx,vpp,1518,ids,linux,2,207480.08
53,3,1,tx,vpp,1518,ids,linux,2,207474.45
54,3,1,tx,vpp,1518,ids,linux,2,207058.45
55,3,1,tx,vpp,1518,ids,linux,2,206511.39
56,3,1,tx,vpp,1518,ids,linux,2,206512.72
57,3,1,tx,vpp,1518,ids,linux,2,207802.34
58,3,1,tx,vpp,1518,ids,linux,2,207801.19
59,3,1,tx,vpp,1518,ids,linux,2,207432.8
60,3,1,tx,vpp,1518,ids,linux,2,208349.3
61,3,1,tx,vpp,1518,ids,linux,2,208674.61
62,3,1,tx,vpp,1518,ids,linux,2,208516.66
63,3,1,tx,vpp,1518,ids,linux,2,208835.19
64,3,1,tx,vpp,1518,ids,linux,2,208893.27
65,3,1,tx,vpp,1518,ids,linux,2,207350.44
66,3,1,tx,vpp,1518,ids,linux,2,206515.95
67,3,1,tx,vpp,1518,ids,linux,2,206815.39
