,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,empty,uk,0,1200282.0
1,3,1,rx,vpp,1024,empty,uk,0,1200229.0
2,3,1,rx,vpp,1024,empty,uk,0,1200154.0
3,3,1,rx,vpp,1024,empty,uk,0,1200246.0
4,3,1,rx,vpp,1024,empty,uk,0,1201466.04215
5,3,1,rx,vpp,1024,empty,uk,0,1200360.0
6,3,1,rx,vpp,1024,empty,uk,0,1199041.95804
7,3,1,rx,vpp,1024,empty,uk,0,1197828.0
8,3,1,rx,vpp,1024,empty,uk,0,1199231.0
9,3,1,rx,vpp,1024,empty,uk,0,1199372.0
10,3,1,rx,vpp,1024,empty,uk,0,1200260.0
11,3,1,rx,vpp,1024,empty,uk,0,1200299.0
12,3,1,rx,vpp,1024,empty,uk,0,1200330.0
13,3,1,rx,vpp,1024,empty,uk,0,1199045.95405
14,3,1,rx,vpp,1024,empty,uk,0,1200316.0
15,3,1,rx,vpp,1024,empty,uk,0,1200270.0
16,3,1,rx,vpp,1024,empty,uk,0,1200257.0
17,3,1,rx,vpp,1024,empty,uk,0,1200276.0
18,3,1,rx,vpp,1024,empty,uk,0,1196712.0
19,3,1,rx,vpp,1024,empty,uk,0,1199440.0
20,3,1,rx,vpp,1024,empty,uk,0,1199088.91109
21,3,1,rx,vpp,1024,empty,uk,0,1200276.0
22,3,1,rx,vpp,1024,empty,uk,0,1200307.0
23,3,1,rx,vpp,1024,empty,uk,0,1200280.0
24,3,1,rx,vpp,1024,empty,uk,0,1200236.0
25,3,1,rx,vpp,1024,empty,uk,0,1200281.0
26,3,1,rx,vpp,1024,empty,uk,0,1200226.0
27,3,1,rx,vpp,1024,empty,uk,0,1200257.0
28,3,1,rx,vpp,1024,empty,uk,0,1196977.0
29,3,1,rx,vpp,1024,empty,uk,0,1197003.996
30,3,1,rx,vpp,1024,empty,uk,0,1199082.91708
31,3,1,rx,vpp,1024,empty,uk,0,1200308.0
32,3,1,rx,vpp,1024,empty,uk,0,1200225.0
33,3,1,rx,vpp,1024,empty,uk,0,1200272.0
34,3,1,rx,vpp,1024,empty,uk,0,1200303.0
35,3,1,rx,vpp,1024,empty,uk,0,1200274.0
36,3,1,rx,vpp,1024,empty,uk,0,1200308.0
37,3,1,rx,vpp,1024,empty,uk,0,1199112.88711
38,3,1,rx,vpp,1024,empty,uk,0,1196674.0
39,3,1,rx,vpp,1024,empty,uk,0,1199489.0
40,3,1,rx,vpp,1024,empty,uk,0,1200206.0
41,3,1,rx,vpp,1024,empty,uk,0,1199108.89111
42,3,1,rx,vpp,1024,empty,uk,0,1200284.0
43,3,1,rx,vpp,1024,empty,uk,0,1200240.0
44,3,1,rx,vpp,1024,empty,uk,0,1200283.0
45,3,1,rx,vpp,1024,empty,uk,0,1200219.0
46,3,1,rx,vpp,1024,empty,uk,0,1200294.0
47,3,1,rx,vpp,1024,empty,uk,0,1200314.0
48,3,1,rx,vpp,1024,empty,uk,0,1195595.4046
49,3,1,rx,vpp,1024,empty,uk,0,1198203.0
50,3,1,rx,vpp,1024,empty,uk,0,1199064.0
51,3,1,rx,vpp,1024,empty,uk,0,1200288.0
52,3,1,rx,vpp,1024,empty,uk,0,1200259.0
53,3,1,rx,vpp,1024,empty,uk,0,1200265.0
54,3,1,rx,vpp,1024,empty,uk,0,1200263.0
55,3,1,rx,vpp,1024,empty,uk,0,1199038.0
56,3,1,rx,vpp,1024,empty,uk,0,1200263.0
57,3,1,rx,vpp,1024,empty,uk,0,1200230.0
58,3,1,rx,vpp,1024,empty,uk,0,1195579.42058
59,3,1,rx,vpp,1024,empty,uk,0,1199461.0
60,3,1,rx,vpp,1024,empty,uk,0,1199028.0
61,3,1,rx,vpp,1024,empty,uk,0,1200213.0
62,3,1,rx,vpp,1024,empty,uk,0,1199120.87912
63,3,1,rx,vpp,1024,empty,uk,0,1200266.0
64,3,1,rx,vpp,1024,empty,uk,0,1200258.0
65,3,1,rx,vpp,1024,empty,uk,0,1200246.0
