,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,filter,uk,0,2255751.04428
1,3,1,rx,vpp,64,filter,uk,0,2251010.56338
2,3,1,rx,vpp,64,filter,uk,0,2251625.0
3,3,1,rx,vpp,64,filter,uk,0,2250709.75855
4,3,1,rx,vpp,64,filter,uk,0,2243328.88147
5,3,1,rx,vpp,64,filter,uk,0,2247397.08835
6,3,1,rx,vpp,64,filter,uk,0,2247889.55823
7,3,1,rx,vpp,64,filter,uk,0,2239482.42972
8,3,1,rx,vpp,64,filter,uk,0,2246099.94977
9,3,1,rx,vpp,64,filter,uk,0,2237371.98795
10,3,1,rx,vpp,64,filter,uk,0,2238675.09482
11,3,1,rx,vpp,64,filter,uk,0,2238851.11663
12,3,1,rx,vpp,64,filter,uk,0,2239867.47597
13,3,1,rx,vpp,64,filter,uk,0,2239068.79195
14,3,1,rx,vpp,64,filter,uk,0,2239789.05073
15,3,1,rx,vpp,64,filter,uk,0,2233375.10443
16,3,1,rx,vpp,64,filter,uk,0,2236578.60372
17,3,1,rx,vpp,64,filter,uk,0,2233462.3494
18,3,1,rx,vpp,64,filter,uk,0,2234648.76957
19,3,1,rx,vpp,64,filter,uk,0,2237662.47485
20,3,1,rx,vpp,64,filter,uk,0,2232910.44776
21,3,1,rx,vpp,64,filter,uk,0,2234161.34454
22,3,1,rx,vpp,64,filter,uk,0,2235567.8392
23,3,1,rx,vpp,64,filter,uk,0,2235370.26726
24,3,1,rx,vpp,64,filter,uk,0,2229483.93574
25,3,1,rx,vpp,64,filter,uk,0,2232069.3119
26,3,1,rx,vpp,64,filter,uk,0,2229606.73029
27,3,1,rx,vpp,64,filter,uk,0,2227092.28824
28,3,1,rx,vpp,64,filter,uk,0,2235769.61771
29,3,1,rx,vpp,64,filter,uk,0,2233844.37751
30,3,1,rx,vpp,64,filter,uk,0,2225937.39566
31,3,1,rx,vpp,64,filter,uk,0,2231443.33158
32,3,1,rx,vpp,64,filter,uk,0,2236011.69591
33,3,1,rx,vpp,64,filter,uk,0,2235952.78754
34,3,1,rx,vpp,64,filter,uk,0,2234810.24096
35,3,1,rx,vpp,64,filter,uk,0,2236217.91768
36,3,1,rx,vpp,64,filter,uk,0,2240273.69826
