,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,ids,uk,2,1320185.87571
1,3,1,rx,vpp,64,ids,uk,2,1321120.98394
2,3,1,rx,vpp,64,ids,uk,2,1321114.45783
3,3,1,rx,vpp,64,ids,uk,2,1320677.71084
4,3,1,rx,vpp,64,ids,uk,2,1321505.64972
5,3,1,rx,vpp,64,ids,uk,2,1320004.0201
6,3,1,rx,vpp,64,ids,uk,2,1323718.34061
7,3,1,rx,vpp,64,ids,uk,2,1325180.3114
8,3,1,rx,vpp,64,ids,uk,2,1323356.74862
9,3,1,rx,vpp,64,ids,uk,2,1318297.55328
10,3,1,rx,vpp,64,ids,uk,2,1321484.58376
11,3,1,rx,vpp,64,ids,uk,2,1322907.29226
12,3,1,rx,vpp,64,ids,uk,2,1320850.05015
13,3,1,rx,vpp,64,ids,uk,2,1320536.60983
14,3,1,rx,vpp,64,ids,uk,2,1321089.35743
15,3,1,rx,vpp,64,ids,uk,2,1318018.13472
16,3,1,rx,vpp,64,ids,uk,2,1321747.1091
17,3,1,rx,vpp,64,ids,uk,2,1320399.18033
18,3,1,rx,vpp,64,ids,uk,2,1319182.54764
19,3,1,rx,vpp,64,ids,uk,2,1323167.89146
20,3,1,rx,vpp,64,ids,uk,2,1320615.26871
21,3,1,rx,vpp,64,ids,uk,2,1318801.2003
22,3,1,rx,vpp,64,ids,uk,2,1322173.91304
23,3,1,rx,vpp,64,ids,uk,2,1319093.8755
24,3,1,rx,vpp,64,ids,uk,2,1322095.13075
25,3,1,rx,vpp,64,ids,uk,2,1321443.32999
26,3,1,rx,vpp,64,ids,uk,2,1319994.54148
27,3,1,rx,vpp,64,ids,uk,2,1320897.92746
28,3,1,rx,vpp,64,ids,uk,2,1319757.27182
29,3,1,rx,vpp,64,ids,uk,2,1319592.98246
30,3,1,rx,vpp,64,ids,uk,2,1323316.10637
31,3,1,rx,vpp,64,ids,uk,2,1315025.23659
32,3,1,rx,vpp,64,ids,uk,2,1319523.53283
33,3,1,rx,vpp,64,ids,uk,2,1320325.3012
34,3,1,rx,vpp,64,ids,uk,2,1320243.38624
35,3,1,rx,vpp,64,ids,uk,2,1319230.38397
36,3,1,rx,vpp,64,ids,uk,2,1319009.52859
