,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,mirror,uk,2,959433.110368
1,3,1,rx,vpp,1024,mirror,uk,2,968302.119271
2,3,1,rx,vpp,1024,mirror,uk,2,955368.200837
3,3,1,rx,vpp,1024,mirror,uk,2,966867.135207
4,3,1,rx,vpp,1024,mirror,uk,2,975425.083612
5,3,1,rx,vpp,1024,mirror,uk,2,963748.892171
6,3,1,rx,vpp,1024,mirror,uk,2,972515.079634
7,3,1,rx,vpp,1024,mirror,uk,2,973501.672241
8,3,1,rx,vpp,1024,mirror,uk,2,970293.172691
9,3,1,rx,vpp,1024,mirror,uk,2,969070.374016
10,3,1,rx,vpp,1024,mirror,uk,2,975735.682819
11,3,1,rx,vpp,1024,mirror,uk,2,971974.238876
12,3,1,rx,vpp,1024,mirror,uk,2,970271.906355
13,3,1,rx,vpp,1024,mirror,uk,2,962477.55102
14,3,1,rx,vpp,1024,mirror,uk,2,970782.243332
15,3,1,rx,vpp,1024,mirror,uk,2,974269.230769
16,3,1,rx,vpp,1024,mirror,uk,2,966747.826087
17,3,1,rx,vpp,1024,mirror,uk,2,975203.415369
18,3,1,rx,vpp,1024,mirror,uk,2,973920.040147
19,3,1,rx,vpp,1024,mirror,uk,2,969511.036789
20,3,1,rx,vpp,1024,mirror,uk,2,965423.694779
21,3,1,rx,vpp,1024,mirror,uk,2,964825.890617
22,3,1,rx,vpp,1024,mirror,uk,2,969401.137504
23,3,1,rx,vpp,1024,mirror,uk,2,970902.675585
