Rx rate: 819436.708861   TxExt rate: 819436.708861   TxInt rate: 819436.708861
Rx rate: 955139.732143   TxExt rate: 955139.732143   TxInt rate: 955139.732143
Rx rate: 969067.469001   TxExt rate: 969067.469001   TxInt rate: 969067.469001
Rx rate: 974661.759786   TxExt rate: 974661.759786   TxInt rate: 974661.759786
Rx rate: 959433.110368   TxExt rate: 959433.110368   TxInt rate: 959433.110368
Rx rate: 968302.119271   TxExt rate: 968302.119271   TxInt rate: 968302.119271
Rx rate: 955368.200837   TxExt rate: 955368.200837   TxInt rate: 955368.200837
Rx rate: 966867.135207   TxExt rate: 966867.135207   TxInt rate: 966867.135207
Rx rate: 975425.083612   TxExt rate: 975425.083612   TxInt rate: 975425.083612
Rx rate: 963748.892171   TxExt rate: 963748.892171   TxInt rate: 963748.892171
Rx rate: 972515.079634   TxExt rate: 972515.079634   TxInt rate: 972515.079634
Rx rate: 973501.672241   TxExt rate: 973501.672241   TxInt rate: 973501.672241
Rx rate: 970293.172691   TxExt rate: 970293.172691   TxInt rate: 970293.172691
Rx rate: 969070.374016   TxExt rate: 969070.374016   TxInt rate: 969070.374016
Rx rate: 975735.682819   TxExt rate: 975735.682819   TxInt rate: 975735.682819
Rx rate: 971974.238876   TxExt rate: 971974.238876   TxInt rate: 971974.238876
Rx rate: 970271.906355   TxExt rate: 970271.906355   TxInt rate: 970271.906355
Rx rate: 962477.55102   TxExt rate: 962477.55102   TxInt rate: 962477.55102
Rx rate: 970782.243332   TxExt rate: 970782.243332   TxInt rate: 970782.243332
Rx rate: 974269.230769   TxExt rate: 974269.230769   TxInt rate: 974269.230769
Rx rate: 966747.826087   TxExt rate: 966747.826087   TxInt rate: 966747.826087
Rx rate: 975203.415369   TxExt rate: 975203.415369   TxInt rate: 975203.415369
Rx rate: 973920.040147   TxExt rate: 973920.040147   TxInt rate: 973920.040147
Rx rate: 969511.036789   TxExt rate: 969511.036789   TxInt rate: 969511.036789
Rx rate: 965423.694779   TxExt rate: 965423.694779   TxInt rate: 965423.694779
Rx rate: 964825.890617   TxExt rate: 964825.890617   TxInt rate: 964825.890617
Rx rate: 969401.137504   TxExt rate: 969401.137504   TxInt rate: 969401.137504
Rx rate: 970902.675585   TxExt rate: 970902.675585   TxInt rate: 970902.675585
