,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,nat,uk,1,1604218.27411
1,3,1,rx,vpp,64,nat,uk,1,1606193.54839
2,3,1,rx,vpp,64,nat,uk,1,1605189.11638
3,3,1,rx,vpp,64,nat,uk,1,1611582.584
4,3,1,rx,vpp,64,nat,uk,1,1607830.55199
5,3,1,rx,vpp,64,nat,uk,1,1617351.21457
6,3,1,rx,vpp,64,nat,uk,1,1610748.01157
7,3,1,rx,vpp,64,nat,uk,1,1610239.59152
8,3,1,rx,vpp,64,nat,uk,1,1604925.35211
9,3,1,rx,vpp,64,nat,uk,1,1610807.60626
10,3,1,rx,vpp,64,nat,uk,1,1609678.40966
11,3,1,rx,vpp,64,nat,uk,1,1608547.55784
12,3,1,rx,vpp,64,nat,uk,1,1607467.00252
13,3,1,rx,vpp,64,nat,uk,1,1608526.31579
14,3,1,rx,vpp,64,nat,uk,1,1603145.95545
15,3,1,rx,vpp,64,nat,uk,1,1606405.63664
16,3,1,rx,vpp,64,nat,uk,1,1604282.47734
17,3,1,rx,vpp,64,nat,uk,1,1602219.04762
18,3,1,rx,vpp,64,nat,uk,1,1603957.65104
19,3,1,rx,vpp,64,nat,uk,1,1603968.57816
20,3,1,rx,vpp,64,nat,uk,1,1605391.20235
21,3,1,rx,vpp,64,nat,uk,1,1606930.04529
22,3,1,rx,vpp,64,nat,uk,1,1607994.95968
23,3,1,rx,vpp,64,nat,uk,1,1607553.48133
24,3,1,rx,vpp,64,nat,uk,1,1602006.76437
25,3,1,rx,vpp,64,nat,uk,1,1608736.84211
26,3,1,rx,vpp,64,nat,uk,1,1605319.04762
27,3,1,rx,vpp,64,nat,uk,1,1608727.68533
28,3,1,rx,vpp,64,nat,uk,1,1609661.93853
29,3,1,rx,vpp,64,nat,uk,1,1606701.50862
30,3,1,rx,vpp,64,nat,uk,1,1606869.63075
31,3,1,rx,vpp,64,nat,uk,1,1610190.65521
32,3,1,rx,vpp,64,nat,uk,1,1605206.44599
33,3,1,rx,vpp,64,nat,uk,1,1606509.01147
34,3,1,rx,vpp,64,nat,uk,1,1610050.32713
35,3,1,rx,vpp,64,nat,uk,1,1609448.1398
36,3,1,rx,vpp,64,nat,uk,1,1610619.82128
