,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,empty,uk,1,702291.88
1,3,1,tx,vpp,1024,empty,uk,1,706828.25
2,3,1,tx,vpp,1024,empty,uk,1,707827.06
3,3,1,tx,vpp,1024,empty,uk,1,707113.0
4,3,1,tx,vpp,1024,empty,uk,1,708378.75
5,3,1,tx,vpp,1024,empty,uk,1,709033.38
6,3,1,tx,vpp,1024,empty,uk,1,709431.62
7,3,1,tx,vpp,1024,empty,uk,1,709534.5
8,3,1,tx,vpp,1024,empty,uk,1,709847.12
9,3,1,tx,vpp,1024,empty,uk,1,709781.75
10,3,1,tx,vpp,1024,empty,uk,1,707401.94
11,3,1,tx,vpp,1024,empty,uk,1,708138.0
12,3,1,tx,vpp,1024,empty,uk,1,708971.0
13,3,1,tx,vpp,1024,empty,uk,1,709082.75
14,3,1,tx,vpp,1024,empty,uk,1,709926.69
15,3,1,tx,vpp,1024,empty,uk,1,708985.69
16,3,1,tx,vpp,1024,empty,uk,1,708798.44
17,3,1,tx,vpp,1024,empty,uk,1,708799.62
18,3,1,tx,vpp,1024,empty,uk,1,708798.88
19,3,1,tx,vpp,1024,empty,uk,1,708944.75
20,3,1,tx,vpp,1024,empty,uk,1,707757.62
21,3,1,tx,vpp,1024,empty,uk,1,707579.88
22,3,1,tx,vpp,1024,empty,uk,1,708252.25
23,3,1,tx,vpp,1024,empty,uk,1,708567.06
24,3,1,tx,vpp,1024,empty,uk,1,707205.75
25,3,1,tx,vpp,1024,empty,uk,1,709168.94
26,3,1,tx,vpp,1024,empty,uk,1,709564.25
27,3,1,tx,vpp,1024,empty,uk,1,708943.56
28,3,1,tx,vpp,1024,empty,uk,1,708691.38
29,3,1,tx,vpp,1024,empty,uk,1,709012.88
30,3,1,tx,vpp,1024,empty,uk,1,707458.75
31,3,1,tx,vpp,1024,empty,uk,1,708381.44
32,3,1,tx,vpp,1024,empty,uk,1,708167.38
33,3,1,tx,vpp,1024,empty,uk,1,708017.38
34,3,1,tx,vpp,1024,empty,uk,1,706639.0
35,3,1,tx,vpp,1024,empty,uk,1,708497.62
36,3,1,tx,vpp,1024,empty,uk,1,708483.88
37,3,1,tx,vpp,1024,empty,uk,1,708289.5
38,3,1,tx,vpp,1024,empty,uk,1,708192.38
39,3,1,tx,vpp,1024,empty,uk,1,707975.62
40,3,1,tx,vpp,1024,empty,uk,1,706678.88
41,3,1,tx,vpp,1024,empty,uk,1,708148.5
42,3,1,tx,vpp,1024,empty,uk,1,708925.62
43,3,1,tx,vpp,1024,empty,uk,1,709071.38
44,3,1,tx,vpp,1024,empty,uk,1,707141.5
45,3,1,tx,vpp,1024,empty,uk,1,708527.75
46,3,1,tx,vpp,1024,empty,uk,1,708539.94
47,3,1,tx,vpp,1024,empty,uk,1,708929.69
48,3,1,tx,vpp,1024,empty,uk,1,708829.75
49,3,1,tx,vpp,1024,empty,uk,1,708759.44
50,3,1,tx,vpp,1024,empty,uk,1,708375.38
51,3,1,tx,vpp,1024,empty,uk,1,706496.88
52,3,1,tx,vpp,1024,empty,uk,1,707408.25
53,3,1,tx,vpp,1024,empty,uk,1,706580.06
54,3,1,tx,vpp,1024,empty,uk,1,706133.0
55,3,1,tx,vpp,1024,empty,uk,1,707317.25
56,3,1,tx,vpp,1024,empty,uk,1,708284.81
57,3,1,tx,vpp,1024,empty,uk,1,708863.69
58,3,1,tx,vpp,1024,empty,uk,1,708479.44
59,3,1,tx,vpp,1024,empty,uk,1,708000.38
60,3,1,tx,vpp,1024,empty,uk,1,707009.25
61,3,1,tx,vpp,1024,empty,uk,1,705638.19
62,3,1,tx,vpp,1024,empty,uk,1,706233.56
63,3,1,tx,vpp,1024,empty,uk,1,706958.38
64,3,1,tx,vpp,1024,empty,uk,1,707139.12
65,3,1,tx,vpp,1024,empty,uk,1,705457.25
66,3,1,tx,vpp,1024,empty,uk,1,706812.31
67,3,1,tx,vpp,1024,empty,uk,1,707463.69
