,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,filter,uk,0,702175.38
1,3,1,tx,vpp,256,filter,uk,0,706294.12
2,3,1,tx,vpp,256,filter,uk,0,707357.5
3,3,1,tx,vpp,256,filter,uk,0,707726.12
4,3,1,tx,vpp,256,filter,uk,0,708865.88
5,3,1,tx,vpp,256,filter,uk,0,708958.38
6,3,1,tx,vpp,256,filter,uk,0,709223.62
7,3,1,tx,vpp,256,filter,uk,0,707709.62
8,3,1,tx,vpp,256,filter,uk,0,708475.62
9,3,1,tx,vpp,256,filter,uk,0,708766.38
10,3,1,tx,vpp,256,filter,uk,0,707919.12
11,3,1,tx,vpp,256,filter,uk,0,708159.25
12,3,1,tx,vpp,256,filter,uk,0,708739.0
13,3,1,tx,vpp,256,filter,uk,0,707329.62
14,3,1,tx,vpp,256,filter,uk,0,708048.88
15,3,1,tx,vpp,256,filter,uk,0,707940.25
16,3,1,tx,vpp,256,filter,uk,0,708297.06
17,3,1,tx,vpp,256,filter,uk,0,707333.44
18,3,1,tx,vpp,256,filter,uk,0,707854.19
19,3,1,tx,vpp,256,filter,uk,0,707651.56
20,3,1,tx,vpp,256,filter,uk,0,707324.88
21,3,1,tx,vpp,256,filter,uk,0,707233.88
22,3,1,tx,vpp,256,filter,uk,0,707305.5
23,3,1,tx,vpp,256,filter,uk,0,708422.62
24,3,1,tx,vpp,256,filter,uk,0,707169.62
25,3,1,tx,vpp,256,filter,uk,0,707863.88
26,3,1,tx,vpp,256,filter,uk,0,708662.5
27,3,1,tx,vpp,256,filter,uk,0,707904.31
28,3,1,tx,vpp,256,filter,uk,0,708860.88
29,3,1,tx,vpp,256,filter,uk,0,709391.75
30,3,1,tx,vpp,256,filter,uk,0,709008.56
31,3,1,tx,vpp,256,filter,uk,0,710206.94
32,3,1,tx,vpp,256,filter,uk,0,710115.44
33,3,1,tx,vpp,256,filter,uk,0,710229.69
34,3,1,tx,vpp,256,filter,uk,0,708881.44
35,3,1,tx,vpp,256,filter,uk,0,709012.38
36,3,1,tx,vpp,256,filter,uk,0,709140.62
37,3,1,tx,vpp,256,filter,uk,0,709557.75
38,3,1,tx,vpp,256,filter,uk,0,707981.44
39,3,1,tx,vpp,256,filter,uk,0,708403.38
40,3,1,tx,vpp,256,filter,uk,0,708112.38
41,3,1,tx,vpp,256,filter,uk,0,707692.12
42,3,1,tx,vpp,256,filter,uk,0,708045.12
43,3,1,tx,vpp,256,filter,uk,0,708033.62
44,3,1,tx,vpp,256,filter,uk,0,707373.12
45,3,1,tx,vpp,256,filter,uk,0,707914.75
46,3,1,tx,vpp,256,filter,uk,0,708291.19
47,3,1,tx,vpp,256,filter,uk,0,707859.5
48,3,1,tx,vpp,256,filter,uk,0,707986.19
49,3,1,tx,vpp,256,filter,uk,0,709990.69
50,3,1,tx,vpp,256,filter,uk,0,710204.81
51,3,1,tx,vpp,256,filter,uk,0,709265.19
52,3,1,tx,vpp,256,filter,uk,0,709399.0
53,3,1,tx,vpp,256,filter,uk,0,709858.56
54,3,1,tx,vpp,256,filter,uk,0,709256.31
55,3,1,tx,vpp,256,filter,uk,0,708483.69
56,3,1,tx,vpp,256,filter,uk,0,707715.06
57,3,1,tx,vpp,256,filter,uk,0,707469.62
58,3,1,tx,vpp,256,filter,uk,0,706983.12
59,3,1,tx,vpp,256,filter,uk,0,708249.25
60,3,1,tx,vpp,256,filter,uk,0,707922.19
61,3,1,tx,vpp,256,filter,uk,0,709173.81
62,3,1,tx,vpp,256,filter,uk,0,710044.94
63,3,1,tx,vpp,256,filter,uk,0,709879.81
64,3,1,tx,vpp,256,filter,uk,0,709789.94
65,3,1,tx,vpp,256,filter,uk,0,708414.5
66,3,1,tx,vpp,256,filter,uk,0,709375.62
67,3,1,tx,vpp,256,filter,uk,0,709519.38
