,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,ids,uk,0,133502.97
1,3,1,tx,vpp,1518,ids,uk,0,134641.44
2,3,1,tx,vpp,1518,ids,uk,0,134673.36
3,3,1,tx,vpp,1518,ids,uk,0,134726.34
4,3,1,tx,vpp,1518,ids,uk,0,134816.84
5,3,1,tx,vpp,1518,ids,uk,0,134897.12
6,3,1,tx,vpp,1518,ids,uk,0,134775.59
7,3,1,tx,vpp,1518,ids,uk,0,134787.84
8,3,1,tx,vpp,1518,ids,uk,0,134898.31
9,3,1,tx,vpp,1518,ids,uk,0,134821.58
10,3,1,tx,vpp,1518,ids,uk,0,134932.95
11,3,1,tx,vpp,1518,ids,uk,0,134915.73
12,3,1,tx,vpp,1518,ids,uk,0,134839.44
13,3,1,tx,vpp,1518,ids,uk,0,134991.3
14,3,1,tx,vpp,1518,ids,uk,0,134915.33
15,3,1,tx,vpp,1518,ids,uk,0,135046.23
16,3,1,tx,vpp,1518,ids,uk,0,135114.52
17,3,1,tx,vpp,1518,ids,uk,0,135070.58
18,3,1,tx,vpp,1518,ids,uk,0,134952.33
19,3,1,tx,vpp,1518,ids,uk,0,135041.28
20,3,1,tx,vpp,1518,ids,uk,0,134997.47
21,3,1,tx,vpp,1518,ids,uk,0,135009.25
22,3,1,tx,vpp,1518,ids,uk,0,134814.81
23,3,1,tx,vpp,1518,ids,uk,0,134959.06
24,3,1,tx,vpp,1518,ids,uk,0,135087.17
25,3,1,tx,vpp,1518,ids,uk,0,135214.2
26,3,1,tx,vpp,1518,ids,uk,0,135257.14
27,3,1,tx,vpp,1518,ids,uk,0,135161.14
28,3,1,tx,vpp,1518,ids,uk,0,135140.44
29,3,1,tx,vpp,1518,ids,uk,0,134927.36
30,3,1,tx,vpp,1518,ids,uk,0,134867.91
31,3,1,tx,vpp,1518,ids,uk,0,135030.75
32,3,1,tx,vpp,1518,ids,uk,0,134942.34
33,3,1,tx,vpp,1518,ids,uk,0,134711.94
34,3,1,tx,vpp,1518,ids,uk,0,134884.39
35,3,1,tx,vpp,1518,ids,uk,0,134931.45
36,3,1,tx,vpp,1518,ids,uk,0,135047.77
37,3,1,tx,vpp,1518,ids,uk,0,134918.53
38,3,1,tx,vpp,1518,ids,uk,0,135051.62
39,3,1,tx,vpp,1518,ids,uk,0,135077.41
40,3,1,tx,vpp,1518,ids,uk,0,134906.09
41,3,1,tx,vpp,1518,ids,uk,0,134934.31
42,3,1,tx,vpp,1518,ids,uk,0,134774.5
43,3,1,tx,vpp,1518,ids,uk,0,134732.03
44,3,1,tx,vpp,1518,ids,uk,0,134709.44
45,3,1,tx,vpp,1518,ids,uk,0,134903.36
46,3,1,tx,vpp,1518,ids,uk,0,135032.09
47,3,1,tx,vpp,1518,ids,uk,0,134912.03
48,3,1,tx,vpp,1518,ids,uk,0,134883.95
49,3,1,tx,vpp,1518,ids,uk,0,134700.94
50,3,1,tx,vpp,1518,ids,uk,0,134786.83
51,3,1,tx,vpp,1518,ids,uk,0,134722.45
52,3,1,tx,vpp,1518,ids,uk,0,134914.86
53,3,1,tx,vpp,1518,ids,uk,0,134769.58
54,3,1,tx,vpp,1518,ids,uk,0,134719.64
55,3,1,tx,vpp,1518,ids,uk,0,134734.16
56,3,1,tx,vpp,1518,ids,uk,0,134862.94
57,3,1,tx,vpp,1518,ids,uk,0,134817.23
58,3,1,tx,vpp,1518,ids,uk,0,134704.56
59,3,1,tx,vpp,1518,ids,uk,0,134911.89
60,3,1,tx,vpp,1518,ids,uk,0,134756.78
61,3,1,tx,vpp,1518,ids,uk,0,134786.97
62,3,1,tx,vpp,1518,ids,uk,0,134940.41
63,3,1,tx,vpp,1518,ids,uk,0,134717.0
64,3,1,tx,vpp,1518,ids,uk,0,134818.09
65,3,1,tx,vpp,1518,ids,uk,0,134618.69
66,3,1,tx,vpp,1518,ids,uk,0,134617.53
67,3,1,tx,vpp,1518,ids,uk,0,134811.88
