,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813783.216783
1,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814681.0
2,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,815694.300518
3,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814745.0
4,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814643.0
5,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814653.0
6,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813886.113886
7,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813045.0
8,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813923.0
9,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814237.0
10,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814710.0
11,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814708.0
12,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814744.0
13,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814736.0
14,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813882.117882
15,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814727.0
16,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814688.0
17,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813064.0
18,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813817.0
19,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813354.645355
20,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814696.0
21,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814746.0
22,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813115.884116
23,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814717.0
24,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814722.0
25,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813914.085914
26,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814687.0
27,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,812953.0
28,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,811416.583417
29,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814212.0
30,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814720.0
31,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814710.0
32,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813918.0
33,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814735.0
34,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814722.0
35,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814750.0
36,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814703.0
37,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814712.0
38,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,811971.0
39,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814243.0
40,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814724.0
41,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813941.058941
42,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814714.0
43,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814720.0
44,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813927.072927
45,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814717.0
46,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814762.0
47,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813907.092907
48,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,811976.0
49,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814177.0
50,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813922.077922
51,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814733.0
52,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814744.0
53,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813952.047952
54,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814717.0
55,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814740.0
56,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813933.066933
57,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814704.0
58,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,812059.0
59,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813398.601399
60,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814736.0
61,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814732.0
62,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813891.108891
63,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813931.0
64,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814707.0
65,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,813921.078921
66,3,1,rx,vpp,1518,filter,ukebpfjit_nompk,1,814713.0
