,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.18378684
1,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819150.96933398
2,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,818170.11175383
3,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819152.3716246199
4,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819152.75443081
5,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819140.39363444
6,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.3519831799
7,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.7663464
8,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819153.85110768
9,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819144.12606204
10,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819161.52050376
11,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819136.38418082
12,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,818164.70740463
13,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.09211007
14,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.91240314
15,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.50255626
16,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.73013736
17,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.2443199401
18,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.45451176
19,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.71753179
20,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.8140028301
21,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819150.15726118
22,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,818480.13672355
23,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.60844298
24,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.73027455
25,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.27089583
26,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.09605507
27,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.0239609301
28,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.84071225
29,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.05405416
30,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.2817867299
31,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.82953605
32,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.7172626901
33,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,818152.2584908501
34,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.6092030699
35,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.98453525
36,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.80732047
37,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.32920098
38,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.60607536
39,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.26245256
40,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.17194158
41,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819150.0430925101
42,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.03060993
43,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.9940048
44,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.06570046
45,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.09066771
46,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.16587066
47,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.3483402
48,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.48645408
49,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.82493916
50,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.39532055
51,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.42719104
52,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.2193198
53,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,818174.1753774299
54,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.84295345
55,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.42904588
56,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.37789579
57,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.93788689
58,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.96158547
59,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.68765021
60,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819148.8382781
61,3,1,tx,vpp,1518,empty,ukebpfjit_nompk,0,819149.66368651
