Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748485583,Device: id=0,RX,0.81866448859441,9863.2817416467,9994.2680598218,823125,1239627756
1748485583,Device: id=0,TX,0,0,0,0,0
1748485584,Device: id=0,RX,0.81915008568351,9869.1202323149,10000.184246024,1645951,2478803712
1748485584,Device: id=0,TX,0,0,0,0,0
1748485585,Device: id=0,RX,0.8191493896743,9869.1118467959,10000.175749144,2469568,3719170914
1748485585,Device: id=0,TX,0,0,0,0,0
1748485586,Device: id=0,RX,0.81917174885565,9869.4531367885,10000.520616605,3293085,4959396552
1748485586,Device: id=0,TX,0,0,0,0,0
1748485587,Device: id=0,RX,0.81912487562983,9868.7326193561,9999.7925994569,4116641,6199661346
1748485587,Device: id=0,TX,0,0,0,0,0
1748485588,Device: id=0,RX,0.8191576540297,9869.2114157498,10000.276640395,4940103,7439795118
1748485588,Device: id=0,TX,0,0,0,0,0
1748485589,Device: id=0,RX,0.81914160524792,9869.0180600269,10000.080716867,5763632,8680029792
1748485589,Device: id=0,TX,0,0,0,0,0
1748485590,Device: id=0,RX,0.81914774150864,9869.0919896961,10000.155628338,6587082,9920145492
1748485590,Device: id=0,TX,0,0,0,0,0
1748485591,Device: id=0,RX,0.81914975468125,9869.1162443998,10000.180205149,7411355,11161500630
1748485591,Device: id=0,TX,0,0,0,0,0
1748485592,Device: id=0,RX,0.81914894701015,9869.0945291334,10000.158360655,8234848,12401679582
1748485592,Device: id=0,TX,0,0,0,0,0
1748485593,Device: id=0,RX,0.81914908538081,9869.108180668,10000.172034329,9058299,13641796788
1748485593,Device: id=0,TX,0,0,0,0,0
1748485594,Device: id=0,RX,0.81916481498606,9869.3695860062,10000.435956404,9881941,14882210676
1748485594,Device: id=0,TX,0,0,0,0,0
1748485595,Device: id=0,RX,0.81913233317393,9868.8464656483,9999.9076389562,10705937,16123141122
1748485595,Device: id=0,TX,0,0,0,0,0
1748485596,Device: id=0,RX,0.81914898004336,9869.1069115624,10000.170748369,11529387,17363256822
1748485596,Device: id=0,TX,0,0,0,0,0
1748485597,Device: id=0,RX,0.81914975534431,9869.1162523883,10000.180213243,12352839,18603375534
1748485597,Device: id=0,TX,0,0,0,0,0
1748485598,Device: id=0,RX,0.81914826615687,9869.098310658,10000.162033243,13176333,19843557498
1748485598,Device: id=0,TX,0,0,0,0,0
1748485599,Device: id=0,RX,0.81914942412759,9869.1122618892,10000.17616975,14000606,21084912636
1748485599,Device: id=0,TX,0,0,0,0,0
1748485600,Device: id=0,RX,0.81914894397468,9869.1064770069,10000.170308043,14824099,22325093094
1748485600,Device: id=0,TX,0,0,0,0,0
1748485601,Device: id=0,RX,0.8191495516302,9869.1137980407,10000.177726301,15647508,23565147048
1748485601,Device: id=0,TX,0,0,0,0,0
1748485602,Device: id=0,RX,0.81914918849355,9869.097449848,10000.161320007,16471780,24806499174
1748485602,Device: id=0,TX,0,0,0,0,0
1748485603,Device: id=0,RX,0.81914868467837,9869.1153380574,10000.179127606,17295231,26046617886
1748485603,Device: id=0,TX,0,0,0,0,0
1748485604,Device: id=0,RX,0.81817858068682,9857.4155401148,9988.3241130247,18117793,27285396258
1748485604,Device: id=0,TX,0,0,0,0,0
1748485605,Device: id=0,RX,0.81914252636574,9869.0291576545,10000.091961873,18942014,28526673084
1748485605,Device: id=0,TX,0,0,0,0,0
1748485606,Device: id=0,RX,0.8191494812279,9869.1009647988,10000.164881795,19765467,29766791796
1748485606,Device: id=0,TX,0,0,0,0,0
1748485607,Device: id=0,RX,0.81914838506053,9869.1117282718,10000.175469881,20588917,31006909002
1748485607,Device: id=0,TX,0,0,0,0,0
1748485608,Device: id=0,RX,0.81915110528864,9869.1325165176,10000.196693364,21412370,32247029220
1748485608,Device: id=0,TX,0,0,0,0,0
1748485609,Device: id=0,RX,0.81914690110839,9869.0818645539,10000.145368731,22235863,33487209678
1748485609,Device: id=0,TX,0,0,0,0,0
1748485610,Device: id=0,RX,0.81914900767121,9869.1072444227,10000.17108565,23059316,34727329896
1748485610,Device: id=0,TX,0,0,0,0,0
1748485611,Device: id=0,RX,0.81914906504098,9869.1079356137,10000.17178602,23882766,35967445596
1748485611,Device: id=0,TX,0,0,0,0,0
1748485612,Device: id=0,RX,0.819149600667,9869.114388836,10000.178324943,24707125,37208930250
1748485612,Device: id=0,TX,0,0,0,0,0
1748485613,Device: id=0,RX,0.81915011142894,9869.1085568404,10000.172574669,25530536,38448985710
1748485613,Device: id=0,TX,0,0,0,0,0
1748485614,Device: id=0,RX,0.81816950989028,9857.3062551581,9988.2133767405,26353044,39687682758
1748485614,Device: id=0,TX,0,0,0,0,0
1748485615,Device: id=0,RX,0.81914842322882,9869.1121887352,10000.175936452,27176452,40927736712
1748485615,Device: id=0,TX,0,0,0,0,0
1748485616,Device: id=0,RX,0.81914893967079,9869.1064251536,10000.170255501,27999903,42167853918
1748485616,Device: id=0,TX,0,0,0,0,0
1748485617,Device: id=0,RX,0.81914906105004,9869.1078875309,10000.171737299,28823314,43407910884
1748485617,Device: id=0,TX,0,0,0,0,0
1748485618,Device: id=0,RX,0.81914887895829,9869.1056936895,10000.169514323,29646765,44648028090
1748485618,Device: id=0,TX,0,0,0,0,0
1748485619,Device: id=0,RX,0.81914929787468,9869.1107407942,10000.174628454,30470216,45888145296
1748485619,Device: id=0,TX,0,0,0,0,0
1748485620,Device: id=0,RX,0.81914953103617,9869.1015654994,10000.165490465,31293711,47128327260
1748485620,Device: id=0,TX,0,0,0,0,0
1748485621,Device: id=0,RX,0.81914846520476,9869.1126938215,10000.176448254,32117163,48368447478
1748485621,Device: id=0,TX,0,0,0,0,0
1748485622,Device: id=0,RX,0.8191488996875,9869.105943435,10000.169767385,32941132,49609344792
1748485622,Device: id=0,TX,0,0,0,0,0
1748485623,Device: id=0,RX,0.81914904560328,9869.1077014283,10000.171548725,33765618,50851020708
1748485623,Device: id=0,TX,0,0,0,0,0
1748485624,Device: id=0,RX,0.8181673354243,9857.280057192,9988.1868308599,34588081,52089649986
1748485624,Device: id=0,TX,0,0,0,0,0
1748485625,Device: id=0,RX,0.81914885158174,9869.1053638568,10000.16918011,35411492,53329706952
1748485625,Device: id=0,TX,0,0,0,0,0
1748485626,Device: id=0,RX,0.81914876147814,9869.1042782886,10000.168080125,36234942,54569822652
1748485626,Device: id=0,TX,0,0,0,0,0
1748485627,Device: id=0,RX,0.81914961131617,9869.1025371051,10000.166474916,37058739,55810459428
1748485627,Device: id=0,TX,0,0,0,0,0
1748485628,Device: id=0,RX,0.81914902072317,9869.1193867155,10000.183230031,37882191,57050579646
1748485628,Device: id=0,TX,0,0,0,0,0
1748485629,Device: id=0,RX,0.81914908411969,9869.108165474,10000.172018933,38705600,58290633600
1748485629,Device: id=0,TX,0,0,0,0,0
1748485630,Device: id=0,RX,0.8191490489533,9869.0957567316,10000.159604564,39529051,59530749300
1748485630,Device: id=0,TX,0,0,0,0,0
1748485631,Device: id=0,RX,0.81914869296331,9869.1154259661,10000.17921684,40353321,60772101426
1748485631,Device: id=0,TX,0,0,0,0,0
1748485632,Device: id=0,RX,0.8191487626954,9869.1042929542,10000.168094985,41176773,62012220138
1748485632,Device: id=0,TX,0,0,0,0,0
