,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259665.998224
1,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1256543.2288883
2,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260039.4315981
3,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262792.9010887
4,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261104.4388034001
5,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262265.8289118002
6,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261087.8008127
7,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1257748.7981415
8,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1267164.0483594
9,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1257867.0093711
10,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1264045.5798481
11,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1258536.7334566
12,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263398.6257811
13,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1256938.6098776
14,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260451.9329349
15,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1258771.670445
16,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259981.0845936
17,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261442.5327654998
18,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261158.4179753
19,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261414.1690173
20,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262517.7622407998
21,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1258909.0740099
22,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259763.0131090002
23,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260511.4922481
24,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260261.0009057
25,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259879.0860585
26,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261682.8817067
27,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261765.2357685
28,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259454.9653639998
29,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262575.1479437
30,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261045.2961519002
31,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1254386.3057268
32,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262747.0569604998
33,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259224.2875482
34,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259765.2211501999
35,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261290.3164094
36,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262962.7216668
37,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262574.6865697
38,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263762.5479529
39,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1264380.7082673
40,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1264157.950099
41,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1257508.6848717001
42,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259119.6079235
43,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1258591.5895398
44,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261797.4411305
45,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1255706.504522
46,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1265868.0223641
47,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1250661.1937279
48,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261101.8437571998
49,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260126.8839816
50,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263250.486185
51,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1257770.5395995001
52,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263079.2814458
53,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259261.1152982002
54,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260203.7573387
55,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260012.9202789
56,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259828.3502494001
57,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260360.1150589
58,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1255775.4311596001
59,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263734.8270961
60,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1261640.7550438
61,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259211.961839
62,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1260152.7903668
63,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263564.6043969
64,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262776.1423929
65,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1262333.0154579
66,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1263634.8745718
67,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1256432.4220864999
68,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1258278.5594846
69,3,1,tx,vpp,256,filter,ukebpfjit_nompk,1,1259564.6975508
