,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,empty,ukebpfjit,0,2282522.34787
1,3,1,rx,vpp,256,empty,ukebpfjit,0,2286928.19149
2,3,1,rx,vpp,256,empty,ukebpfjit,0,2272511.80311
3,3,1,rx,vpp,256,empty,ukebpfjit,0,2274040.24145
4,3,1,rx,vpp,256,empty,ukebpfjit,0,2271637.04128
5,3,1,rx,vpp,256,empty,ukebpfjit,0,2266456.82731
6,3,1,rx,vpp,256,empty,ukebpfjit,0,2272092.91813
7,3,1,rx,vpp,256,empty,ukebpfjit,0,2263362.81407
8,3,1,rx,vpp,256,empty,ukebpfjit,0,2261736.98193
9,3,1,rx,vpp,256,empty,ukebpfjit,0,2263717.30874
10,3,1,rx,vpp,256,empty,ukebpfjit,0,2257280.66378
11,3,1,rx,vpp,256,empty,ukebpfjit,0,2262256.65495
12,3,1,rx,vpp,256,empty,ukebpfjit,0,2250052.71084
13,3,1,rx,vpp,256,empty,ukebpfjit,0,2246485.12586
14,3,1,rx,vpp,256,empty,ukebpfjit,0,2248783.52587
15,3,1,rx,vpp,256,empty,ukebpfjit,0,2243436.46409
16,3,1,rx,vpp,256,empty,ukebpfjit,0,2245175.0
17,3,1,rx,vpp,256,empty,ukebpfjit,0,2240633.53414
18,3,1,rx,vpp,256,empty,ukebpfjit,0,2235834.7564
19,3,1,rx,vpp,256,empty,ukebpfjit,0,2239120.48193
20,3,1,rx,vpp,256,empty,ukebpfjit,0,2240281.1245
21,3,1,rx,vpp,256,empty,ukebpfjit,0,2240062.89308
22,3,1,rx,vpp,256,empty,ukebpfjit,0,2239254.9195
23,3,1,rx,vpp,256,empty,ukebpfjit,0,2233966.8175
24,3,1,rx,vpp,256,empty,ukebpfjit,0,2235218.37349
25,3,1,rx,vpp,256,empty,ukebpfjit,0,2242402.10843
26,3,1,rx,vpp,256,empty,ukebpfjit,0,2245508.29994
27,3,1,rx,vpp,256,empty,ukebpfjit,0,2232061.1951
28,3,1,rx,vpp,256,empty,ukebpfjit,0,2240748.50625
29,3,1,rx,vpp,256,empty,ukebpfjit,0,2230338.52336
30,3,1,rx,vpp,256,empty,ukebpfjit,0,2242356.10246
31,3,1,rx,vpp,256,empty,ukebpfjit,0,2238116.1992
32,3,1,rx,vpp,256,empty,ukebpfjit,0,2228885.48468
33,3,1,rx,vpp,256,empty,ukebpfjit,0,2227226.01708
34,3,1,rx,vpp,256,empty,ukebpfjit,0,2222710.76923
35,3,1,rx,vpp,256,empty,ukebpfjit,0,2238974.09326
