,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,filter,ukebpfjit,1,1856444.55595
1,3,1,rx,vpp,256,filter,ukebpfjit,1,1861409.27419
2,3,1,rx,vpp,256,filter,ukebpfjit,1,1859169.06595
3,3,1,rx,vpp,256,filter,ukebpfjit,1,1846525.60241
4,3,1,rx,vpp,256,filter,ukebpfjit,1,1850665.21739
5,3,1,rx,vpp,256,filter,ukebpfjit,1,1849806.76157
6,3,1,rx,vpp,256,filter,ukebpfjit,1,1849998.61878
7,3,1,rx,vpp,256,filter,ukebpfjit,1,1838334.83936
8,3,1,rx,vpp,256,filter,ukebpfjit,1,1839290.63545
9,3,1,rx,vpp,256,filter,ukebpfjit,1,1837411.70569
10,3,1,rx,vpp,256,filter,ukebpfjit,1,1836589.94975
11,3,1,rx,vpp,256,filter,ukebpfjit,1,1831574.15787
12,3,1,rx,vpp,256,filter,ukebpfjit,1,1833828.48546
13,3,1,rx,vpp,256,filter,ukebpfjit,1,1830512.21144
14,3,1,rx,vpp,256,filter,ukebpfjit,1,1828942.02899
15,3,1,rx,vpp,256,filter,ukebpfjit,1,1830244.90862
16,3,1,rx,vpp,256,filter,ukebpfjit,1,1830868.89632
17,3,1,rx,vpp,256,filter,ukebpfjit,1,1831428.21285
18,3,1,rx,vpp,256,filter,ukebpfjit,1,1826296.61868
19,3,1,rx,vpp,256,filter,ukebpfjit,1,1827077.38693
