,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,ids,ukebpfjit,0,1587218.42496
1,3,1,rx,vpp,64,ids,ukebpfjit,0,1586070.31642
2,3,1,rx,vpp,64,ids,ukebpfjit,0,1589337.68189
3,3,1,rx,vpp,64,ids,ukebpfjit,0,1588197.52237
4,3,1,rx,vpp,64,ids,ukebpfjit,0,1583156.13383
5,3,1,rx,vpp,64,ids,ukebpfjit,0,1589854.60526
6,3,1,rx,vpp,64,ids,ukebpfjit,0,1590953.24675
7,3,1,rx,vpp,64,ids,ukebpfjit,0,1590926.16775
8,3,1,rx,vpp,64,ids,ukebpfjit,0,1588969.39288
9,3,1,rx,vpp,64,ids,ukebpfjit,0,1590031.96721
10,3,1,rx,vpp,64,ids,ukebpfjit,0,1584661.9479
11,3,1,rx,vpp,64,ids,ukebpfjit,0,1591258.29146
12,3,1,rx,vpp,64,ids,ukebpfjit,0,1587129.00049
13,3,1,rx,vpp,64,ids,ukebpfjit,0,1587986.82635
14,3,1,rx,vpp,64,ids,ukebpfjit,0,1591108.4882
15,3,1,rx,vpp,64,ids,ukebpfjit,0,1587785.92965
16,3,1,rx,vpp,64,ids,ukebpfjit,0,1582733.13192
17,3,1,rx,vpp,64,ids,ukebpfjit,0,1588680.50028
18,3,1,rx,vpp,64,ids,ukebpfjit,0,1589118.41445
19,3,1,rx,vpp,64,ids,ukebpfjit,0,1586399.19759
20,3,1,rx,vpp,64,ids,ukebpfjit,0,1585882.35294
21,3,1,rx,vpp,64,ids,ukebpfjit,0,1588997.93388
22,3,1,rx,vpp,64,ids,ukebpfjit,0,1585980.11364
23,3,1,rx,vpp,64,ids,ukebpfjit,0,1588084.25276
24,3,1,rx,vpp,64,ids,ukebpfjit,0,1587216.64995
25,3,1,rx,vpp,64,ids,ukebpfjit,0,1591432.46753
26,3,1,rx,vpp,64,ids,ukebpfjit,0,1587827.13568
27,3,1,rx,vpp,64,ids,ukebpfjit,0,1586769.66292
28,3,1,rx,vpp,64,ids,ukebpfjit,0,1587732.64487
29,3,1,rx,vpp,64,ids,ukebpfjit,0,1589568.70612
30,3,1,rx,vpp,64,ids,ukebpfjit,0,1589529.85449
31,3,1,rx,vpp,64,ids,ukebpfjit,0,1589041.64576
32,3,1,rx,vpp,64,ids,ukebpfjit,0,1588943.56504
33,3,1,rx,vpp,64,ids,ukebpfjit,0,1586028.96082
34,3,1,rx,vpp,64,ids,ukebpfjit,0,1588085.29854
35,3,1,rx,vpp,64,ids,ukebpfjit,0,1590109.8846
36,3,1,rx,vpp,64,ids,ukebpfjit,0,1589512.29303
