Rx rate: 970256.501182   TxExt rate: 970256.501182   TxInt rate: 970256.501182
Rx rate: 1075392.25289   TxExt rate: 1075392.25289   TxInt rate: 1075392.25289
Rx rate: 1071888.48263   TxExt rate: 1071888.48263   TxInt rate: 1071888.48263
Rx rate: 1064995.74649   TxExt rate: 1064995.74649   TxInt rate: 1064995.74649
Rx rate: 1064689.16256   TxExt rate: 1064689.16256   TxInt rate: 1064689.16256
Rx rate: 1064848.51437   TxExt rate: 1064848.51437   TxInt rate: 1064848.51437
Rx rate: 1059019.80615   TxExt rate: 1059019.80615   TxInt rate: 1059019.80615
Rx rate: 1064828.13228   TxExt rate: 1064828.13228   TxInt rate: 1064828.13228
Rx rate: 1059386.75142   TxExt rate: 1059386.75142   TxInt rate: 1059386.75142
Rx rate: 1060965.33442   TxExt rate: 1060965.33442   TxInt rate: 1060965.33442
Rx rate: 1056459.28854   TxExt rate: 1056459.28854   TxInt rate: 1056459.28854
Rx rate: 1054352.08438   TxExt rate: 1054352.08438   TxInt rate: 1054352.08438
Rx rate: 1056094.01138   TxExt rate: 1056094.01138   TxInt rate: 1056094.01138
Rx rate: 1053805.22088   TxExt rate: 1053805.22088   TxInt rate: 1053805.22088
Rx rate: 1061769.46258   TxExt rate: 1061769.46258   TxInt rate: 1061769.46258
Rx rate: 1057219.96489   TxExt rate: 1057219.96489   TxInt rate: 1057219.96489
Rx rate: 1056663.98795   TxExt rate: 1056663.98795   TxInt rate: 1056663.98795
Rx rate: 1059497.96085   TxExt rate: 1059497.96085   TxInt rate: 1059497.96085
Rx rate: 1061586.39779   TxExt rate: 1061586.39779   TxInt rate: 1061586.39779
Rx rate: 1060236.94779   TxExt rate: 1060236.94779   TxInt rate: 1060236.94779
Rx rate: 1060796.5604   TxExt rate: 1060796.5604   TxInt rate: 1060796.5604
Rx rate: 1052498.65229   TxExt rate: 1052498.65229   TxInt rate: 1052498.65229
Rx rate: 1056377.00803   TxExt rate: 1056377.00803   TxInt rate: 1056377.00803
Rx rate: 1058107.05922   TxExt rate: 1058107.05922   TxInt rate: 1058107.05922
Rx rate: 1053649.56855   TxExt rate: 1053649.56855   TxInt rate: 1053649.56855
Rx rate: 1055927.81876   TxExt rate: 1055927.81876   TxInt rate: 1055927.81876
Rx rate: 1050768.78613   TxExt rate: 1050768.78613   TxInt rate: 1050768.78613
Rx rate: 1056754.90196   TxExt rate: 1056754.90196   TxInt rate: 1056754.90196
Rx rate: 1054945.80127   TxExt rate: 1054945.80127   TxInt rate: 1054945.80127
Rx rate: 1060199.40476   TxExt rate: 1060199.40476   TxInt rate: 1060199.40476
