,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,nat,ukebpfjit,0,1287198.71923
1,3,1,rx,vpp,256,nat,ukebpfjit,0,1283945.66099
2,3,1,rx,vpp,256,nat,ukebpfjit,0,1284715.25424
3,3,1,rx,vpp,256,nat,ukebpfjit,0,1285022.42303
4,3,1,rx,vpp,256,nat,ukebpfjit,0,1286170.85427
5,3,1,rx,vpp,256,nat,ukebpfjit,0,1286778.32512
6,3,1,rx,vpp,256,nat,ukebpfjit,0,1279260.9363
7,3,1,rx,vpp,256,nat,ukebpfjit,0,1279525.21008
8,3,1,rx,vpp,256,nat,ukebpfjit,0,1283152.34899
9,3,1,rx,vpp,256,nat,ukebpfjit,0,1279651.43144
10,3,1,rx,vpp,256,nat,ukebpfjit,0,1279900.55249
11,3,1,rx,vpp,256,nat,ukebpfjit,0,1280458.06128
12,3,1,rx,vpp,256,nat,ukebpfjit,0,1279993.04751
13,3,1,rx,vpp,256,nat,ukebpfjit,0,1278320.96289
14,3,1,rx,vpp,256,nat,ukebpfjit,0,1282231.00151
15,3,1,rx,vpp,256,nat,ukebpfjit,0,1285162.13494
16,3,1,rx,vpp,256,nat,ukebpfjit,0,1279211.26761
17,3,1,rx,vpp,256,nat,ukebpfjit,0,1282177.45163
18,3,1,rx,vpp,256,nat,ukebpfjit,0,1277109.09091
19,3,1,rx,vpp,256,nat,ukebpfjit,0,1273305.12991
20,3,1,rx,vpp,256,nat,ukebpfjit,0,1278370.53571
21,3,1,rx,vpp,256,nat,ukebpfjit,0,1279770.69409
22,3,1,rx,vpp,256,nat,ukebpfjit,0,1280817.24771
23,3,1,rx,vpp,256,nat,ukebpfjit,0,1281391.6501
24,3,1,rx,vpp,256,nat,ukebpfjit,0,1278656.14618
25,3,1,rx,vpp,256,nat,ukebpfjit,0,1278440.92409
26,3,1,rx,vpp,256,nat,ukebpfjit,0,1278100.45203
27,3,1,rx,vpp,256,nat,ukebpfjit,0,1277957.39015
28,3,1,rx,vpp,256,nat,ukebpfjit,0,1279022.38138
29,3,1,rx,vpp,256,nat,ukebpfjit,0,1278162.5644
30,3,1,rx,vpp,256,nat,ukebpfjit,0,1272470.48611
31,3,1,rx,vpp,256,nat,ukebpfjit,0,1282441.20603
32,3,1,rx,vpp,256,nat,ukebpfjit,0,1282502.00803
