,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,empty,ukebpfjit,1,703517.25
1,3,1,tx,vpp,64,empty,ukebpfjit,1,707983.06
2,3,1,tx,vpp,64,empty,ukebpfjit,1,709172.31
3,3,1,tx,vpp,64,empty,ukebpfjit,1,709133.06
4,3,1,tx,vpp,64,empty,ukebpfjit,1,709363.81
5,3,1,tx,vpp,64,empty,ukebpfjit,1,709013.69
6,3,1,tx,vpp,64,empty,ukebpfjit,1,709717.44
7,3,1,tx,vpp,64,empty,ukebpfjit,1,711285.94
8,3,1,tx,vpp,64,empty,ukebpfjit,1,710480.69
9,3,1,tx,vpp,64,empty,ukebpfjit,1,708643.12
10,3,1,tx,vpp,64,empty,ukebpfjit,1,709253.12
11,3,1,tx,vpp,64,empty,ukebpfjit,1,709273.75
12,3,1,tx,vpp,64,empty,ukebpfjit,1,709829.94
13,3,1,tx,vpp,64,empty,ukebpfjit,1,712034.06
14,3,1,tx,vpp,64,empty,ukebpfjit,1,713116.25
15,3,1,tx,vpp,64,empty,ukebpfjit,1,713236.94
16,3,1,tx,vpp,64,empty,ukebpfjit,1,713939.62
17,3,1,tx,vpp,64,empty,ukebpfjit,1,712868.88
18,3,1,tx,vpp,64,empty,ukebpfjit,1,712412.88
19,3,1,tx,vpp,64,empty,ukebpfjit,1,710807.75
20,3,1,tx,vpp,64,empty,ukebpfjit,1,711797.69
21,3,1,tx,vpp,64,empty,ukebpfjit,1,713197.44
22,3,1,tx,vpp,64,empty,ukebpfjit,1,713835.38
23,3,1,tx,vpp,64,empty,ukebpfjit,1,713903.12
24,3,1,tx,vpp,64,empty,ukebpfjit,1,714005.25
25,3,1,tx,vpp,64,empty,ukebpfjit,1,714279.44
26,3,1,tx,vpp,64,empty,ukebpfjit,1,712261.62
27,3,1,tx,vpp,64,empty,ukebpfjit,1,712593.38
28,3,1,tx,vpp,64,empty,ukebpfjit,1,712917.38
29,3,1,tx,vpp,64,empty,ukebpfjit,1,713730.25
30,3,1,tx,vpp,64,empty,ukebpfjit,1,714904.12
31,3,1,tx,vpp,64,empty,ukebpfjit,1,715335.25
32,3,1,tx,vpp,64,empty,ukebpfjit,1,715620.5
33,3,1,tx,vpp,64,empty,ukebpfjit,1,714534.44
34,3,1,tx,vpp,64,empty,ukebpfjit,1,714459.25
35,3,1,tx,vpp,64,empty,ukebpfjit,1,713861.19
36,3,1,tx,vpp,64,empty,ukebpfjit,1,712470.56
37,3,1,tx,vpp,64,empty,ukebpfjit,1,712981.62
38,3,1,tx,vpp,64,empty,ukebpfjit,1,714068.88
39,3,1,tx,vpp,64,empty,ukebpfjit,1,714005.75
40,3,1,tx,vpp,64,empty,ukebpfjit,1,711997.44
41,3,1,tx,vpp,64,empty,ukebpfjit,1,712983.38
42,3,1,tx,vpp,64,empty,ukebpfjit,1,713880.5
43,3,1,tx,vpp,64,empty,ukebpfjit,1,713619.44
44,3,1,tx,vpp,64,empty,ukebpfjit,1,713556.88
45,3,1,tx,vpp,64,empty,ukebpfjit,1,713444.75
46,3,1,tx,vpp,64,empty,ukebpfjit,1,711761.75
47,3,1,tx,vpp,64,empty,ukebpfjit,1,711560.69
48,3,1,tx,vpp,64,empty,ukebpfjit,1,711405.44
49,3,1,tx,vpp,64,empty,ukebpfjit,1,711419.38
50,3,1,tx,vpp,64,empty,ukebpfjit,1,709623.38
51,3,1,tx,vpp,64,empty,ukebpfjit,1,710808.12
52,3,1,tx,vpp,64,empty,ukebpfjit,1,712086.0
53,3,1,tx,vpp,64,empty,ukebpfjit,1,712021.5
54,3,1,tx,vpp,64,empty,ukebpfjit,1,712341.38
55,3,1,tx,vpp,64,empty,ukebpfjit,1,712281.62
56,3,1,tx,vpp,64,empty,ukebpfjit,1,710516.38
57,3,1,tx,vpp,64,empty,ukebpfjit,1,711340.62
58,3,1,tx,vpp,64,empty,ukebpfjit,1,711451.75
59,3,1,tx,vpp,64,empty,ukebpfjit,1,711574.94
60,3,1,tx,vpp,64,empty,ukebpfjit,1,709834.25
61,3,1,tx,vpp,64,empty,ukebpfjit,1,711672.19
62,3,1,tx,vpp,64,empty,ukebpfjit,1,711675.94
63,3,1,tx,vpp,64,empty,ukebpfjit,1,711343.0
64,3,1,tx,vpp,64,empty,ukebpfjit,1,712027.25
65,3,1,tx,vpp,64,empty,ukebpfjit,1,712342.81
66,3,1,tx,vpp,64,empty,ukebpfjit,1,712761.94
67,3,1,tx,vpp,64,empty,ukebpfjit,1,710722.25
