,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,filter,ukebpfjit,1,710970.62
1,3,1,tx,vpp,64,filter,ukebpfjit,1,713178.5
2,3,1,tx,vpp,64,filter,ukebpfjit,1,714354.88
3,3,1,tx,vpp,64,filter,ukebpfjit,1,712540.75
4,3,1,tx,vpp,64,filter,ukebpfjit,1,710407.19
5,3,1,tx,vpp,64,filter,ukebpfjit,1,711697.81
6,3,1,tx,vpp,64,filter,ukebpfjit,1,712360.69
7,3,1,tx,vpp,64,filter,ukebpfjit,1,712565.94
8,3,1,tx,vpp,64,filter,ukebpfjit,1,712669.5
9,3,1,tx,vpp,64,filter,ukebpfjit,1,712455.94
10,3,1,tx,vpp,64,filter,ukebpfjit,1,711436.25
11,3,1,tx,vpp,64,filter,ukebpfjit,1,712131.62
12,3,1,tx,vpp,64,filter,ukebpfjit,1,712175.88
13,3,1,tx,vpp,64,filter,ukebpfjit,1,711947.5
14,3,1,tx,vpp,64,filter,ukebpfjit,1,710456.25
15,3,1,tx,vpp,64,filter,ukebpfjit,1,711609.31
16,3,1,tx,vpp,64,filter,ukebpfjit,1,712146.56
17,3,1,tx,vpp,64,filter,ukebpfjit,1,711984.38
18,3,1,tx,vpp,64,filter,ukebpfjit,1,711804.12
19,3,1,tx,vpp,64,filter,ukebpfjit,1,711519.0
20,3,1,tx,vpp,64,filter,ukebpfjit,1,710811.75
21,3,1,tx,vpp,64,filter,ukebpfjit,1,709962.94
22,3,1,tx,vpp,64,filter,ukebpfjit,1,710919.5
23,3,1,tx,vpp,64,filter,ukebpfjit,1,711105.88
24,3,1,tx,vpp,64,filter,ukebpfjit,1,709616.5
25,3,1,tx,vpp,64,filter,ukebpfjit,1,710444.69
26,3,1,tx,vpp,64,filter,ukebpfjit,1,711034.69
27,3,1,tx,vpp,64,filter,ukebpfjit,1,711614.19
28,3,1,tx,vpp,64,filter,ukebpfjit,1,712096.12
29,3,1,tx,vpp,64,filter,ukebpfjit,1,711688.0
30,3,1,tx,vpp,64,filter,ukebpfjit,1,710445.38
31,3,1,tx,vpp,64,filter,ukebpfjit,1,709428.5
32,3,1,tx,vpp,64,filter,ukebpfjit,1,710445.69
33,3,1,tx,vpp,64,filter,ukebpfjit,1,711611.44
34,3,1,tx,vpp,64,filter,ukebpfjit,1,713918.88
35,3,1,tx,vpp,64,filter,ukebpfjit,1,713011.0
36,3,1,tx,vpp,64,filter,ukebpfjit,1,713356.25
37,3,1,tx,vpp,64,filter,ukebpfjit,1,713631.88
38,3,1,tx,vpp,64,filter,ukebpfjit,1,714904.0
39,3,1,tx,vpp,64,filter,ukebpfjit,1,715030.0
40,3,1,tx,vpp,64,filter,ukebpfjit,1,714397.75
41,3,1,tx,vpp,64,filter,ukebpfjit,1,711278.5
42,3,1,tx,vpp,64,filter,ukebpfjit,1,711243.62
43,3,1,tx,vpp,64,filter,ukebpfjit,1,711378.88
44,3,1,tx,vpp,64,filter,ukebpfjit,1,711412.75
45,3,1,tx,vpp,64,filter,ukebpfjit,1,709884.69
46,3,1,tx,vpp,64,filter,ukebpfjit,1,710755.44
47,3,1,tx,vpp,64,filter,ukebpfjit,1,711352.88
48,3,1,tx,vpp,64,filter,ukebpfjit,1,711114.0
49,3,1,tx,vpp,64,filter,ukebpfjit,1,710818.5
50,3,1,tx,vpp,64,filter,ukebpfjit,1,710343.12
51,3,1,tx,vpp,64,filter,ukebpfjit,1,709105.75
52,3,1,tx,vpp,64,filter,ukebpfjit,1,708056.69
53,3,1,tx,vpp,64,filter,ukebpfjit,1,707894.69
54,3,1,tx,vpp,64,filter,ukebpfjit,1,709101.19
55,3,1,tx,vpp,64,filter,ukebpfjit,1,708635.81
56,3,1,tx,vpp,64,filter,ukebpfjit,1,710342.94
57,3,1,tx,vpp,64,filter,ukebpfjit,1,710097.25
58,3,1,tx,vpp,64,filter,ukebpfjit,1,710184.56
59,3,1,tx,vpp,64,filter,ukebpfjit,1,711158.38
60,3,1,tx,vpp,64,filter,ukebpfjit,1,710345.12
61,3,1,tx,vpp,64,filter,ukebpfjit,1,711373.25
62,3,1,tx,vpp,64,filter,ukebpfjit,1,710426.56
63,3,1,tx,vpp,64,filter,ukebpfjit,1,710262.12
64,3,1,tx,vpp,64,filter,ukebpfjit,1,709837.5
65,3,1,tx,vpp,64,filter,ukebpfjit,1,707907.88
66,3,1,tx,vpp,64,filter,ukebpfjit,1,708241.0
67,3,1,tx,vpp,64,filter,ukebpfjit,1,707796.25
