,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,ids,ukebpfjit,1,185293.14
1,3,1,tx,vpp,1518,ids,ukebpfjit,1,185623.5
2,3,1,tx,vpp,1518,ids,ukebpfjit,1,185564.7
3,3,1,tx,vpp,1518,ids,ukebpfjit,1,185434.81
4,3,1,tx,vpp,1518,ids,ukebpfjit,1,185053.34
5,3,1,tx,vpp,1518,ids,ukebpfjit,1,185391.56
6,3,1,tx,vpp,1518,ids,ukebpfjit,1,185433.89
7,3,1,tx,vpp,1518,ids,ukebpfjit,1,185317.16
8,3,1,tx,vpp,1518,ids,ukebpfjit,1,185230.22
9,3,1,tx,vpp,1518,ids,ukebpfjit,1,185247.44
10,3,1,tx,vpp,1518,ids,ukebpfjit,1,185255.58
11,3,1,tx,vpp,1518,ids,ukebpfjit,1,185186.14
12,3,1,tx,vpp,1518,ids,ukebpfjit,1,185331.53
13,3,1,tx,vpp,1518,ids,ukebpfjit,1,185460.31
14,3,1,tx,vpp,1518,ids,ukebpfjit,1,185506.45
15,3,1,tx,vpp,1518,ids,ukebpfjit,1,185359.19
16,3,1,tx,vpp,1518,ids,ukebpfjit,1,185356.44
17,3,1,tx,vpp,1518,ids,ukebpfjit,1,185669.22
18,3,1,tx,vpp,1518,ids,ukebpfjit,1,185810.06
19,3,1,tx,vpp,1518,ids,ukebpfjit,1,185328.52
20,3,1,tx,vpp,1518,ids,ukebpfjit,1,185098.5
21,3,1,tx,vpp,1518,ids,ukebpfjit,1,185232.52
22,3,1,tx,vpp,1518,ids,ukebpfjit,1,185320.62
23,3,1,tx,vpp,1518,ids,ukebpfjit,1,185427.28
24,3,1,tx,vpp,1518,ids,ukebpfjit,1,185392.72
25,3,1,tx,vpp,1518,ids,ukebpfjit,1,185782.06
26,3,1,tx,vpp,1518,ids,ukebpfjit,1,185789.91
27,3,1,tx,vpp,1518,ids,ukebpfjit,1,185480.16
28,3,1,tx,vpp,1518,ids,ukebpfjit,1,185753.44
29,3,1,tx,vpp,1518,ids,ukebpfjit,1,185697.61
30,3,1,tx,vpp,1518,ids,ukebpfjit,1,185551.3
31,3,1,tx,vpp,1518,ids,ukebpfjit,1,185697.69
32,3,1,tx,vpp,1518,ids,ukebpfjit,1,185830.06
33,3,1,tx,vpp,1518,ids,ukebpfjit,1,185648.98
34,3,1,tx,vpp,1518,ids,ukebpfjit,1,185103.14
35,3,1,tx,vpp,1518,ids,ukebpfjit,1,185645.42
36,3,1,tx,vpp,1518,ids,ukebpfjit,1,185833.98
37,3,1,tx,vpp,1518,ids,ukebpfjit,1,185462.14
38,3,1,tx,vpp,1518,ids,ukebpfjit,1,185640.53
39,3,1,tx,vpp,1518,ids,ukebpfjit,1,185513.03
40,3,1,tx,vpp,1518,ids,ukebpfjit,1,185383.47
41,3,1,tx,vpp,1518,ids,ukebpfjit,1,185595.09
42,3,1,tx,vpp,1518,ids,ukebpfjit,1,185703.31
43,3,1,tx,vpp,1518,ids,ukebpfjit,1,185661.47
44,3,1,tx,vpp,1518,ids,ukebpfjit,1,185761.97
45,3,1,tx,vpp,1518,ids,ukebpfjit,1,185305.62
46,3,1,tx,vpp,1518,ids,ukebpfjit,1,185484.02
47,3,1,tx,vpp,1518,ids,ukebpfjit,1,185602.5
48,3,1,tx,vpp,1518,ids,ukebpfjit,1,185270.77
49,3,1,tx,vpp,1518,ids,ukebpfjit,1,185214.05
50,3,1,tx,vpp,1518,ids,ukebpfjit,1,185453.91
51,3,1,tx,vpp,1518,ids,ukebpfjit,1,185448.22
52,3,1,tx,vpp,1518,ids,ukebpfjit,1,185310.69
53,3,1,tx,vpp,1518,ids,ukebpfjit,1,185125.56
54,3,1,tx,vpp,1518,ids,ukebpfjit,1,185365.2
55,3,1,tx,vpp,1518,ids,ukebpfjit,1,185468.55
56,3,1,tx,vpp,1518,ids,ukebpfjit,1,185570.33
57,3,1,tx,vpp,1518,ids,ukebpfjit,1,185343.58
58,3,1,tx,vpp,1518,ids,ukebpfjit,1,185618.14
59,3,1,tx,vpp,1518,ids,ukebpfjit,1,185406.41
60,3,1,tx,vpp,1518,ids,ukebpfjit,1,185233.75
61,3,1,tx,vpp,1518,ids,ukebpfjit,1,185192.69
62,3,1,tx,vpp,1518,ids,ukebpfjit,1,185498.28
63,3,1,tx,vpp,1518,ids,ukebpfjit,1,185456.97
64,3,1,tx,vpp,1518,ids,ukebpfjit,1,185457.12
65,3,1,tx,vpp,1518,ids,ukebpfjit,1,185601.66
66,3,1,tx,vpp,1518,ids,ukebpfjit,1,185833.41
67,3,1,tx,vpp,1518,ids,ukebpfjit,1,185853.22
