,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,empty,linux,2,900282.717283
1,3,1,rx,vpp,64,empty,linux,2,903858.0
2,3,1,rx,vpp,64,empty,linux,2,901320.0
3,3,1,rx,vpp,64,empty,linux,2,892770.0
4,3,1,rx,vpp,64,empty,linux,2,899773.226773
5,3,1,rx,vpp,64,empty,linux,2,908839.160839
6,3,1,rx,vpp,64,empty,linux,2,913500.0
7,3,1,rx,vpp,64,empty,linux,2,896139.0
8,3,1,rx,vpp,64,empty,linux,2,902356.0
9,3,1,rx,vpp,64,empty,linux,2,902352.0
10,3,1,rx,vpp,64,empty,linux,2,905670.658683
11,3,1,rx,vpp,64,empty,linux,2,903718.0
12,3,1,rx,vpp,64,empty,linux,2,903911.088911
13,3,1,rx,vpp,64,empty,linux,2,898347.652348
14,3,1,rx,vpp,64,empty,linux,2,897564.0
15,3,1,rx,vpp,64,empty,linux,2,905975.0
16,3,1,rx,vpp,64,empty,linux,2,905591.408591
17,3,1,rx,vpp,64,empty,linux,2,897891.0
18,3,1,rx,vpp,64,empty,linux,2,907271.457086
19,3,1,rx,vpp,64,empty,linux,2,901964.0
20,3,1,rx,vpp,64,empty,linux,2,905613.386613
21,3,1,rx,vpp,64,empty,linux,2,863159.0
22,3,1,rx,vpp,64,empty,linux,2,908437.0
23,3,1,rx,vpp,64,empty,linux,2,895099.0
24,3,1,rx,vpp,64,empty,linux,2,898468.0
25,3,1,rx,vpp,64,empty,linux,2,898986.0
26,3,1,rx,vpp,64,empty,linux,2,905849.150849
27,3,1,rx,vpp,64,empty,linux,2,908729.0
28,3,1,rx,vpp,64,empty,linux,2,905979.0
29,3,1,rx,vpp,64,empty,linux,2,898348.651349
30,3,1,rx,vpp,64,empty,linux,2,899592.407592
31,3,1,rx,vpp,64,empty,linux,2,904107.0
32,3,1,rx,vpp,64,empty,linux,2,903910.0
33,3,1,rx,vpp,64,empty,linux,2,899247.0
34,3,1,rx,vpp,64,empty,linux,2,907535.0
35,3,1,rx,vpp,64,empty,linux,2,900551.896208
36,3,1,rx,vpp,64,empty,linux,2,910932.0
37,3,1,rx,vpp,64,empty,linux,2,914151.848152
38,3,1,rx,vpp,64,empty,linux,2,916860.0
39,3,1,rx,vpp,64,empty,linux,2,915164.835165
40,3,1,rx,vpp,64,empty,linux,2,920010.0
41,3,1,rx,vpp,64,empty,linux,2,913820.17982
42,3,1,rx,vpp,64,empty,linux,2,916081.0
43,3,1,rx,vpp,64,empty,linux,2,911937.0
44,3,1,rx,vpp,64,empty,linux,2,923445.554446
45,3,1,rx,vpp,64,empty,linux,2,918671.0
46,3,1,rx,vpp,64,empty,linux,2,903718.0
47,3,1,rx,vpp,64,empty,linux,2,898298.701299
48,3,1,rx,vpp,64,empty,linux,2,901970.02997
49,3,1,rx,vpp,64,empty,linux,2,904429.141717
50,3,1,rx,vpp,64,empty,linux,2,902289.0
51,3,1,rx,vpp,64,empty,linux,2,889178.0
52,3,1,rx,vpp,64,empty,linux,2,881631.0
53,3,1,rx,vpp,64,empty,linux,2,903258.741259
54,3,1,rx,vpp,64,empty,linux,2,910640.0
55,3,1,rx,vpp,64,empty,linux,2,902097.0
56,3,1,rx,vpp,64,empty,linux,2,906071.928072
57,3,1,rx,vpp,64,empty,linux,2,906239.0
58,3,1,rx,vpp,64,empty,linux,2,902241.0
59,3,1,rx,vpp,64,empty,linux,2,900539.0
60,3,1,rx,vpp,64,empty,linux,2,901007.0
61,3,1,rx,vpp,64,empty,linux,2,901004.0
62,3,1,rx,vpp,64,empty,linux,2,896534.465534
63,3,1,rx,vpp,64,empty,linux,2,900157.842158
64,3,1,rx,vpp,64,empty,linux,2,903648.0
65,3,1,rx,vpp,64,empty,linux,2,891733.0
66,3,1,rx,vpp,64,empty,linux,2,901194.805195
67,3,1,rx,vpp,64,empty,linux,2,905332.667333
68,3,1,rx,vpp,64,empty,linux,2,895630.0
