,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,ids,linux,0,427581.673307
1,3,1,rx,vpp,256,ids,linux,0,435367.896311
2,3,1,rx,vpp,256,ids,linux,0,411504.99002
3,3,1,rx,vpp,256,ids,linux,0,431192.807193
4,3,1,rx,vpp,256,ids,linux,0,432700.598802
5,3,1,rx,vpp,256,ids,linux,0,402666.666667
6,3,1,rx,vpp,256,ids,linux,0,434934.262948
7,3,1,rx,vpp,256,ids,linux,0,429810.0
8,3,1,rx,vpp,256,ids,linux,0,414918.0
9,3,1,rx,vpp,256,ids,linux,0,435120.0
10,3,1,rx,vpp,256,ids,linux,0,431828.0
11,3,1,rx,vpp,256,ids,linux,0,431192.807193
12,3,1,rx,vpp,256,ids,linux,0,418673.0
13,3,1,rx,vpp,256,ids,linux,0,428475.524476
14,3,1,rx,vpp,256,ids,linux,0,433048.0
15,3,1,rx,vpp,256,ids,linux,0,414865.0
16,3,1,rx,vpp,256,ids,linux,0,431235.0
17,3,1,rx,vpp,256,ids,linux,0,430717.0
18,3,1,rx,vpp,256,ids,linux,0,408702.0
19,3,1,rx,vpp,256,ids,linux,0,431321.678322
20,3,1,rx,vpp,256,ids,linux,0,431959.0
21,3,1,rx,vpp,256,ids,linux,0,401709.0
22,3,1,rx,vpp,256,ids,linux,0,427091.0
23,3,1,rx,vpp,256,ids,linux,0,414918.0
24,3,1,rx,vpp,256,ids,linux,0,396011.0
25,3,1,rx,vpp,256,ids,linux,0,426909.0
26,3,1,rx,vpp,256,ids,linux,0,429810.0
27,3,1,rx,vpp,256,ids,linux,0,424760.0
28,3,1,rx,vpp,256,ids,linux,0,424076.923077
29,3,1,rx,vpp,256,ids,linux,0,428775.0
30,3,1,rx,vpp,256,ids,linux,0,425354.0
31,3,1,rx,vpp,256,ids,linux,0,426703.0
32,3,1,rx,vpp,256,ids,linux,0,429940.0
33,3,1,rx,vpp,256,ids,linux,0,428127.0
34,3,1,rx,vpp,256,ids,linux,0,428127.0
35,3,1,rx,vpp,256,ids,linux,0,426005.0
36,3,1,rx,vpp,256,ids,linux,0,427789.421158
37,3,1,rx,vpp,256,ids,linux,0,430587.0
38,3,1,rx,vpp,256,ids,linux,0,430157.842158
39,3,1,rx,vpp,256,ids,linux,0,424501.0
40,3,1,rx,vpp,256,ids,linux,0,431005.0
41,3,1,rx,vpp,256,ids,linux,0,430416.583417
42,3,1,rx,vpp,256,ids,linux,0,429940.0
43,3,1,rx,vpp,256,ids,linux,0,429422.0
44,3,1,rx,vpp,256,ids,linux,0,427350.0
45,3,1,rx,vpp,256,ids,linux,0,426261.0
46,3,1,rx,vpp,256,ids,linux,0,427350.0
47,3,1,rx,vpp,256,ids,linux,0,428216.783217
48,3,1,rx,vpp,256,ids,linux,0,428645.0
49,3,1,rx,vpp,256,ids,linux,0,426573.0
50,3,1,rx,vpp,256,ids,linux,0,431494.0
51,3,1,rx,vpp,256,ids,linux,0,430149.0
52,3,1,rx,vpp,256,ids,linux,0,423041.958042
53,3,1,rx,vpp,256,ids,linux,0,413105.0
54,3,1,rx,vpp,256,ids,linux,0,428127.0
55,3,1,rx,vpp,256,ids,linux,0,428758.0
56,3,1,rx,vpp,256,ids,linux,0,429681.0
57,3,1,rx,vpp,256,ids,linux,0,427997.0
58,3,1,rx,vpp,256,ids,linux,0,431624.0
59,3,1,rx,vpp,256,ids,linux,0,426367.265469
60,3,1,rx,vpp,256,ids,linux,0,432142.0
61,3,1,rx,vpp,256,ids,linux,0,424710.0
62,3,1,rx,vpp,256,ids,linux,0,429163.0
63,3,1,rx,vpp,256,ids,linux,0,429681.0
64,3,1,rx,vpp,256,ids,linux,0,428475.524476
65,3,1,rx,vpp,256,ids,linux,0,425708.291708
66,3,1,rx,vpp,256,ids,linux,0,428386.0
67,3,1,rx,vpp,256,ids,linux,0,424890.0
68,3,1,rx,vpp,256,ids,linux,0,432789.0
