,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,nat,linux,0,595844.155844
1,3,1,rx,vpp,1024,nat,linux,0,621298.701299
2,3,1,rx,vpp,1024,nat,linux,0,585133.0
3,3,1,rx,vpp,1024,nat,linux,0,581457.542458
4,3,1,rx,vpp,1024,nat,linux,0,608581.418581
5,3,1,rx,vpp,1024,nat,linux,0,605389.61039
6,3,1,rx,vpp,1024,nat,linux,0,581100.0
7,3,1,rx,vpp,1024,nat,linux,0,608075.0
8,3,1,rx,vpp,1024,nat,linux,0,606168.831169
9,3,1,rx,vpp,1024,nat,linux,0,580259.74026
10,3,1,rx,vpp,1024,nat,linux,0,607100.0
11,3,1,rx,vpp,1024,nat,linux,0,608920.0
12,3,1,rx,vpp,1024,nat,linux,0,581382.617383
13,3,1,rx,vpp,1024,nat,linux,0,610668.0
14,3,1,rx,vpp,1024,nat,linux,0,610115.0
15,3,1,rx,vpp,1024,nat,linux,0,605974.025974
16,3,1,rx,vpp,1024,nat,linux,0,564980.0
17,3,1,rx,vpp,1024,nat,linux,0,603200.0
18,3,1,rx,vpp,1024,nat,linux,0,604500.0
19,3,1,rx,vpp,1024,nat,linux,0,561080.0
20,3,1,rx,vpp,1024,nat,linux,0,604760.0
21,3,1,rx,vpp,1024,nat,linux,0,604370.0
22,3,1,rx,vpp,1024,nat,linux,0,562502.497502
23,3,1,rx,vpp,1024,nat,linux,0,608417.0
24,3,1,rx,vpp,1024,nat,linux,0,607813.0
25,3,1,rx,vpp,1024,nat,linux,0,604240.0
26,3,1,rx,vpp,1024,nat,linux,0,605540.0
27,3,1,rx,vpp,1024,nat,linux,0,604760.0
28,3,1,rx,vpp,1024,nat,linux,0,604500.0
29,3,1,rx,vpp,1024,nat,linux,0,603200.0
30,3,1,rx,vpp,1024,nat,linux,0,602680.0
31,3,1,rx,vpp,1024,nat,linux,0,603376.623377
32,3,1,rx,vpp,1024,nat,linux,0,608214.0
33,3,1,rx,vpp,1024,nat,linux,0,608300.0
34,3,1,rx,vpp,1024,nat,linux,0,603200.0
35,3,1,rx,vpp,1024,nat,linux,0,609148.0
36,3,1,rx,vpp,1024,nat,linux,0,606450.0
37,3,1,rx,vpp,1024,nat,linux,0,607750.0
38,3,1,rx,vpp,1024,nat,linux,0,606818.181818
39,3,1,rx,vpp,1024,nat,linux,0,607425.0
40,3,1,rx,vpp,1024,nat,linux,0,607100.0
41,3,1,rx,vpp,1024,nat,linux,0,606493.506494
42,3,1,rx,vpp,1024,nat,linux,0,609854.0
43,3,1,rx,vpp,1024,nat,linux,0,608910.0
44,3,1,rx,vpp,1024,nat,linux,0,604500.0
45,3,1,rx,vpp,1024,nat,linux,0,608557.442557
46,3,1,rx,vpp,1024,nat,linux,0,604825.0
47,3,1,rx,vpp,1024,nat,linux,0,606840.0
48,3,1,rx,vpp,1024,nat,linux,0,606320.0
49,3,1,rx,vpp,1024,nat,linux,0,606060.0
50,3,1,rx,vpp,1024,nat,linux,0,604240.0
51,3,1,rx,vpp,1024,nat,linux,0,604415.584416
52,3,1,rx,vpp,1024,nat,linux,0,601461.0
53,3,1,rx,vpp,1024,nat,linux,0,607544.0
54,3,1,rx,vpp,1024,nat,linux,0,603980.0
55,3,1,rx,vpp,1024,nat,linux,0,606184.815185
56,3,1,rx,vpp,1024,nat,linux,0,603116.883117
57,3,1,rx,vpp,1024,nat,linux,0,601900.0
58,3,1,rx,vpp,1024,nat,linux,0,600470.0
59,3,1,rx,vpp,1024,nat,linux,0,603200.0
60,3,1,rx,vpp,1024,nat,linux,0,602030.0
61,3,1,rx,vpp,1024,nat,linux,0,601640.0
62,3,1,rx,vpp,1024,nat,linux,0,604650.0
63,3,1,rx,vpp,1024,nat,linux,0,606173.0
64,3,1,rx,vpp,1024,nat,linux,0,601900.0
65,3,1,rx,vpp,1024,nat,linux,0,605442.0
66,3,1,rx,vpp,1024,nat,linux,0,604500.0
67,3,1,rx,vpp,1024,nat,linux,0,604500.0
