Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748484887,Device: id=0,RX,0.67364576285817,8116.0841509152,8223.8674729725,677257,1019949042
1748484887,Device: id=0,TX,0,0,0,0,0
1748484888,Device: id=0,RX,0.67266861228573,8104.3234730528,8211.9504510185,1350807,2034316848
1748484888,Device: id=0,TX,0,0,0,0,0
1748484889,Device: id=0,RX,0.67390350665175,8119.2014319892,8227.0259930535,2028318,3054649920
1748484889,Device: id=0,TX,0,0,0,0,0
1748484890,Device: id=0,RX,0.68307296734378,8229.6391417241,8338.9308164991,2715015,4088812590
1748484890,Device: id=0,TX,0,0,0,0,0
1748484891,Device: id=0,RX,0.67422633751838,8123.0789144215,8230.9551284244,3392818,5109583908
1748484891,Device: id=0,TX,0,0,0,0,0
1748484892,Device: id=0,RX,0.67933335694503,8184.6082844737,8293.3016215849,4075810,6138169860
1748484892,Device: id=0,TX,0,0,0,0,0
1748484893,Device: id=0,RX,0.67692976006707,8155.649749288,8263.9585108988,4756348,7163060088
1748484893,Device: id=0,TX,0,0,0,0,0
1748484894,Device: id=0,RX,0.66402396731893,8000.1607582585,8106.4045930295,5423860,8168333160
1748484894,Device: id=0,TX,0,0,0,0,0
1748484895,Device: id=0,RX,0.67370051205421,8116.7437692291,8224.5358511578,6101135,9188309310
1748484895,Device: id=0,TX,0,0,0,0,0
1748484896,Device: id=0,RX,0.68210019863763,8218.0510246435,8327.1870564255,6787034,10221286758
1748484896,Device: id=0,TX,0,0,0,0,0
1748484897,Device: id=0,RX,0.669747555407,8069.0706423992,8176.2302512643,7460792,11235960282
1748484897,Device: id=0,TX,0,0,0,0,0
1748484898,Device: id=0,RX,0.68262223685889,8224.1608145022,8333.3803723996,8147144,12269597358
1748484898,Device: id=0,TX,0,0,0,0,0
1748484899,Device: id=0,RX,0.67636693755551,8148.8688636688,8257.0875736777,8827170,13293716514
1748484899,Device: id=0,TX,0,0,0,0,0
1748484900,Device: id=0,RX,0.66487734743143,8010.4542568621,8116.8346324512,9496100,14301126600
1748484900,Device: id=0,TX,0,0,0,0,0
1748484901,Device: id=0,RX,0.67559959993042,8139.6149394445,8247.7108754334,10175248,15323922352
1748484901,Device: id=0,TX,0,0,0,0,0
1748484902,Device: id=0,RX,0.67462819292606,8127.9084839665,8235.8489948347,10853456,16345302094
1748484902,Device: id=0,TX,0,0,0,0,0
1748484903,Device: id=0,RX,0.66236843425769,7980.2268803646,8086.2058298458,11519338,17348121892
1748484903,Device: id=0,TX,0,0,0,0,0
1748484904,Device: id=0,RX,0.67518084960559,8134.5788760482,8242.6078119851,12198065,18370284754
1748484904,Device: id=0,TX,0,0,0,0,0
1748484905,Device: id=0,RX,0.67815791126154,8170.4465148791,8278.9517806809,12880178,19397546932
1748484905,Device: id=0,TX,0,0,0,0,0
1748484906,Device: id=0,RX,0.67901814915618,8180.8106610337,8289.4535648987,13562763,20425519942
1748484906,Device: id=0,TX,0,0,0,0,0
1748484907,Device: id=0,RX,0.67772869014434,8165.2632738024,8273.6998642255,14244051,21451538164
1748484907,Device: id=0,TX,0,0,0,0,0
1748484908,Device: id=0,RX,0.67690297539542,8155.3390301016,8263.6435061649,14924652,22476524776
1748484908,Device: id=0,TX,0,0,0,0,0
1748484909,Device: id=0,RX,0.67289805208168,8107.0757314801,8214.7394198132,15601085,23495232874
1748484909,Device: id=0,TX,0,0,0,0,0
1748484910,Device: id=0,RX,0.6833859468112,8233.4338871813,8342.7756386711,16288276,24530142520
1748484910,Device: id=0,TX,0,0,0,0,0
1748484911,Device: id=0,RX,0.68342305814013,8233.8810044723,8343.2286937747,16975541,25565163610
1748484911,Device: id=0,TX,0,0,0,0,0
1748484912,Device: id=0,RX,0.68377395823663,8238.1086488349,8347.5124821528,17662907,26600336806
1748484912,Device: id=0,TX,0,0,0,0,0
1748484913,Device: id=0,RX,0.67841471152383,8173.5284593715,8282.0748132153,18344884,27627392662
1748484913,Device: id=0,TX,0,0,0,0,0
1748484914,Device: id=0,RX,0.67725769270218,8159.612661674,8267.9738925064,19025986,28653133780
1748484914,Device: id=0,TX,0,0,0,0,0
1748484915,Device: id=0,RX,0.68282177903288,8226.6248087168,8335.8762933621,19712393,29686861216
1748484915,Device: id=0,TX,0,0,0,0,0
1748484916,Device: id=0,RX,0.67831515026112,8172.3529153945,8280.8833394363,20394271,30713770990
1748484916,Device: id=0,TX,0,0,0,0,0
1748484917,Device: id=0,RX,0.68110732290255,8205.9810263299,8314.9581979943,21079243,31745338822
1748484917,Device: id=0,TX,0,0,0,0,0
1748484918,Device: id=0,RX,0.67835819880153,8172.8595791609,8281.3968909691,21761200,32772366064
1748484918,Device: id=0,TX,0,0,0,0,0
1748484919,Device: id=0,RX,0.68230596989072,8220.4103401987,8329.5792953812,22447090,33805314898
1748484919,Device: id=0,TX,0,0,0,0,0
1748484920,Device: id=0,RX,0.67963087787615,8188.2047910202,8296.9457314804,23130900,34835134264
1748484920,Device: id=0,TX,0,0,0,0,0
1748484921,Device: id=0,RX,0.6766810016046,8152.6527073323,8260.921667589,23811134,35859566668
1748484921,Device: id=0,TX,0,0,0,0,0
1748484922,Device: id=0,RX,0.68440377204246,8245.6846605259,8355.1892640527,24499133,36895691656
1748484922,Device: id=0,TX,0,0,0,0,0
1748484923,Device: id=0,RX,0.68259368741984,8223.8887460342,8333.1037360214,25185312,37929077230
1748484923,Device: id=0,TX,0,0,0,0,0
1748484924,Device: id=0,RX,0.67104504158477,8084.7626460388,8192.1298526924,25859883,38944982662
1748484924,Device: id=0,TX,0,0,0,0,0
1748484925,Device: id=0,RX,0.6787452112551,8177.5223052014,8286.1215390022,26542192,39972540016
1748484925,Device: id=0,TX,0,0,0,0,0
1748484926,Device: id=0,RX,0.68267124983394,8224.8232179993,8334.0506179727,27228773,41006531002
1748484926,Device: id=0,TX,0,0,0,0,0
1748484927,Device: id=0,RX,0.67536325638701,8136.7765129507,8244.8346339726,27907683,42028969462
1748484927,Device: id=0,TX,0,0,0,0,0
1748484928,Device: id=0,RX,0.68096584898327,8204.2765485504,8313.2310843877,28592225,43059889714
1748484928,Device: id=0,TX,0,0,0,0,0
1748484929,Device: id=0,RX,0.67826908588485,8171.7739617151,8280.2970154567,29274058,44086728706
1748484929,Device: id=0,TX,0,0,0,0,0
1748484930,Device: id=0,RX,0.68831056859002,8292.7777122853,8402.9074032597,29966165,45129043354
1748484930,Device: id=0,TX,0,0,0,0,0
1748484931,Device: id=0,RX,0.68334739666453,8232.9694350142,8342.3050184805,30653605,46164327994
1748484931,Device: id=0,TX,0,0,0,0,0
1748484932,Device: id=0,RX,0.68073426129535,8201.4863800864,8310.4038618936,31337915,47194898854
1748484932,Device: id=0,TX,0,0,0,0,0
1748484933,Device: id=0,RX,0.68123772846652,8207.5431120641,8316.5411486187,32022732,48226232120
1748484933,Device: id=0,TX,0,0,0,0,0
1748484934,Device: id=0,RX,0.6802237033467,8195.3351779211,8304.1709704565,32706528,49256028896
1748484934,Device: id=0,TX,0,0,0,0,0
1748484935,Device: id=0,RX,0.67276908298015,8105.5099266998,8213.1529799767,33382831,50274539708
1748484935,Device: id=0,TX,0,0,0,0,0
1748484936,Device: id=0,RX,0.68315524220434,8230.6663362284,8339.9711749811,34069970,51309372548
1748484936,Device: id=0,TX,0,0,0,0,0
1748484937,Device: id=0,RX,0.67781678810841,8166.3366631301,8274.7873492274,34751347,52335526310
