,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,ids,linux,1,487790.20761364
1,3,1,tx,vpp,256,ids,linux,1,540118.1985619799
2,3,1,tx,vpp,256,ids,linux,1,540870.61699691
3,3,1,tx,vpp,256,ids,linux,1,537400.60847148
4,3,1,tx,vpp,256,ids,linux,1,535893.00117388
5,3,1,tx,vpp,256,ids,linux,1,538364.7311179
6,3,1,tx,vpp,256,ids,linux,1,538353.07955361
7,3,1,tx,vpp,256,ids,linux,1,540023.82668123
8,3,1,tx,vpp,256,ids,linux,1,538386.10658191
9,3,1,tx,vpp,256,ids,linux,1,539676.8716429101
10,3,1,tx,vpp,256,ids,linux,1,540004.32260729
11,3,1,tx,vpp,256,ids,linux,1,539688.95084079
12,3,1,tx,vpp,256,ids,linux,1,530889.81024157
13,3,1,tx,vpp,256,ids,linux,1,527976.46577377
14,3,1,tx,vpp,256,ids,linux,1,538922.36734165
15,3,1,tx,vpp,256,ids,linux,1,540912.41216422
16,3,1,tx,vpp,256,ids,linux,1,539415.007647
17,3,1,tx,vpp,256,ids,linux,1,540171.13981877
18,3,1,tx,vpp,256,ids,linux,1,533719.30115699
19,3,1,tx,vpp,256,ids,linux,1,521723.18289833
20,3,1,tx,vpp,256,ids,linux,1,533050.76557762
21,3,1,tx,vpp,256,ids,linux,1,540241.73507613
22,3,1,tx,vpp,256,ids,linux,1,541114.97063642
23,3,1,tx,vpp,256,ids,linux,1,541723.4275104799
24,3,1,tx,vpp,256,ids,linux,1,539392.33229615
25,3,1,tx,vpp,256,ids,linux,1,532415.82381815
26,3,1,tx,vpp,256,ids,linux,1,536272.3341870201
27,3,1,tx,vpp,256,ids,linux,1,536225.5136098299
28,3,1,tx,vpp,256,ids,linux,1,536569.31036457
29,3,1,tx,vpp,256,ids,linux,1,541148.32857854
30,3,1,tx,vpp,256,ids,linux,1,541816.17358889
31,3,1,tx,vpp,256,ids,linux,1,539837.78005336
32,3,1,tx,vpp,256,ids,linux,1,540227.14544876
33,3,1,tx,vpp,256,ids,linux,1,537415.42602056
34,3,1,tx,vpp,256,ids,linux,1,537054.7020576099
35,3,1,tx,vpp,256,ids,linux,1,537539.66947154
36,3,1,tx,vpp,256,ids,linux,1,538104.1870855901
37,3,1,tx,vpp,256,ids,linux,1,544422.88410645
38,3,1,tx,vpp,256,ids,linux,1,543308.78083834
39,3,1,tx,vpp,256,ids,linux,1,546847.02739295
40,3,1,tx,vpp,256,ids,linux,1,545092.6142664801
41,3,1,tx,vpp,256,ids,linux,1,542622.5882827201
42,3,1,tx,vpp,256,ids,linux,1,540597.95995897
43,3,1,tx,vpp,256,ids,linux,1,539868.42856533
44,3,1,tx,vpp,256,ids,linux,1,539565.92878526
45,3,1,tx,vpp,256,ids,linux,1,543134.3355786899
46,3,1,tx,vpp,256,ids,linux,1,542341.15354359
47,3,1,tx,vpp,256,ids,linux,1,542460.67293649
48,3,1,tx,vpp,256,ids,linux,1,544402.13933854
49,3,1,tx,vpp,256,ids,linux,1,545121.62209374
50,3,1,tx,vpp,256,ids,linux,1,543543.8203600401
51,3,1,tx,vpp,256,ids,linux,1,545179.18637552
52,3,1,tx,vpp,256,ids,linux,1,544929.8356812
53,3,1,tx,vpp,256,ids,linux,1,544268.8556496201
54,3,1,tx,vpp,256,ids,linux,1,541559.8898292901
55,3,1,tx,vpp,256,ids,linux,1,542541.9182001699
56,3,1,tx,vpp,256,ids,linux,1,542667.09810781
57,3,1,tx,vpp,256,ids,linux,1,538600.63351223
58,3,1,tx,vpp,256,ids,linux,1,535821.00665489
59,3,1,tx,vpp,256,ids,linux,1,534237.64563894
60,3,1,tx,vpp,256,ids,linux,1,538441.88860476
61,3,1,tx,vpp,256,ids,linux,1,525715.19374846
62,3,1,tx,vpp,256,ids,linux,1,539792.61108152
63,3,1,tx,vpp,256,ids,linux,1,539999.36412
64,3,1,tx,vpp,256,ids,linux,1,540285.62003319
65,3,1,tx,vpp,256,ids,linux,1,542202.28696358
66,3,1,tx,vpp,256,ids,linux,1,538116.23622117
67,3,1,tx,vpp,256,ids,linux,1,541021.1538379301
68,3,1,tx,vpp,256,ids,linux,1,542746.2863260199
69,3,1,tx,vpp,256,ids,linux,1,543048.65308913
