Startup trace (nsec): main: 96794786965
Startup trace (nsec): init done: 96798181335
Number of packets sent : 688000
Number of packets sent : 715557.978196
Number of packets sent : 716212.723658
Number of packets sent : 716591.904446
Number of packets sent : 716653.386454
Number of packets sent : 716216.065378
Number of packets sent : 715657.304304
Number of packets sent : 716103.463018
Number of packets sent : 716438.318573
Number of packets sent : 716619.427811
Number of packets sent : 716344.679577
Number of packets sent : 716071.882374
Number of packets sent : 715964.472918
Number of packets sent : 715551.689708
Number of packets sent : 715304.065621
Number of packets sent : 714977.762983
Number of packets sent : 714993.82061
Number of packets sent : 714936.313965
Number of packets sent : 714809.732549
Number of packets sent : 714666.228577
Number of packets sent : 714562.531216
Number of packets sent : 714589.144706
Number of packets sent : 714367.888117
Number of packets sent : 714346.95739
Number of packets sent : 714284.81039
Number of packets sent : 714085.677749
Number of packets sent : 714078.004919
Number of packets sent : 714023.164594
Number of packets sent : 713955.967886
Number of packets sent : 713909.112834
Number of packets sent : 713804.229808
Number of packets sent : 713831.206085
Number of packets sent : 713763.129957
Number of packets sent : 713884.030764
Number of packets sent : 713916.184207
Number of packets sent : 713930.053958
Number of packets sent : 713937.659598
Number of packets sent : 713943.232149
Number of packets sent : 713826.39108
Number of packets sent : 713708.926924
Number of packets sent : 713596.307585
Number of packets sent : 713543.956714
Number of packets sent : 713417.045373
Number of packets sent : 713501.73139
Number of packets sent : 713444.446968
Number of packets sent : 713457.117477
Number of packets sent : 713494.460135
Number of packets sent : 713539.729115
Number of packets sent : 713517.395016
Number of packets sent : 713445.983154
Number of packets sent : 713374.080588
Number of packets sent : 713378.076501
Number of packets sent : 713309.668864
Number of packets sent : 713293.175947
Number of packets sent : 713299.372606
Number of packets sent : 713263.1512
Number of packets sent : 713269.66252
Number of packets sent : 713185.471569
Number of packets sent : 713083.003067
Number of packets sent : 713074.753532
Number of packets sent : 713105.80671
Number of packets sent : 713049.52977
Number of packets sent : 712966.260982
Number of packets sent : 712903.672563
Number of packets sent : 712947.216366
Number of packets sent : 712918.95258
Number of packets sent : 712843.73675
Number of packets sent : 712809.251745
Number of packets sent : 712844.03845
Number of packets sent : 712815.171575
Number of packets sent : 712784.685238
Number of packets sent : 712838.760083
Number of packets sent : 712910.601496
Number of packets sent : 712904.486767
Number of packets sent : 712915.084146
Number of packets sent : 712845.504944
Number of packets sent : 712806.596702
Number of packets sent : 712747.725178
Number of packets sent : 712754.046054
Number of packets sent : 712699.819077
Number of packets sent : 712675.062469
Number of packets sent : 712634.439783
AUTOTEST_DONE
