,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,empty,uk,2,870885.79443
1,3,1,rx,vpp,256,empty,uk,2,871081.660584
2,3,1,rx,vpp,256,empty,uk,2,872326.180258
3,3,1,rx,vpp,256,empty,uk,2,872116.939526
4,3,1,rx,vpp,256,empty,uk,2,871371.898855
5,3,1,rx,vpp,256,empty,uk,2,872599.525442
6,3,1,rx,vpp,256,empty,uk,2,871087.673772
7,3,1,rx,vpp,256,empty,uk,2,872738.833181
8,3,1,rx,vpp,256,empty,uk,2,871027.997128
9,3,1,rx,vpp,256,empty,uk,2,872741.482966
10,3,1,rx,vpp,256,empty,uk,2,869345.357381
11,3,1,rx,vpp,256,empty,uk,2,870260.150376
12,3,1,rx,vpp,256,empty,uk,2,872487.878181
13,3,1,rx,vpp,256,empty,uk,2,872670.01482
14,3,1,rx,vpp,256,empty,uk,2,872346.665363
15,3,1,rx,vpp,256,empty,uk,2,870970.657528
