Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748542408,Device: id=0,RX,1.1747645445932,9510.8937530267,9698.8560801616,1181112,1195285344
1748542408,Device: id=0,TX,0,0,0,0,0
1748542409,Device: id=0,RX,1.1729462168394,9496.1967668346,9683.8681615289,2358552,2386857660
1748542409,Device: id=0,TX,0,0,0,0,0
1748542410,Device: id=0,RX,1.1758628732663,9519.761660868,9707.8997205906,3540591,3583078092
1748542410,Device: id=0,TX,0,0,0,0,0
1748542411,Device: id=0,RX,1.1732015848716,9498.2480848169,9685.9603383964,4719955,4776595472
1748542411,Device: id=0,TX,0,0,0,0,0
1748542412,Device: id=0,RX,1.1688859805905,9463.2928455701,9650.3146024646,5895040,5965780480
1748542412,Device: id=0,TX,0,0,0,0,0
1748542413,Device: id=0,RX,1.1782530752013,9539.1449505062,9727.6654425384,7079485,7164439832
1748542413,Device: id=0,TX,0,0,0,0,0
1748542414,Device: id=0,RX,1.1734421945663,9500.1799598233,9687.9307109539,8260016,8359136192
1748542414,Device: id=0,TX,0,0,0,0,0
1748542415,Device: id=0,RX,1.1726440440137,9493.7261803349,9681.3492273771,9441041,9554333492
1748542415,Device: id=0,TX,0,0,0,0,0
1748542416,Device: id=0,RX,1.1727655528489,9494.709915865,9682.3524043208,10619965,10747404580
1748542416,Device: id=0,TX,0,0,0,0,0
1748542417,Device: id=0,RX,1.1730620019018,9497.1099673967,9684.799887701,11799251,11940842012
1748542417,Device: id=0,TX,0,0,0,0,0
1748542418,Device: id=0,RX,1.1752476532034,9514.8855077152,9702.9251322278,12981106,13136889392
1748542418,Device: id=0,TX,0,0,0,0,0
1748542419,Device: id=0,RX,1.174406706289,9507.9243131438,9695.8293861501,14163350,14333311212
1748542419,Device: id=0,TX,0,0,0,0,0
1748542420,Device: id=0,RX,1.177699541895,9534.6474374883,9723.0793641915,15347236,15531402832
1748542420,Device: id=0,TX,0,0,0,0,0
1748542421,Device: id=0,RX,1.1766503426429,9526.1611740368,9714.4252288597,16530067,16728427804
1748542421,Device: id=0,TX,0,0,0,0,0
1748542422,Device: id=0,RX,1.175922345775,9520.2592576704,9708.4068329944,17712162,17924706932
1748542422,Device: id=0,TX,0,0,0,0,0
1748542423,Device: id=0,RX,1.1753290021542,9515.5199772026,9703.5726175472,18893667,19120397076
1748542423,Device: id=0,TX,0,0,0,0,0
1748542424,Device: id=0,RX,1.1739218684511,9504.0231373642,9691.8506363164,20074062,20314950744
1748542424,Device: id=0,TX,0,0,0,0,0
1748542425,Device: id=0,RX,1.1696396864464,9469.4029014703,9656.5452513017,21249847,21504845164
1748542425,Device: id=0,TX,0,0,0,0,0
1748542426,Device: id=0,RX,1.1732438815096,9498.5824647016,9686.3014857431,22429808,22698965696
1748542426,Device: id=0,TX,0,0,0,0,0
1748542427,Device: id=0,RX,1.1780741521382,9537.6802820263,9726.1721463684,23614072,23897439852
1748542427,Device: id=0,TX,0,0,0,0,0
