,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,filter,uk,2,778863.00026442
1,3,1,tx,vpp,1518,filter,uk,2,819149.89139273
2,3,1,tx,vpp,1518,filter,uk,2,819147.06941587
3,3,1,tx,vpp,1518,filter,uk,2,819162.02403316
4,3,1,tx,vpp,1518,filter,uk,2,819137.30910002
5,3,1,tx,vpp,1518,filter,uk,2,819164.7155099399
6,3,1,tx,vpp,1518,filter,uk,2,819132.03544603
7,3,1,tx,vpp,1518,filter,uk,2,819149.7635408001
8,3,1,tx,vpp,1518,filter,uk,2,818170.52961699
9,3,1,tx,vpp,1518,filter,uk,2,819146.76364168
10,3,1,tx,vpp,1518,filter,uk,2,819159.6519602799
11,3,1,tx,vpp,1518,filter,uk,2,819138.5664966
12,3,1,tx,vpp,1518,filter,uk,2,819149.57745763
13,3,1,tx,vpp,1518,filter,uk,2,819148.70451794
14,3,1,tx,vpp,1518,filter,uk,2,819149.5173264301
15,3,1,tx,vpp,1518,filter,uk,2,819148.9089538399
16,3,1,tx,vpp,1518,filter,uk,2,819148.64915994
17,3,1,tx,vpp,1518,filter,uk,2,819148.95176222
18,3,1,tx,vpp,1518,filter,uk,2,818670.12625302
19,3,1,tx,vpp,1518,filter,uk,2,819147.9703993701
20,3,1,tx,vpp,1518,filter,uk,2,819159.86723529
21,3,1,tx,vpp,1518,filter,uk,2,819143.03890007
22,3,1,tx,vpp,1518,filter,uk,2,819143.1932389301
23,3,1,tx,vpp,1518,filter,uk,2,819148.76360458
24,3,1,tx,vpp,1518,filter,uk,2,819148.84040445
25,3,1,tx,vpp,1518,filter,uk,2,819149.21409329
26,3,1,tx,vpp,1518,filter,uk,2,819148.9951725401
27,3,1,tx,vpp,1518,filter,uk,2,819149.16430709
28,3,1,tx,vpp,1518,filter,uk,2,818580.46526727
29,3,1,tx,vpp,1518,filter,uk,2,819149.9711775801
30,3,1,tx,vpp,1518,filter,uk,2,819147.46354011
31,3,1,tx,vpp,1518,filter,uk,2,819149.58140342
32,3,1,tx,vpp,1518,filter,uk,2,819148.83214996
33,3,1,tx,vpp,1518,filter,uk,2,819148.59360969
34,3,1,tx,vpp,1518,filter,uk,2,819151.11439554
35,3,1,tx,vpp,1518,filter,uk,2,819147.4036474699
36,3,1,tx,vpp,1518,filter,uk,2,819148.39894258
37,3,1,tx,vpp,1518,filter,uk,2,819149.19769899
38,3,1,tx,vpp,1518,filter,uk,2,818689.1527671401
39,3,1,tx,vpp,1518,filter,uk,2,819148.3893143199
40,3,1,tx,vpp,1518,filter,uk,2,819149.42200153
41,3,1,tx,vpp,1518,filter,uk,2,819149.15732618
42,3,1,tx,vpp,1518,filter,uk,2,819148.5112664399
43,3,1,tx,vpp,1518,filter,uk,2,819149.74836268
44,3,1,tx,vpp,1518,filter,uk,2,819147.8356128699
45,3,1,tx,vpp,1518,filter,uk,2,819149.87986339
46,3,1,tx,vpp,1518,filter,uk,2,819148.34694427
47,3,1,tx,vpp,1518,filter,uk,2,819149.0195065399
48,3,1,tx,vpp,1518,filter,uk,2,818671.7912632
49,3,1,tx,vpp,1518,filter,uk,2,819149.08356167
50,3,1,tx,vpp,1518,filter,uk,2,819148.453143
51,3,1,tx,vpp,1518,filter,uk,2,819149.07111224
52,3,1,tx,vpp,1518,filter,uk,2,819148.8694886599
53,3,1,tx,vpp,1518,filter,uk,2,819148.73931959
54,3,1,tx,vpp,1518,filter,uk,2,819149.10355087
55,3,1,tx,vpp,1518,filter,uk,2,819149.42716306
56,3,1,tx,vpp,1518,filter,uk,2,819149.13789609
57,3,1,tx,vpp,1518,filter,uk,2,819148.8601961
58,3,1,tx,vpp,1518,filter,uk,2,819148.83822152
59,3,1,tx,vpp,1518,filter,uk,2,818175.72482679
60,3,1,tx,vpp,1518,filter,uk,2,819149.40834892
61,3,1,tx,vpp,1518,filter,uk,2,819149.0966137301
62,3,1,tx,vpp,1518,filter,uk,2,819148.43666615
63,3,1,tx,vpp,1518,filter,uk,2,819148.52197261
64,3,1,tx,vpp,1518,filter,uk,2,819149.00657089
65,3,1,tx,vpp,1518,filter,uk,2,819157.57777053
66,3,1,tx,vpp,1518,filter,uk,2,819140.79157527
67,3,1,tx,vpp,1518,filter,uk,2,819148.95677724
68,3,1,tx,vpp,1518,filter,uk,2,819148.5455689899
69,3,1,tx,vpp,1518,filter,uk,2,818693.80878705
