,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1198975.02498
1,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200136.0
2,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200136.0
3,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1197541.0
4,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200140.0
5,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200175.0
6,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1197318.0
7,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200156.0
8,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199169.0
9,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199345.0
10,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200180.0
11,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199321.42857
12,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200331.0
13,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200205.0
14,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1197661.0
15,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200165.0
16,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200175.0
17,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199079.92008
18,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199153.0
19,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199486.0
20,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200269.0
21,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199098.9011
22,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200278.0
23,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200315.0
24,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1197740.0
25,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1199100.8991
26,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1197251.59236
27,3,1,rx,vpp,1024,empty,ukebpfjit_nompk,2,1200405.0
