,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1611893.94446
1,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1610327.64676
2,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1607024.62312
3,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1607144.57831
4,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1606847.98939
5,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1603174.52007
6,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1603933.99057
7,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1605145.66038
8,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1605230.43478
9,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1603937.751
10,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1603131.59023
11,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1601507.16981
12,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1600088.26479
13,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1597068.70612
14,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1598799.39991
15,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1595359.62264
16,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1594588.29431
17,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1593846.96438
18,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1592608.56531
19,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1592989.70321
20,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1592529.11647
21,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1591042.65828
22,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1592762.93348
23,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1593191.26506
24,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1592892.97659
25,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1592405.35117
26,3,1,rx,vpp,64,ids,ukebpfjit_nompk,1,1588005.02513
