Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748484775,Device: id=0,RX,0.80416213296843,9688.5573615845,9817.2233028595,808485,1217579916
1748484775,Device: id=0,TX,0,0,0,0,0
1748484776,Device: id=0,RX,0.81915043330129,9869.1364167532,10000.200486081,1631163,2456534490
1748484776,Device: id=0,TX,0,0,0,0,0
1748484777,Device: id=0,RX,0.81914859793123,9869.0903234357,10000.154099105,2454656,3696713442
1748484777,Device: id=0,TX,0,0,0,0,0
1748484778,Device: id=0,RX,0.81915862838603,9869.2351304378,10000.30051098,3278764,4937821596
1748484778,Device: id=0,TX,0,0,0,0,0
1748484779,Device: id=0,RX,0.81913997833944,9868.9864752438,10000.048871778,4102293,6178054764
1748484779,Device: id=0,TX,0,0,0,0,0
1748484780,Device: id=0,RX,0.81916456888327,9869.3186934772,10000.385024499,4925847,7418330100
1748484780,Device: id=0,TX,0,0,0,0,0
1748484781,Device: id=0,RX,0.81913187492881,9868.8768703239,9999.9379703125,5749669,8659003020
1748484781,Device: id=0,TX,0,0,0,0,0
1748484782,Device: id=0,RX,0.81914881861122,9869.104966628,10000.168777606,6573163,9899184984
1748484782,Device: id=0,TX,0,0,0,0,0
1748484783,Device: id=0,RX,0.81915049249259,9869.1371135666,10000.201192365,7396962,11139827784
1748484783,Device: id=0,TX,0,0,0,0,0
1748484784,Device: id=0,RX,0.81914802422827,9869.0834114708,10000.147095347,8220455,12380006736
1748484784,Device: id=0,TX,0,0,0,0,0
1748484785,Device: id=0,RX,0.81819065583103,9857.6328714849,9988.5433764178,9043633,13619721840
1748484785,Device: id=0,TX,0,0,0,0,0
1748484786,Device: id=0,RX,0.81913177763147,9868.8277616943,9999.8888461153,9867240,14860064946
1748484786,Device: id=0,TX,0,0,0,0,0
1748484787,Device: id=0,RX,0.81914864558973,9869.102882065,10000.166665359,10690734,16100246910
1748484787,Device: id=0,TX,0,0,0,0,0
1748484788,Device: id=0,RX,0.81914935676743,9869.111450334,10000.175347417,11514187,17340367128
1748484788,Device: id=0,TX,0,0,0,0,0
1748484789,Device: id=0,RX,0.81914968717505,9869.1034510517,10000.167401,12337984,18581003904
1748484789,Device: id=0,TX,0,0,0,0,0
1748484790,Device: id=0,RX,0.81914825705049,9869.1101853646,10000.173906493,13161478,19821187374
1748484790,Device: id=0,TX,0,0,0,0,0
1748484791,Device: id=0,RX,0.81914932765992,9869.1110996467,10000.174992072,13984973,21061370844
1748484791,Device: id=0,TX,0,0,0,0,0
1748484792,Device: id=0,RX,0.81916490317061,9869.2867758772,10000.353160384,14808958,22302290748
1748484792,Device: id=0,TX,0,0,0,0,0
1748484793,Device: id=0,RX,0.81913342610156,9868.9195176716,9999.9808658478,15632394,23542385364
1748484793,Device: id=0,TX,0,0,0,0,0
1748484794,Device: id=0,RX,0.81915522618106,9869.1941494498,10000.258985639,16455895,24782579376
1748484794,Device: id=0,TX,0,0,0,0,0
1748484795,Device: id=0,RX,0.81874696810781,9864.2634717629,9995.2629866602,17278986,26022154422
1748484795,Device: id=0,TX,0,0,0,0,0
1748484796,Device: id=0,RX,0.81914995570324,9869.106683148,10000.17067606,18102568,27262467408
1748484796,Device: id=0,TX,0,0,0,0,0
1748484797,Device: id=0,RX,0.81914822790303,9869.1098260513,10000.173542516,18926622,28503494238
1748484797,Device: id=0,TX,0,0,0,0,0
1748484798,Device: id=0,RX,0.8191495944561,9869.1143140071,10000.17824912,19750074,29743612950
1748484798,Device: id=0,TX,0,0,0,0,0
1748484799,Device: id=0,RX,0.81915239572979,9869.1480637525,10000.212447069,20573530,30983737686
1748484799,Device: id=0,TX,0,0,0,0,0
1748484800,Device: id=0,RX,0.81914570695171,9869.0674773542,10000.130790466,21397021,32223915132
1748484800,Device: id=0,TX,0,0,0,0,0
1748484801,Device: id=0,RX,0.81914980698093,9869.1168745063,10000.180843623,22220603,33464229624
