Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748482848,Device: id=0,RX,1.144829258463,9268.5457290144,9451.7184103685,1151051,1164864624
1748482848,Device: id=0,TX,0,0,0,0,0
1748482849,Device: id=0,RX,1.1479196022553,9293.5731353148,9477.2402716757,2310177,2337902160
1748482849,Device: id=0,TX,0,0,0,0,0
1748482850,Device: id=0,RX,1.1441288571857,9262.8350416006,9445.8956587503,3461338,3502873044
1748482850,Device: id=0,TX,0,0,0,0,0
1748482851,Device: id=0,RX,1.1445734835225,9266.4991357479,9449.6308931115,4611982,4667328820
1748482851,Device: id=0,TX,0,0,0,0,0
1748482852,Device: id=0,RX,1.1434161139038,9257.0646467392,9440.0112249638,5761524,5830661276
1748482852,Device: id=0,TX,0,0,0,0,0
1748482853,Device: id=0,RX,1.146031803385,9278.3056915673,9461.6707801089,6913698,6996665412
1748482853,Device: id=0,TX,0,0,0,0,0
1748482854,Device: id=0,RX,1.1460228257383,9278.1766448824,9461.5402970005,8066160,8162953920
1748482854,Device: id=0,TX,0,0,0,0,0
1748482855,Device: id=0,RX,1.1442516571809,9263.8533628396,9446.9336279885,9216422,9327018052
1748482855,Device: id=0,TX,0,0,0,0,0
1748482856,Device: id=0,RX,1.1455933279514,9274.7235830943,9458.0185155665,10368939,10493365256
1748482856,Device: id=0,TX,0,0,0,0,0
1748482857,Device: id=0,RX,1.1475020156701,9290.3293390295,9473.9296615367,11522469,11660756844
1748482857,Device: id=0,TX,0,0,0,0,0
1748482858,Device: id=0,RX,1.1455301660868,9274.1155952787,9457.4004218526,12674195,12826291412
1748482858,Device: id=0,TX,0,0,0,0,0
1748482859,Device: id=0,RX,1.1437626483967,9259.8460316009,9442.8480553443,13824089,13989977056
1748482859,Device: id=0,TX,0,0,0,0,0
1748482860,Device: id=0,RX,1.143419807674,9257.1267629286,9440.0739321564,14973700,15153383388
1748482860,Device: id=0,TX,0,0,0,0,0
1748482861,Device: id=0,RX,1.1427888678671,9252.0186742518,9434.8648931106,16122788,16316260444
1748482861,Device: id=0,TX,0,0,0,0,0
1748482862,Device: id=0,RX,1.1456465320159,9275.1623764864,9458.4658216089,17274511,17481805132
1748482862,Device: id=0,TX,0,0,0,0,0
1748482863,Device: id=0,RX,1.1457585145573,9276.0528852063,9459.3742475354,18427010,18648133108
1748482863,Device: id=0,TX,0,0,0,0,0
1748482864,Device: id=0,RX,1.1473351698017,9288.8255347147,9472.399161883,19580373,19815336464
1748482864,Device: id=0,TX,0,0,0,0,0
1748482865,Device: id=0,RX,1.1480664727592,9294.7461634585,9478.4367991,20734531,20983344360
1748482865,Device: id=0,TX,0,0,0,0,0
1748482866,Device: id=0,RX,1.145471335215,9273.735929901,9457.0113435354,21886862,22149503332
1748482866,Device: id=0,TX,0,0,0,0,0
1748482867,Device: id=0,RX,1.1424890449437,9249.5993611416,9432.3976083326,23035412,23311836944
1748482867,Device: id=0,TX,0,0,0,0,0
1748482868,Device: id=0,RX,1.1457077807448,9275.642140054,9458.9553849732,24187258,24477504084
1748482868,Device: id=0,TX,0,0,0,0,0
1748482869,Device: id=0,RX,1.1452075568272,9271.6003800727,9454.833589165,25338482,25642542772
1748482869,Device: id=0,TX,0,0,0,0,0
1748482870,Device: id=0,RX,1.1426031202454,9250.514861507,9433.3313607463,26487148,26804992764
1748482870,Device: id=0,TX,0,0,0,0,0
1748482871,Device: id=0,RX,1.1450293544442,9270.15765358,9453.362350291,27638975,27970641688
1748482871,Device: id=0,TX,0,0,0,0,0
1748482872,Device: id=0,RX,1.1468643223205,9285.0135535065,9468.5118450778,28791862,29137363332
1748482872,Device: id=0,TX,0,0,0,0,0
1748482873,Device: id=0,RX,1.1468521230179,9284.9147879532,9468.4111276361,29944679,30304014136
1748482873,Device: id=0,TX,0,0,0,0,0
1748482874,Device: id=0,RX,1.1440078767732,9261.8958240665,9444.9370843502,31094694,31467830328
1748482874,Device: id=0,TX,0,0,0,0,0
1748482875,Device: id=0,RX,1.1435977445602,9258.5512325988,9441.5268717284,32244301,32631230588
1748482875,Device: id=0,TX,0,0,0,0,0
1748482876,Device: id=0,RX,1.1457828758316,9276.2742634061,9459.5995235392,33396583,33797341996
1748482876,Device: id=0,TX,0,0,0,0,0
1748482877,Device: id=0,RX,1.1460347438146,9278.3053396226,9461.6708986329,34548637,34963221656
1748482877,Device: id=0,TX,0,0,0,0,0
1748482878,Device: id=0,RX,1.1471138072094,9287.0172758132,9470.5554849667,35701779,36130199336
1748482878,Device: id=0,TX,0,0,0,0,0
1748482879,Device: id=0,RX,1.145193444565,9271.4861271979,9454.7170783283,36853047,37295282552
1748482879,Device: id=0,TX,0,0,0,0,0
1748482880,Device: id=0,RX,1.1419761509831,9245.438918359,9428.1551025163,38001443,38457459304
1748482880,Device: id=0,TX,0,0,0,0,0
1748482881,Device: id=0,RX,1.1444760599207,9265.6781811179,9448.7943507053,39151989,39621811856
1748482881,Device: id=0,TX,0,0,0,0,0
1748482882,Device: id=0,RX,1.1443751495358,9264.8612106422,9447.9612345679,40304363,40788014344
1748482882,Device: id=0,TX,0,0,0,0,0
1748482883,Device: id=0,RX,1.1453234839113,9272.5389257458,9455.7906831716,41455822,41953290852
1748482883,Device: id=0,TX,0,0,0,0,0
1748482884,Device: id=0,RX,1.1443453344833,9264.6198279771,9447.7150814944,42606181,43117454160
1748482884,Device: id=0,TX,0,0,0,0,0
1748482885,Device: id=0,RX,1.143053569104,9254.1616954659,9437.0502665225,43755236,44280297820
1748482885,Device: id=0,TX,0,0,0,0,0
1748482886,Device: id=0,RX,1.1463398098677,9280.7751543728,9464.1895239517,44907599,45446490188
1748482886,Device: id=0,TX,0,0,0,0,0
1748482887,Device: id=0,RX,1.1433827223634,9256.8184661332,9439.7597017114,46056927,46609609112
1748482887,Device: id=0,TX,0,0,0,0,0
1748482888,Device: id=0,RX,1.146631158974,9283.1258630534,9466.5868484893,47209582,47776095972
1748482888,Device: id=0,TX,0,0,0,0,0
1748482889,Device: id=0,RX,1.144713487217,9267.6003925092,9450.7545504639,48360308,48940630684
1748482889,Device: id=0,TX,0,0,0,0,0
1748482890,Device: id=0,RX,1.145505125751,9274.00949808,9457.2903182001,49511828,50105968924
1748482890,Device: id=0,TX,0,0,0,0,0
1748482891,Device: id=0,RX,1.1435088813907,9257.8479037393,9440.8093247618,50661344,51269279116
1748482891,Device: id=0,TX,0,0,0,0,0
1748482892,Device: id=0,RX,1.1476849880994,9291.6576636527,9475.2872617486,51815119,52436899416
1748482892,Device: id=0,TX,0,0,0,0,0
1748482893,Device: id=0,RX,1.1437620317099,9259.8974087237,9442.8993337973,52964890,53600467668
1748482893,Device: id=0,TX,0,0,0,0,0
1748482894,Device: id=0,RX,1.1478691013835,9293.1482448006,9476.807301022,54118787,54768211432
1748482894,Device: id=0,TX,0,0,0,0,0
