,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,filter,linux,2,848802.39521
1,3,1,rx,vpp,256,filter,linux,2,860336.653386
2,3,1,rx,vpp,256,filter,linux,2,856951.048951
3,3,1,rx,vpp,256,filter,linux,2,856900.0
4,3,1,rx,vpp,256,filter,linux,2,844919.080919
5,3,1,rx,vpp,256,filter,linux,2,857549.0
6,3,1,rx,vpp,256,filter,linux,2,861078.078078
7,3,1,rx,vpp,256,filter,linux,2,847737.0
8,3,1,rx,vpp,256,filter,linux,2,855606.0
9,3,1,rx,vpp,256,filter,linux,2,847306.387226
10,3,1,rx,vpp,256,filter,linux,2,861643.0
11,3,1,rx,vpp,256,filter,linux,2,854580.0
12,3,1,rx,vpp,256,filter,linux,2,843433.0
13,3,1,rx,vpp,256,filter,linux,2,844211.0
14,3,1,rx,vpp,256,filter,linux,2,859362.0
15,3,1,rx,vpp,256,filter,linux,2,847318.0
16,3,1,rx,vpp,256,filter,linux,2,847851.148851
17,3,1,rx,vpp,256,filter,linux,2,857025.0
18,3,1,rx,vpp,256,filter,linux,2,842461.538462
19,3,1,rx,vpp,256,filter,linux,2,856902.0
20,3,1,rx,vpp,256,filter,linux,2,858276.0
21,3,1,rx,vpp,256,filter,linux,2,814565.0
22,3,1,rx,vpp,256,filter,linux,2,849447.552448
23,3,1,rx,vpp,256,filter,linux,2,851073.0
24,3,1,rx,vpp,256,filter,linux,2,844340.0
25,3,1,rx,vpp,256,filter,linux,2,846411.0
26,3,1,rx,vpp,256,filter,linux,2,845252.0
27,3,1,rx,vpp,256,filter,linux,2,852694.305694
28,3,1,rx,vpp,256,filter,linux,2,850038.0
29,3,1,rx,vpp,256,filter,linux,2,859362.0
30,3,1,rx,vpp,256,filter,linux,2,853019.98002
31,3,1,rx,vpp,256,filter,linux,2,850052.0
32,3,1,rx,vpp,256,filter,linux,2,847377.622378
33,3,1,rx,vpp,256,filter,linux,2,848225.0
34,3,1,rx,vpp,256,filter,linux,2,855657.342657
35,3,1,rx,vpp,256,filter,linux,2,854182.0
36,3,1,rx,vpp,256,filter,linux,2,853146.0
37,3,1,rx,vpp,256,filter,linux,2,852009.0
38,3,1,rx,vpp,256,filter,linux,2,849519.0
39,3,1,rx,vpp,256,filter,linux,2,847707.0
40,3,1,rx,vpp,256,filter,linux,2,841963.0
41,3,1,rx,vpp,256,filter,linux,2,857757.0
42,3,1,rx,vpp,256,filter,linux,2,848928.071928
43,3,1,rx,vpp,256,filter,linux,2,852887.0
44,3,1,rx,vpp,256,filter,linux,2,844272.727273
45,3,1,rx,vpp,256,filter,linux,2,852034.965035
46,3,1,rx,vpp,256,filter,linux,2,852369.0
47,3,1,rx,vpp,256,filter,linux,2,837795.0
48,3,1,rx,vpp,256,filter,linux,2,851409.0
49,3,1,rx,vpp,256,filter,linux,2,858067.0
50,3,1,rx,vpp,256,filter,linux,2,844672.654691
51,3,1,rx,vpp,256,filter,linux,2,847272.0
52,3,1,rx,vpp,256,filter,linux,2,822020.979021
53,3,1,rx,vpp,256,filter,linux,2,854052.0
54,3,1,rx,vpp,256,filter,linux,2,851981.0
55,3,1,rx,vpp,256,filter,linux,2,854182.0
56,3,1,rx,vpp,256,filter,linux,2,857031.0
57,3,1,rx,vpp,256,filter,linux,2,856254.0
58,3,1,rx,vpp,256,filter,linux,2,856255.0
59,3,1,rx,vpp,256,filter,linux,2,850741.258741
60,3,1,rx,vpp,256,filter,linux,2,851338.0
61,3,1,rx,vpp,256,filter,linux,2,851249.0
62,3,1,rx,vpp,256,filter,linux,2,844599.0
63,3,1,rx,vpp,256,filter,linux,2,848225.0
64,3,1,rx,vpp,256,filter,linux,2,850409.181637
65,3,1,rx,vpp,256,filter,linux,2,857290.0
66,3,1,rx,vpp,256,filter,linux,2,858244.755245
67,3,1,rx,vpp,256,filter,linux,2,845629.0
68,3,1,rx,vpp,256,filter,linux,2,851093.0
