Startup trace (nsec): main: 182543731048
Startup trace (nsec): init done: 182547182948
Number of packets sent : 825600
Number of packets sent : 718022.772277
Number of packets sent : 715888.557214
Number of packets sent : 715080.039854
Number of packets sent : 714166.666667
Number of packets sent : 714221.13659
Number of packets sent : 715168.882979
Number of packets sent : 714517.315092
Number of packets sent : 713991.767494
Number of packets sent : 714391.81546
Number of packets sent : 714277.201038
Number of packets sent : 714201.288683
Number of packets sent : 714214.559068
Number of packets sent : 714451.843318
Number of packets sent : 714467.974322
Number of packets sent : 714586.57879
Number of packets sent : 714603.60754
Number of packets sent : 714728.175303
Number of packets sent : 714501.886583
Number of packets sent : 714523.471587
Number of packets sent : 714581.331469
Number of packets sent : 714369.928174
Number of packets sent : 714338.448965
Number of packets sent : 714242.31237
Number of packets sent : 714342.782218
Number of packets sent : 714279.931266
Number of packets sent : 714213.495235
Number of packets sent : 714190.786309
Number of packets sent : 714340.303301
Number of packets sent : 714592.316968
Number of packets sent : 714610.637448
Number of packets sent : 714661.477471
Number of packets sent : 714448.434134
Number of packets sent : 714413.570715
Number of packets sent : 714310.371176
Number of packets sent : 714337.596711
Number of packets sent : 714207.560786
Number of packets sent : 714245.516906
Number of packets sent : 714383.243926
Number of packets sent : 714426.272772
Number of packets sent : 714462.81446
Number of packets sent : 714668.161544
Number of packets sent : 714629.145848
Number of packets sent : 714570.160353
Number of packets sent : 714604.483205
Number of packets sent : 714724.634141
Number of packets sent : 714638.599235
Number of packets sent : 714740.580881
Number of packets sent : 714702.954219
Number of packets sent : 714782.371056
Number of packets sent : 714796.614235
Number of packets sent : 714871.085943
Number of packets sent : 714900.430488
Number of packets sent : 714934.117736
Number of packets sent : 714883.223836
Number of packets sent : 714943.76306
Number of packets sent : 715139.038101
Number of packets sent : 715252.739546
Number of packets sent : 715192.84582
Number of packets sent : 715195.253743
Number of packets sent : 715262.521445
Number of packets sent : 715389.468683
Number of packets sent : 715425.545633
Number of packets sent : 715478.631936
Number of packets sent : 715434.516467
Number of packets sent : 715395.408909
Number of packets sent : 715432.162326
Number of packets sent : 715455.653341
Number of packets sent : 715500.176367
Number of packets sent : 715483.118727
Number of packets sent : 715465.184678
Number of packets sent : 715438.648105
Number of packets sent : 715479.26875
Number of packets sent : 715552.88738
Number of packets sent : 715595.499851
Number of packets sent : 715549.758802
Number of packets sent : 715481.175125
Number of packets sent : 715515.504329
Number of packets sent : 715555.257999
Number of packets sent : 715678.238427
Number of packets sent : 715769.064515
Number of packets sent : 715819.345047
AUTOTEST_DONE
