/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 10287372595
Startup trace (nsec): init done: 10298012347
Number of packets sent : 825600
Number of packets sent : 770669.314796
Number of packets sent : 778171.641791
Number of packets sent : 780079.654829
Number of packets sent : 779139.442231
Number of packets sent : 780830.376719
Number of packets sent : 780537.643344
Number of packets sent : 779822.45654
Number of packets sent : 779916.074323
Number of packets sent : 780017.51663
Number of packets sent : 778773.253493
Number of packets sent : 779159.059976
Number of packets sent : 779459.612345
Number of packets sent : 778683.305176
Number of packets sent : 779039.295393
Number of packets sent : 779184.383945
Number of packets sent : 779480.059914
Number of packets sent : 778903.724154
Number of packets sent : 779168.442077
Number of packets sent : 779466.358284
Number of packets sent : 779019.17603
Number of packets sent : 779056.551724
Number of packets sent : 778897.030782
Number of packets sent : 778096.108747
Number of packets sent : 778247.773246
Number of packets sent : 778418.245025
Number of packets sent : 777658.23952
Number of packets sent : 777680.39368
Number of packets sent : 777742.391266
Number of packets sent : 777826.781962
Number of packets sent : 777991.47434
Number of packets sent : 777954.170427
Number of packets sent : 778056.26327
Number of packets sent : 778183.293469
Number of packets sent : 778325.722178
Number of packets sent : 778467.384167
Number of packets sent : 778576.563324
Number of packets sent : 778793.194707
Number of packets sent : 778843.54457
Number of packets sent : 778759.108378
Number of packets sent : 778801.229047
Number of packets sent : 778879.140162
Number of packets sent : 779051.557184
Number of packets sent : 779203.848299
Number of packets sent : 779173.555596
Number of packets sent : 779190.442352
Number of packets sent : 779188.781717
Number of packets sent : 779235.244089
Number of packets sent : 779238.939895
Number of packets sent : 779282.054943
Number of packets sent : 779354.386105
Number of packets sent : 779446.525846
Number of packets sent : 779416.227851
Number of packets sent : 779481.936116
Number of packets sent : 779516.563645
Number of packets sent : 779528.736259
Number of packets sent : 779484.286607
Number of packets sent : 779464.513641
Number of packets sent : 779474.82597
Number of packets sent : 779521.935768
Number of packets sent : 779545.896697
Number of packets sent : 779539.574357
Number of packets sent : 779510.493568
Number of packets sent : 779459.913068
Number of packets sent : 779447.171992
Number of packets sent : 779500.276761
Number of packets sent : 779450.400521
Number of packets sent : 779492.325363
Number of packets sent : 779599.303341
Number of packets sent : 779663.943568
Number of packets sent : 779676.92747
Number of packets sent : 779722.311374
Number of packets sent : 779771.807329
Number of packets sent : 779798.674717
Number of packets sent : 779842.317095
Number of packets sent : 779850.337145
Number of packets sent : 779895.899634
Number of packets sent : 779921.822878
Number of packets sent : 779978.178696
Number of packets sent : 779979.176155
Number of packets sent : 780025.348558
Number of packets sent : 780070.381521
AUTOTEST_DONE
