Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748704251,Device: id=0,RX,0.7756819964319,1514.1312570351,1638.2403764642,780107,190346108
1748704251,Device: id=0,TX,0,0,0,0,0
1748704252,Device: id=0,RX,0.77330244634718,1509.491278111,1633.2196695266,1554854,379384990
1748704252,Device: id=0,TX,0,0,0,0,0
1748704253,Device: id=0,RX,0.77720319099029,1517.0967462182,1641.4492567767,2336342,570067574
1748704253,Device: id=0,TX,0,0,0,0,0
1748704254,Device: id=0,RX,0.77309950512776,1509.0921758131,1632.7880966335,3113501,759694614
1748704254,Device: id=0,TX,0,0,0,0,0
1748704255,Device: id=0,RX,0.76968406812385,1502.4213606044,1625.5708115043,3887797,948622594
1748704255,Device: id=0,TX,0,0,0,0,0
1748704256,Device: id=0,RX,0.7727744319078,1508.4595748925,1632.1034839978,4664589,1138160330
1748704256,Device: id=0,TX,0,0,0,0,0
1748704257,Device: id=0,RX,0.77384751682837,1510.5464692418,1634.3620719344,5442500,1327970126
1748704257,Device: id=0,TX,0,0,0,0,0
1748704258,Device: id=0,RX,0.77001082002908,1503.0611206968,1626.2628519014,6216555,1516839546
1748704258,Device: id=0,TX,0,0,0,0,0
1748704259,Device: id=0,RX,0.7753429286799,1513.4693967832,1637.524265372,6996134,1707056822
1748704259,Device: id=0,TX,0,0,0,0,0
1748704260,Device: id=0,RX,0.77147177033266,1505.9148375925,1629.3503208457,7771617,1896274918
1748704260,Device: id=0,TX,0,0,0,0,0
1748704261,Device: id=0,RX,0.77400829212329,1510.8855359832,1634.7268627229,8550057,2086216962
1748704261,Device: id=0,TX,0,0,0,0,0
1748704262,Device: id=0,RX,0.77158931926436,1506.119067844,1629.5733589263,9326307,2275619034
1748704262,Device: id=0,TX,0,0,0,0,0
1748704263,Device: id=0,RX,0.77653761672014,1515.8014278377,1640.0474465129,10106922,2466089094
1748704263,Device: id=0,TX,0,0,0,0,0
1748704264,Device: id=0,RX,0.77403232406237,1510.9110965697,1634.7562684197,10884939,2655925242
1748704264,Device: id=0,TX,0,0,0,0,0
1748704265,Device: id=0,RX,0.77212759626263,1507.1911260009,1630.7315414029,11661081,2845303646
1748704265,Device: id=0,TX,0,0,0,0,0
1748704266,Device: id=0,RX,0.77176126289983,1506.4799254579,1629.9617275219,12437505,3034751346
1748704266,Device: id=0,TX,0,0,0,0,0
1748704267,Device: id=0,RX,0.77150859038498,1505.9847684315,1629.4261428931,13213025,3223978226
1748704267,Device: id=0,TX,0,0,0,0,0
1748704268,Device: id=0,RX,0.77280592577879,1508.5171671202,1632.1661152448,13989889,3413533042
1748704268,Device: id=0,TX,0,0,0,0,0
1748704269,Device: id=0,RX,0.77663383207722,1515.9892402147,1640.2506533471,14770561,3604017010
1748704269,Device: id=0,TX,0,0,0,0,0
1748704270,Device: id=0,RX,0.77933761098631,1521.2670166453,1645.9610344031,15553951,3795164170
1748704270,Device: id=0,TX,0,0,0,0,0
1748704271,Device: id=0,RX,0.77358517128308,1510.0363126452,1633.8099400505,16331640,3984920042
1748704271,Device: id=0,TX,0,0,0,0,0
1748704272,Device: id=0,RX,0.77441653217595,1511.6630110857,1635.5696562338,17110735,4175019466
1748704272,Device: id=0,TX,0,0,0,0,0
1748704273,Device: id=0,RX,0.76961676167283,1502.2919187854,1625.430600653,17884354,4363782502
1748704273,Device: id=0,TX,0,0,0,0,0
1748704274,Device: id=0,RX,0.77209748287651,1507.1342865749,1630.6698838352,18660505,4553163346
1748704274,Device: id=0,TX,0,0,0,0,0
1748704275,Device: id=0,RX,0.76753564699868,1498.2295829414,1621.0352864612,19432032,4741415934
1748704275,Device: id=0,TX,0,0,0,0,0
1748704276,Device: id=0,RX,0.76877818316656,1500.6550135411,1623.6595228478,20204809,4929973522
1748704276,Device: id=0,TX,0,0,0,0,0
1748704277,Device: id=0,RX,0.77158693354538,1506.1376942806,1629.5916036478,20980406,5119219190
1748704277,Device: id=0,TX,0,0,0,0,0
1748704278,Device: id=0,RX,0.77351662420123,1509.9025096597,1633.6651695318,21758394,5309048018
1748704278,Device: id=0,TX,0,0,0,0,0
1748704279,Device: id=0,RX,0.77419480564995,1511.2302026347,1635.1013715387,22536573,5498923938
1748704279,Device: id=0,TX,0,0,0,0,0
1748704280,Device: id=0,RX,0.76907839665097,1501.2410302627,1624.2935737268,23309609,5687544722
1748704280,Device: id=0,TX,0,0,0,0,0
1748704281,Device: id=0,RX,0.77272257322422,1508.3544629337,1631.9900746496,24086309,5877059522
1748704281,Device: id=0,TX,0,0,0,0,0
1748704282,Device: id=0,RX,0.77353595400538,1509.9421822185,1633.7079348594,24863865,6066783186
1748704282,Device: id=0,TX,0,0,0,0,0
1748704283,Device: id=0,RX,0.776285592778,1515.3094771026,1639.5151719471,25644393,6257232018
1748704283,Device: id=0,TX,0,0,0,0,0
1748704284,Device: id=0,RX,0.77538605599728,1513.5516393994,1637.613408359,26423809,6447409278
1748704284,Device: id=0,TX,0,0,0,0,0
1748704285,Device: id=0,RX,0.77325404785394,1509.3938434154,1633.114491072,27201043,6637054618
1748704285,Device: id=0,TX,0,0,0,0,0
1748704286,Device: id=0,RX,0.77397671386893,1510.804486971,1634.64076119,27979206,6826926634
1748704286,Device: id=0,TX,0,0,0,0,0
1748704287,Device: id=0,RX,0.77164674668494,1506.252508647,1629.7159881166,28755273,7016286738
1748704287,Device: id=0,TX,0,0,0,0,0
1748704288,Device: id=0,RX,0.77412233501741,1511.086797954,1634.9463715568,29533378,7206144358
1748704288,Device: id=0,TX,0,0,0,0,0
1748704289,Device: id=0,RX,0.77135750240397,1505.6898446925,1629.1070450772,30308747,7395334394
1748704289,Device: id=0,TX,0,0,0,0,0
1748704290,Device: id=0,RX,0.77450625236548,1511.8342627136,1635.7552630921,31087280,7585296202
1748704290,Device: id=0,TX,0,0,0,0,0
1748704291,Device: id=0,RX,0.77120663143346,1505.3972863598,1628.7903473891,31862537,7774459154
1748704291,Device: id=0,TX,0,0,0,0,0
1748704292,Device: id=0,RX,0.7729335669606,1508.7643820244,1632.4337527381,32639978,7964154514
1748704292,Device: id=0,TX,0,0,0,0,0
1748704293,Device: id=0,RX,0.77149212451043,1505.9545689512,1629.3933088729,33415480,8153377246
1748704293,Device: id=0,TX,0,0,0,0,0
1748704294,Device: id=0,RX,0.77081700533169,1504.6347944075,1627.9655152605,34190305,8342434546
1748704294,Device: id=0,TX,0,0,0,0,0
1748704295,Device: id=0,RX,0.77028624425841,1503.5987487924,1626.8445478738,34964598,8531362038
1748704295,Device: id=0,TX,0,0,0,0,0
1748704296,Device: id=0,RX,0.76708409049378,1497.3481446439,1620.0815991229,35735630,8719493846
1748704296,Device: id=0,TX,0,0,0,0,0
1748704297,Device: id=0,RX,0.77286262258601,1508.6258985037,1632.2839181175,36512959,8909161878
1748704297,Device: id=0,TX,0,0,0,0,0
1748704298,Device: id=0,RX,0.77384928303077,1510.5538004761,1634.369685761,37290871,9098972406
1748704298,Device: id=0,TX,0,0,0,0,0
1748704299,Device: id=0,RX,0.77310634439888,1509.1055262699,1632.8025413737,38067957,9288581634
