,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,empty,linux,2,772324.27855394
1,3,1,tx,vpp,64,empty,linux,2,774471.64067657
2,3,1,tx,vpp,64,empty,linux,2,779403.2880952
3,3,1,tx,vpp,64,empty,linux,2,779236.7430341201
4,3,1,tx,vpp,64,empty,linux,2,780284.4338857001
5,3,1,tx,vpp,64,empty,linux,2,779222.66668286
6,3,1,tx,vpp,64,empty,linux,2,781952.02404367
7,3,1,tx,vpp,64,empty,linux,2,782356.15741901
8,3,1,tx,vpp,64,empty,linux,2,782605.8445142399
9,3,1,tx,vpp,64,empty,linux,2,778277.46597323
10,3,1,tx,vpp,64,empty,linux,2,781920.0425370601
11,3,1,tx,vpp,64,empty,linux,2,783487.7913007
12,3,1,tx,vpp,64,empty,linux,2,779269.83629386
13,3,1,tx,vpp,64,empty,linux,2,778334.8652308199
14,3,1,tx,vpp,64,empty,linux,2,782997.7889963
15,3,1,tx,vpp,64,empty,linux,2,764504.0303310399
16,3,1,tx,vpp,64,empty,linux,2,778798.55704438
17,3,1,tx,vpp,64,empty,linux,2,779228.37491787
18,3,1,tx,vpp,64,empty,linux,2,769577.30332235
19,3,1,tx,vpp,64,empty,linux,2,764567.77464489
20,3,1,tx,vpp,64,empty,linux,2,774353.0948044
21,3,1,tx,vpp,64,empty,linux,2,777577.55278435
22,3,1,tx,vpp,64,empty,linux,2,774913.4258131301
23,3,1,tx,vpp,64,empty,linux,2,774041.69615383
24,3,1,tx,vpp,64,empty,linux,2,774979.24330529
25,3,1,tx,vpp,64,empty,linux,2,768670.2672546
26,3,1,tx,vpp,64,empty,linux,2,777475.19594278
27,3,1,tx,vpp,64,empty,linux,2,781611.90896328
28,3,1,tx,vpp,64,empty,linux,2,777885.63403113
29,3,1,tx,vpp,64,empty,linux,2,776963.8708597299
30,3,1,tx,vpp,64,empty,linux,2,782424.0616771199
31,3,1,tx,vpp,64,empty,linux,2,778779.02034323
32,3,1,tx,vpp,64,empty,linux,2,777180.82767636
33,3,1,tx,vpp,64,empty,linux,2,778219.24786512
34,3,1,tx,vpp,64,empty,linux,2,780490.65128865
35,3,1,tx,vpp,64,empty,linux,2,784356.52761118
36,3,1,tx,vpp,64,empty,linux,2,783311.88641853
37,3,1,tx,vpp,64,empty,linux,2,781707.10780241
38,3,1,tx,vpp,64,empty,linux,2,783838.96110629
39,3,1,tx,vpp,64,empty,linux,2,776137.09809493
40,3,1,tx,vpp,64,empty,linux,2,778444.51058797
41,3,1,tx,vpp,64,empty,linux,2,776040.52617996
42,3,1,tx,vpp,64,empty,linux,2,773839.09755729
43,3,1,tx,vpp,64,empty,linux,2,779398.69969453
44,3,1,tx,vpp,64,empty,linux,2,779192.1121102901
45,3,1,tx,vpp,64,empty,linux,2,775757.30574895
46,3,1,tx,vpp,64,empty,linux,2,774632.8447722
47,3,1,tx,vpp,64,empty,linux,2,778514.40191496
48,3,1,tx,vpp,64,empty,linux,2,782549.59741436
49,3,1,tx,vpp,64,empty,linux,2,779885.01909248
50,3,1,tx,vpp,64,empty,linux,2,775001.7878514
51,3,1,tx,vpp,64,empty,linux,2,781152.7604214001
52,3,1,tx,vpp,64,empty,linux,2,779089.58561626
53,3,1,tx,vpp,64,empty,linux,2,781968.98369186
54,3,1,tx,vpp,64,empty,linux,2,779303.51223718
55,3,1,tx,vpp,64,empty,linux,2,774034.3976335101
56,3,1,tx,vpp,64,empty,linux,2,781804.53679357
57,3,1,tx,vpp,64,empty,linux,2,783446.45890255
58,3,1,tx,vpp,64,empty,linux,2,779021.39273756
59,3,1,tx,vpp,64,empty,linux,2,778847.9933255799
60,3,1,tx,vpp,64,empty,linux,2,774269.58665553
61,3,1,tx,vpp,64,empty,linux,2,780338.62091232
62,3,1,tx,vpp,64,empty,linux,2,779876.11303829
63,3,1,tx,vpp,64,empty,linux,2,777143.38070112
64,3,1,tx,vpp,64,empty,linux,2,778281.87548973
65,3,1,tx,vpp,64,empty,linux,2,782771.3743534101
66,3,1,tx,vpp,64,empty,linux,2,780067.57056333
67,3,1,tx,vpp,64,empty,linux,2,776555.05077578
68,3,1,tx,vpp,64,empty,linux,2,778374.04679376
69,3,1,tx,vpp,64,empty,linux,2,774040.9566706
