/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 10268939196
Startup trace (nsec): init done: 10279069875
Number of packets sent : 825600
Number of packets sent : 769904.761905
Number of packets sent : 770532.603285
Number of packets sent : 770101.295251
Number of packets sent : 766540.378863
Number of packets sent : 767157.72682
Number of packets sent : 768397.374107
Number of packets sent : 765252.066116
Number of packets sent : 764637.690197
Number of packets sent : 764275.08593
Number of packets sent : 763443.158
Number of packets sent : 763629.491833
Number of packets sent : 763622.96173
Number of packets sent : 762696.87428
Number of packets sent : 762803.794309
Number of packets sent : 762699.707096
Number of packets sent : 762638.372238
Number of packets sent : 762328.927271
Number of packets sent : 762569.161627
Number of packets sent : 762417.336908
Number of packets sent : 761682.131442
Number of packets sent : 761918.283866
Number of packets sent : 761992.417363
Number of packets sent : 761639.897498
Number of packets sent : 761880.536131
Number of packets sent : 762164.275724
Number of packets sent : 761743.131604
Number of packets sent : 761904.499371
Number of packets sent : 762041.497181
Number of packets sent : 762062.803597
Number of packets sent : 762228.361142
Number of packets sent : 762483.402088
Number of packets sent : 762601.317597
Number of packets sent : 762688.658108
Number of packets sent : 762771.195157
Number of packets sent : 762163.721488
Number of packets sent : 762146.715146
Number of packets sent : 762020.874966
Number of packets sent : 761572.653169
Number of packets sent : 761683.149292
Number of packets sent : 761855.486998
Number of packets sent : 761906.536362
Number of packets sent : 761945.660449
Number of packets sent : 762126.859082
Number of packets sent : 762247.359935
Number of packets sent : 762327.870673
Number of packets sent : 762154.975778
Number of packets sent : 762174.214398
Number of packets sent : 762186.097348
Number of packets sent : 762269.180569
Number of packets sent : 762256.360548
Number of packets sent : 762370.196924
Number of packets sent : 762479.657923
Number of packets sent : 762521.749788
Number of packets sent : 762586.368347
Number of packets sent : 762657.8058
Number of packets sent : 762577.753587
Number of packets sent : 762742.723894
Number of packets sent : 762870.924943
Number of packets sent : 762889.188136
Number of packets sent : 762992.604561
Number of packets sent : 762995.412619
Number of packets sent : 763081.482317
Number of packets sent : 763082.791332
Number of packets sent : 763102.189325
Number of packets sent : 763144.959178
Number of packets sent : 763184.542467
Number of packets sent : 763258.506243
Number of packets sent : 763258.586987
Number of packets sent : 763246.161645
Number of packets sent : 763272.615648
Number of packets sent : 763287.580411
Number of packets sent : 763323.46858
Number of packets sent : 763337.180488
Number of packets sent : 763378.541909
Number of packets sent : 763394.592362
Number of packets sent : 763415.672711
Number of packets sent : 763446.283244
Number of packets sent : 763418.090027
Number of packets sent : 763439.489398
Number of packets sent : 763474.7264
Number of packets sent : 763523.548646
AUTOTEST_DONE
