Startup trace (nsec): main: 96452048784
Startup trace (nsec): init done: 96455174577
Number of packets sent : 825600
Number of packets sent : 765809.52381
Number of packets sent : 764201.789264
Number of packets sent : 763560.902755
Number of packets sent : 764104.909046
Number of packets sent : 763974.681021
Number of packets sent : 762814.390163
Number of packets sent : 762590.112552
Number of packets sent : 762614.837905
Number of packets sent : 762962.97528
Number of packets sent : 763061.870073
Number of packets sent : 763504.219218
Number of packets sent : 763605.55648
Number of packets sent : 763770.695746
Number of packets sent : 763948.224219
Number of packets sent : 763948.21274
Number of packets sent : 763778.505898
Number of packets sent : 763719.673383
Number of packets sent : 763796.204849
Number of packets sent : 763600.767452
Number of packets sent : 763709.998002
Number of packets sent : 763592.485137
Number of packets sent : 763537.888763
Number of packets sent : 763471.814471
Number of packets sent : 763410.680097
Number of packets sent : 763509.070567
Number of packets sent : 763511.084643
Number of packets sent : 763383.690384
Number of packets sent : 763113.497699
Number of packets sent : 763181.899611
Number of packets sent : 762975.422939
Number of packets sent : 763118.699239
Number of packets sent : 762963.37694
Number of packets sent : 763046.928457
Number of packets sent : 763186.840636
Number of packets sent : 763219.332553
Number of packets sent : 763085.623092
Number of packets sent : 763122.870028
Number of packets sent : 763134.127422
Number of packets sent : 763204.299147
Number of packets sent : 763152.977618
Number of packets sent : 763209.836225
Number of packets sent : 763208.745718
Number of packets sent : 763137.987126
Number of packets sent : 763208.888788
Number of packets sent : 763233.673084
Number of packets sent : 763215.345513
Number of packets sent : 763091.061785
Number of packets sent : 763173.148187
Number of packets sent : 763215.274804
Number of packets sent : 763217.267912
Number of packets sent : 763266.777702
Number of packets sent : 763349.296641
Number of packets sent : 763384.719813
Number of packets sent : 763448.563022
Number of packets sent : 763462.143649
Number of packets sent : 763539.696986
Number of packets sent : 763587.390641
Number of packets sent : 763718.081257
Number of packets sent : 763848.53823
Number of packets sent : 763741.567981
Number of packets sent : 763725.765494
Number of packets sent : 763723.11412
Number of packets sent : 763767.449239
Number of packets sent : 763758.010618
Number of packets sent : 763816.469611
Number of packets sent : 763880.816463
Number of packets sent : 763887.592852
Number of packets sent : 763973.648629
Number of packets sent : 763978.73758
Number of packets sent : 763970.032694
Number of packets sent : 763991.371423
Number of packets sent : 763969.143428
Number of packets sent : 763968.717057
Number of packets sent : 764010.480255
Number of packets sent : 764004.357444
Number of packets sent : 764013.663142
Number of packets sent : 764032.77348
Number of packets sent : 764038.170775
Number of packets sent : 764037.02954
Number of packets sent : 764039.927541
Number of packets sent : 764034.017718
AUTOTEST_DONE
