Rx rate: 819837.162837   TxExt rate: 819837.162837   TxInt rate: 819837.162837
Rx rate: 818815.184815   TxExt rate: 818815.184815   TxInt rate: 818815.184815
Rx rate: 817908.091908   TxExt rate: 817908.091908   TxInt rate: 817908.091908
Rx rate: 818110.889111   TxExt rate: 818110.889111   TxInt rate: 818110.889111
Rx rate: 819822.177822   TxExt rate: 819822.177822   TxInt rate: 819822.177822
Rx rate: 819757.242757   TxExt rate: 819757.242757   TxInt rate: 819757.242757
Rx rate: 819662.337662   TxExt rate: 819662.337662   TxInt rate: 819662.337662
Rx rate: 819897.102897   TxExt rate: 819897.102897   TxInt rate: 819897.102897
Rx rate: 819830.16983   TxExt rate: 819830.16983   TxInt rate: 819830.16983
Rx rate: 819787.212787   TxExt rate: 819787.212787   TxInt rate: 819787.212787
Rx rate: 819626.373626   TxExt rate: 819626.373626   TxInt rate: 819626.373626
Rx rate: 818114.770459   TxExt rate: 818114.770459   TxInt rate: 818114.770459
Rx rate: 817168.831169   TxExt rate: 817168.831169   TxInt rate: 817168.831169
Rx rate: 819132.733408   TxExt rate: 819132.733408   TxInt rate: 819132.733408
Rx rate: 820145.854146   TxExt rate: 820145.854146   TxInt rate: 820145.854146
Rx rate: 819815.184815   TxExt rate: 819815.184815   TxInt rate: 819815.184815
Rx rate: 819772.227772   TxExt rate: 819772.227772   TxInt rate: 819772.227772
Rx rate: 819998.001998   TxExt rate: 819998.001998   TxInt rate: 819998.001998
Rx rate: 819789.210789   TxExt rate: 819789.210789   TxInt rate: 819789.210789
Rx rate: 819803.196803   TxExt rate: 819803.196803   TxInt rate: 819803.196803
Rx rate: 819924.075924   TxExt rate: 819924.075924   TxInt rate: 819924.075924
Rx rate: 819950.04995   TxExt rate: 819950.04995   TxInt rate: 819950.04995
Rx rate: 817887.112887   TxExt rate: 817887.112887   TxInt rate: 817887.112887
Rx rate: 817301.698302   TxExt rate: 817301.698302   TxInt rate: 817301.698302
Rx rate: 819748.251748   TxExt rate: 819748.251748   TxInt rate: 819748.251748
Rx rate: 819769.230769   TxExt rate: 819769.230769   TxInt rate: 819769.230769
Rx rate: 819873.126873   TxExt rate: 819873.126873   TxInt rate: 819873.126873
Rx rate: 819936.063936   TxExt rate: 819936.063936   TxInt rate: 819936.063936
Rx rate: 819785.214785   TxExt rate: 819785.214785   TxInt rate: 819785.214785
Rx rate: 819870.12987   TxExt rate: 819870.12987   TxInt rate: 819870.12987
Rx rate: 819896.103896   TxExt rate: 819896.103896   TxInt rate: 819896.103896
