,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,mirror,uk,2,1107940.52419
1,3,1,rx,vpp,256,mirror,uk,2,1104635.99799
2,3,1,rx,vpp,256,mirror,uk,2,1102120.18748
3,3,1,rx,vpp,256,mirror,uk,2,1101282.98087
4,3,1,rx,vpp,256,mirror,uk,2,1102504.30416
5,3,1,rx,vpp,256,mirror,uk,2,1091453.72233
6,3,1,rx,vpp,256,mirror,uk,2,1095088.79919
7,3,1,rx,vpp,256,mirror,uk,2,1107390.51463
8,3,1,rx,vpp,256,mirror,uk,2,1099447.02321
9,3,1,rx,vpp,256,mirror,uk,2,1097001.56924
10,3,1,rx,vpp,256,mirror,uk,2,1096518.23352
11,3,1,rx,vpp,256,mirror,uk,2,1095065.39235
12,3,1,rx,vpp,256,mirror,uk,2,1096156.79575
13,3,1,rx,vpp,256,mirror,uk,2,1092749.68017
14,3,1,rx,vpp,256,mirror,uk,2,1095776.58863
15,3,1,rx,vpp,256,mirror,uk,2,1089862.88297
16,3,1,rx,vpp,256,mirror,uk,2,1097237.38253
17,3,1,rx,vpp,256,mirror,uk,2,1100191.35802
18,3,1,rx,vpp,256,mirror,uk,2,1102288.29431
19,3,1,rx,vpp,256,mirror,uk,2,1096208.09635
20,3,1,rx,vpp,256,mirror,uk,2,1086432.55132
21,3,1,rx,vpp,256,mirror,uk,2,1093834.19421
22,3,1,rx,vpp,256,mirror,uk,2,1093796.32107
23,3,1,rx,vpp,256,mirror,uk,2,1097875.43948
24,3,1,rx,vpp,256,mirror,uk,2,1100338.70968
25,3,1,rx,vpp,256,mirror,uk,2,1098998.91892
26,3,1,rx,vpp,256,mirror,uk,2,1096361.20244
