,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,empty,uk,2,1185345.061508
1,3,1,tx,vpp,1024,empty,uk,2,1187462.0715514
2,3,1,tx,vpp,1024,empty,uk,2,1185577.1767144
3,3,1,tx,vpp,1024,empty,uk,2,1186290.5502729
4,3,1,tx,vpp,1024,empty,uk,2,1185241.6280846002
5,3,1,tx,vpp,1024,empty,uk,2,1186357.5358577
6,3,1,tx,vpp,1024,empty,uk,2,1192958.1908029001
7,3,1,tx,vpp,1024,empty,uk,2,1186172.7385601
8,3,1,tx,vpp,1024,empty,uk,2,1189055.3386474
9,3,1,tx,vpp,1024,empty,uk,2,1192000.2080444002
10,3,1,tx,vpp,1024,empty,uk,2,1186363.4421897999
11,3,1,tx,vpp,1024,empty,uk,2,1187551.2989024
12,3,1,tx,vpp,1024,empty,uk,2,1188092.8149509
13,3,1,tx,vpp,1024,empty,uk,2,1187210.1925182
14,3,1,tx,vpp,1024,empty,uk,2,1188723.1971115998
15,3,1,tx,vpp,1024,empty,uk,2,1183851.5245132998
16,3,1,tx,vpp,1024,empty,uk,2,1190089.1586577
17,3,1,tx,vpp,1024,empty,uk,2,1190218.1924307
18,3,1,tx,vpp,1024,empty,uk,2,1184489.6158042
19,3,1,tx,vpp,1024,empty,uk,2,1188055.5200643
20,3,1,tx,vpp,1024,empty,uk,2,1188081.7997752998
21,3,1,tx,vpp,1024,empty,uk,2,1188479.389417
22,3,1,tx,vpp,1024,empty,uk,2,1188044.0317503
23,3,1,tx,vpp,1024,empty,uk,2,1183636.4771874
24,3,1,tx,vpp,1024,empty,uk,2,1185429.0979781
25,3,1,tx,vpp,1024,empty,uk,2,1184198.0630216
26,3,1,tx,vpp,1024,empty,uk,2,1187924.8682215998
27,3,1,tx,vpp,1024,empty,uk,2,1187411.9499394
28,3,1,tx,vpp,1024,empty,uk,2,1187104.5015806002
29,3,1,tx,vpp,1024,empty,uk,2,1190893.7471987999
30,3,1,tx,vpp,1024,empty,uk,2,1187182.9227245
31,3,1,tx,vpp,1024,empty,uk,2,1188966.8832148
32,3,1,tx,vpp,1024,empty,uk,2,1190823.8887352
33,3,1,tx,vpp,1024,empty,uk,2,1183283.6731657
34,3,1,tx,vpp,1024,empty,uk,2,1188544.174714
35,3,1,tx,vpp,1024,empty,uk,2,1184711.5445351999
36,3,1,tx,vpp,1024,empty,uk,2,1184728.8917651
37,3,1,tx,vpp,1024,empty,uk,2,1190836.3439758
38,3,1,tx,vpp,1024,empty,uk,2,1190201.9123381
39,3,1,tx,vpp,1024,empty,uk,2,1186704.1568136
40,3,1,tx,vpp,1024,empty,uk,2,1184438.5553395
41,3,1,tx,vpp,1024,empty,uk,2,1188146.6743458998
42,3,1,tx,vpp,1024,empty,uk,2,1185400.332587
43,3,1,tx,vpp,1024,empty,uk,2,1190463.1211598
44,3,1,tx,vpp,1024,empty,uk,2,1186148.9508142
45,3,1,tx,vpp,1024,empty,uk,2,1186244.2361044001
46,3,1,tx,vpp,1024,empty,uk,2,1186369.4198450001
47,3,1,tx,vpp,1024,empty,uk,2,1182876.6689773
48,3,1,tx,vpp,1024,empty,uk,2,1191798.4875879
49,3,1,tx,vpp,1024,empty,uk,2,1186164.3464895
50,3,1,tx,vpp,1024,empty,uk,2,1186719.7829114
51,3,1,tx,vpp,1024,empty,uk,2,1186725.2676251002
52,3,1,tx,vpp,1024,empty,uk,2,1189392.8981978
53,3,1,tx,vpp,1024,empty,uk,2,1186405.1346532002
54,3,1,tx,vpp,1024,empty,uk,2,1186719.0520512
55,3,1,tx,vpp,1024,empty,uk,2,1187003.6040108001
56,3,1,tx,vpp,1024,empty,uk,2,1182265.9636157001
57,3,1,tx,vpp,1024,empty,uk,2,1189692.9057197
58,3,1,tx,vpp,1024,empty,uk,2,1186515.3066367998
59,3,1,tx,vpp,1024,empty,uk,2,1186835.2005619002
60,3,1,tx,vpp,1024,empty,uk,2,1189736.6593874
61,3,1,tx,vpp,1024,empty,uk,2,1185858.6235435999
62,3,1,tx,vpp,1024,empty,uk,2,1189939.3965749
63,3,1,tx,vpp,1024,empty,uk,2,1186536.2991610998
64,3,1,tx,vpp,1024,empty,uk,2,1185070.8061286
65,3,1,tx,vpp,1024,empty,uk,2,1188022.611353
66,3,1,tx,vpp,1024,empty,uk,2,1182144.373084
67,3,1,tx,vpp,1024,empty,uk,2,1186562.7482431
68,3,1,tx,vpp,1024,empty,uk,2,1186171.4495875998
69,3,1,tx,vpp,1024,empty,uk,2,1186889.8428453
